Houtskool is in het veld gedeselecteerd.;1
;0
Deponering in behandeling;1
wordt gedeponeerd binnen tweejaarstermijn;1
dit gebeurt nog;1
Het project wordt gedeponeerd zodra het deponeringssysteem van de gemeente Delft operationeel is. De verwachting is in de loop van 2025.;1
Nog niet alle vondsten terug van de specialisten;1
Dit zal plaatsvinden binnen de gestelde 2-jaarstermijn;1
De archeologische dienst van de gemeente Alkmaar heeft een eigen depot waarin de vondsten direct na verwerking in opgeslagen zijn.;1
Deponering is in gang gezet;2
In het veld gedeselecteerd.;1
er is nog niet gedeponeerd, gaat binnenkort gebeuren.;1
Dit wordt op dit moment gedaan;1
Deponering is in gang gezet.;3
De indicatoren zijn niet verzameld.;3
Is lopend.;2
Dat gebeurt pas na het afmelden in archis.;1
Het project zal worden gedeponeerd als het rapport definitief is.;1
het zal nog worden gedeponeerd;1
Deponering wordt in gang gezet.;1
deponering gaat nog plaatsvinden, zowel in DANS Datastation Archaeology alsook bij het gemeentelijk depot.;1
Het onderzoek zal binnen de tweejaarstermijn worden gedeponeerd.;1
Indien alle vondsten terug zijn wordt er gedeponeerd.;4
Project was al eerder afgemeld, heropend wegens uploaden goedgekeurde rapport. Vandaag gedeponeerd, nog geen bewijsje ontvangen.;1
later;1
De deponering kan nu opgestart worden.;1
Deponering 25-07-2025;1
Wordt samen met 5501733100 en 5603291100 gedeponeerd.;1
deponering volgt nog.;1
De deponering van het project zal binnenkort worden opgestart.;1
Vondsten zijn gedeselecteerd.;1
deponering volgt na indiening in ARCHIS;1
Het project zal gedeponeerd worden van zodra het rapport definitief is.;1
geen vondsten aangetroffen;1
n.v.t.;1
wordt binnenkort gedeponeerd;2
Goedkeuring depot loopt nog;1
Er zijn geen vondsten aangetroffen.;2
De deponering is in gang gezet.;1
wordt nog gedeponeerd;1
n.v.t. (digitaal gedeponeerd);2
geen vondsten;1
Binnenkort;1
Wordt binnenkort gedaan;1
vondsten worden in de nabije toekomst gedeponeerd.;1
Wordt binnenkort gedeponeerd.;1
Hier wordt nu aan gewerkt.;1
Vandaag gedeponeerd. Nog geen bewijs ontvangen;1
komt later pas;1
in voorbereiding;1
volgt;1
De deponering in gang is gezet.;1
Deponering zal later plaatsvinden. Het materiaal wordt momenteel nog bij Artefact gehouden, omdat dit meegenomen wordt in de uitwerking van de opgravingsresultaten. Akkoord voor selectierapport van het materiaal is aanwezig.;1
In proces;1
gedeponeerd in archis en edepot;1
Van zodra het rapport definitief is, wordt het deponeerproces gestart.;1
deponering volgt nog;1
Komt nog;1
Vondsten zijn niet verzameld.;2
Deponiering wordt in gang gezet.;1
De vondsten zullen nog worden gedeponeerd.;1
Het project zal van zodra het rapport definitief is gedeponeerd worden.;1
Deponering gebeurt samen met DO;1
het vondstmateriaal is nog niet gedeponeerd. De 2-jaar termijn is nog lang niet aan de orde.;1
in afwachting van deponering;1
