table_catalog;table_schema;table_name;column_name;ordinal_position;column_default;is_nullable;data_type;character_maximum_length;character_octet_length;numeric_precision;numeric_precision_radix;numeric_scale;datetime_precision;interval_type;interval_precision;character_set_catalog;character_set_schema;character_set_name;collation_catalog;collation_schema;collation_name;domain_catalog;domain_schema;domain_name;udt_catalog;udt_schema;udt_name;scope_catalog;scope_schema;scope_name;maximum_cardinality;dtd_identifier;is_self_referencing;is_identity;identity_generation;identity_start;identity_increment;identity_maximum;identity_minimum;identity_cycle;is_generated;generation_expression;is_updatable
gdm-bron-db;archis_meldingen;aanvullend_onderzoek;id;1;None;NO;bigint;None;None;64;2;0;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;int8;None;None;None;None;1;NO;YES;BY DEFAULT;1;1;9223372036854775807;1;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;aanvullend_onderzoek;vindplaats_id;2;None;NO;bigint;None;None;64;2;0;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;int8;None;None;None;None;2;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;aanvullend_onderzoek;naam;3;None;NO;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;3;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;aanvullend_onderzoek;uri;4;None;NO;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;4;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;auteur;id;1;None;NO;bigint;None;None;64;2;0;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;int8;None;None;None;None;1;NO;YES;BY DEFAULT;1;1;9223372036854775807;1;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;auteur;onderzoeksrapport_id;2;None;NO;bigint;None;None;64;2;0;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;int8;None;None;None;None;2;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;auteur;achternaam;3;None;NO;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;3;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;auteur;voorletters;4;None;NO;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;4;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;auteur;tussenvoegsel;5;None;YES;character varying;20;80;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;5;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;archis_meldingen;bedreiging;id;1;None;NO;bigint;None;None;64;2;0;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;int8;None;None;None;None;1;NO;YES;BY DEFAULT;1;1;9223372036854775807;1;NO;NEVER;None;YES
