tabel_naam;kolom_aantal;kolom_lijst
aanvullend_onderzoek;4;["id", "naam", "uri", "vindplaats_id"]
auteur;5;["achternaam", "id", "onderzoeksrapport_id", "tussenvoegsel", "voorletters"]
bedreiging;4;["id", "naam", "uri", "waterbodem_id"]
bestand;8;["bestands_link_id", "checksum", "child_upload_type", "id", "mime_type", "naam", "upload_type", "url"]
bestands_link;1;["id"]
deponering;11;["created_at", "deponerings_datum", "gebruiker_id", "gebruiker_naam", "has_deponerings_bewijs", "id", "is_gedeponeerd", "onderzoeksmelding_id", "reference_id", "toelichting", "updated_at"]
geolocatie;6;["crs", "display_coordinates", "geometry", "id", "melding_id", "r95"]
gerelateerde_melding;4;["id", "meldingsnummer", "onderzoeksmelding_id", "type"]
legacy_literatuur;8;["artikel_titel", "auteur", "hyperlink", "id", "jaar_uitgave", "melding_id", "tijdschrift_periodiek", "volgnummer_periodiek"]
legacy_melding;20;["archis2motief", "archis2onderzoeksmeldingsnummer", "archis2vondstmeldingsnummer", "archis2vondstnummer", "archis2waarnemingsnummer", "created_at", "datum_afronding_rapport", "gebruiker_id", "gebruiker_naam", "id", "indicatie_amk_waardig", "legacy_omschrijving", "legacy_toponiem", "melding_id", "nap_maaiveld", "nationaal_contact_nummer", "object_nummer", "stijlsoort", "stijlsoort_uri", "verwachte_datum_afronding_rapport"]
melding;21;["beschrijving", "bodemtype", "created_at", "datum_afgemeld", "deleted_at", "deleted_reason", "eigen_kenmerk", "gebruiker_id", "gebruiker_naam", "gemeente", "id", "locatietype", "object_nummer", "plaats", "provincie", "reference_id", "status", "toponiem", "updated_at", "vertrouwelijkheid", "vertrouwelijkheid_toelichting"]
melding_object;21;["aantal", "created_at", "datering_begin", "datering_begin_uri", "datering_einde", "datering_einde_uri", "gebruiker_id", "gebruiker_naam", "id", "materiaal", "materiaal_uri", "melding_id", "object_nummer", "object_type", "reference_id", "toelichting", "toestand", "toestand_uri", "type", "type_uri", "updated_at"]
onderzoeksmelding;20;["afgebroken_at", "afgebroken_reason", "bevoegd_gezag", "complex_bekend", "datum_eerste_bevinding_ingediend", "datum_einde_veldwerk", "id", "is_rapportplichtig", "meldingsdatum", "meldingsnummer", "melding_id", "naam", "nationaal_contact_nummer", "startdatum_onderzoek", "termijn_status", "toelichting_eerste_bevinding", "type", "type_uri", "uiterste_afmelddatum", "verwachte_einddatum_veldwerk"]
onderzoeksrapport;16;["aantal_paginas", "created_at", "id", "isbn", "is_goedgekeurd", "jaar", "onderzoeksmelding_id", "plaats_uitgave", "reeks_nummer", "reeks_uitgave", "reeks_uitgave_uri", "reference_id", "titel", "toelichting", "updated_at", "uri"]
uitstelverzoek;14;["aangevraagde_datum_eindrapport", "correspondentie_emailadres", "created_at", "id", "ingediend_datum", "onderzoeksmelding_id", "redenen", "reference_id", "status", "toegewezen_datum_eindrapport", "toelichting_behandelaar", "toelichting_melder", "uitsteltermijn", "updated_at"]
vindplaats;4;["id", "meldingsdatum", "melding_id", "onderzoeksmelding_id"]
vondstmelding;9;["datum_vondst", "datum_vondst_bekend", "id", "meldingsdatum", "meldingsnummer", "melding_id", "opmerking", "verwervingswijze", "verwervingswijze_uri"]
waterbodem;26;["afgedekt", "bouwjaar", "dateringsmethode", "dateringsmethode_uri", "degradatiestatus", "degradatiestatus_uri", "eigenaar_object", "getijdenniveau", "id", "materiaal", "materiaal_uri", "melding_id", "naam", "nationaal_contact_nummer", "object_type", "object_type_uri", "onderdeel_rijksmonument", "stroming", "stroming_uri", "vlaggenstaat", "vlaggenstaat_uri", "waterdiepte", "waterdiepte_bekend", "zinkjaar", "zoutgehalte", "zoutgehalte_uri"]
