;0
BOSCH, J.E. VAN DEN E.A.;2
Rondags, drs E.;1
Muller, A. en Devriendt, I.;1
Berg, G.T.C., van den;1
L.W. DEKKER;1
Leuvering, J.H.F., Wagemans, M.D.& H. Kremer;1
Robberecht, B.;1
Bente, D.A. en P.A.M.M. van Kempen;3
HULST, R.S. EN L.T. LEHMANN;1
GOUTBEEK, A.;1
TOPOGRAFISCHE DIENST;1
Polman, S.P. en G.H. de Boer;2
Matser, J.;1
I. Kaptein;3
J.P. KOERS, J.N. LANTING & J. MOLEMA;1
Leuvering, J.H.F. & D. Hagens;1
T'd'Hollosy, T. &  H. de Jong;1
Delaruelle, S., J. de Kramer &  J. Claeys;1
RENSINK, E.;2
R.F. Engelse;1
Beuker, J.R. e.a.;1
Waals, J.D. v.d. (red.);5
Mauro, G.;1
Reyen, P.E. van;1
Spitzers,T.;3
Michels, M.H.H.;2
G. Aalbersberge en A.M. Bakker;1
Leuvering, H.& J. Heersink;1
H.SARFATI & G.R.TAK;1
H. Stoepker;1
Ovaa, I.;6
Bats, M., P.Crombé, I. Devriendt, R. Langohr, e.a.;1
M.J. van der Heiden;2
VAN ES, W.A. & W.A.M.HESSING;3
Smeets, J.;1
Van der Veken, B.;2
Gerrets, D.A. en N.M. Prangsma;1
A.D. Verlinde, K. Greving, J.N. Lanting & A.L. Brindley;1
S. van der Staak;1
Feest, N. van der ;1
HOGESTIJN, J.W. EN R.C.G.M. LAUWERIER;1
Jayasene, R.M., J.A.G. Veerkam, en J.H.G. Gawronski ;1
HAGERS, J.-K. H.;3
Bloemers, J.H.F.;333
Kruidhof, C.N. en G.H. de Boer;1
BLOEMERS, J.F.H.,;2
Bakker,A.M.;3
Groesbeek, J.W.;2
Munsters, A. ;1
Blom, J.M. en R.M. van der Zee;1
Bartels, M. en B. Vermeulen;38
S. Diependaal, S.M. Koeman, R. Buitenhuis;1
Boer, G.H. de, en N.M.J.E. Boemaars;1
B.H.F.M. Meijlink & B. Silkens;1
DAELE, B. VAN;2
Vanneste,H.C.G.M.;2
Koning, J. de.;1
drs. Ed Hoven, drsH. Kremer, drs.J.H.F. Leuvering;1
Doesburg,J.van, & J.W. de Kort & A. Reinstra;1
drs. H.W. Veenstra;4
Ellenkamp, e.a.;9
Hensen, G., Janssen, M.& J. Wijnen;1
Fèber, D.J. la;1
L.A.Sam/M.Parlevliet/ C.W.Koot;1
drs. J. Krist;1
d'Hollosy, Maja L.;2
KOOT, J.M.;1
Mostert,M. & C.Verbeek;1
Kremer, H.;3
Mark, R. van der;4
P. DE LOBEL;1
BOONACKER, V.F.J.;1
TEN BOSCH, F., B. GROENEWOUDT, M. GROOTHEDDE;1
Alma, X.J.F. ;3
Bakker, J.A.;3
Horn,M. & S. Moerman;3
Cleijne, I.J.;8
L.J.F. JANSSEN;2
Eeltink, N.T.D.;5
MEIJERINK, W.C.,;1
WIJNGAARDEN-BAKKER, L.H. VAN;10
Gerrets, D.A., A.H. Schutte;1
B. GROENEWOUDT & A.D. VERLINDE;1
WOUTERS, A. & J. VAN ES;2
Wouter Vos;2
Hammann, P & Sliggers, B.;1
Groothedde, M. & B. Fermin;3
Dijkstra, J. en T.A. Goossens;1
REINDERS, R.,;1
WOLTERING, P.J. EN J.-K.A. HAGERS;25
KNOL E.,;1
Ode, O.;28
G.W.J. Spanjaard, A.H. Schutte en P.J.L. Wemerman;4
BUTLER, J. & J.D. VAN DER WAALS;4
RIJN, P. VAN;1
Wit, M.J.M. de  e.a.;1
drs. N.H.A. Sprengers en drs J.A.M. Roymans;1
Helmich, C. &  M. Janssen;3
Hoof, L.G.L. van  &  I.M. van Wijk;1
Huijbers, T.;1
Thijs, W.J.F;1
Waasdorp, J.A.;2
JONGSTE, P.F.B. EN G.J. VAN WIJNGAARDEN;3
Renaud, J.G.N.;6
HAGEN, J.W.;1
Veen, M.M.A. van;1
DIENST OPENBARE WERKEN;1
Haaff, G. van;1
Velde, van der, H.M. (red.);3
LAVRIJSEN, J.;1
WIND, C.;5
Ham, van der, W.;1
Giffen, A. E. van;3
GREEVENBROEK, J.T.R. VAN;2
Wilbers, A.;4
Staak-Stijnman, S. van der en M.W.A. de Koning;2
Drs. S. Diependaal en Dhr. P.J.L. Wemerman;1
STOL, T.;1
Krüger, T.;1
Scholte Lubberink H.B.G.;2
Lyklema,T.E.;1
R..VAN HEERINGEN;1
Schabbink, M, ;1
BULT, E.J.,;15
Kremer, H., Koeman, S., Sier, M.& E. van der Kuijl ;1
Waveren, A.M.I. van ;35
Immerseel, R.H.M. van;1
Giffen, A.E. van & W.Glasbergen;1
Leeuwe, R. de ;4
Bouma,N. & W.K. van Zijverden;1
Timmerman R.;3
J.P Flamman,J.P.,Schabbink,M.&  F.Theeuws;1
E. Eimermann;2
Boer, G.H. de & B. Jansen;1
Hijszeler, C.C.W.J.;22
YPEY. J.;1
DESMET & ROULEZ;1
Schutten,A.H.;1
Venne van de,A.C. Kalisvaart,C. & T. Dyselinck;1
Heunks, E.;83
DAM, H. VAN;1
Schrijer, E., A. de Boer en R. Machiels ;2
Müller, A. ;1
Deville, T, Diependaal, S., Koeman, S.& D. Hagens;1
Straten, K.J.C. van;2
H.HALBERTSMA;7
Schwartzenberg, G.F. thoe;1
A.BAKELS;4
Bouma, N. (red.);1
Boer, G.H. de  & J.H.M. van Eijk;1
Tichelman, G.  et al.;1
niet van toepassing;1
HEERINGEN, R.M.;3
Burmann, H.H. en M. Schepers;1
 Lankamp,J.& H. Voorpostel;1
J.L. van Sloten;1
Mayhew, Nicholas J. (ed.) ;1
Deville, T., Koeman, S., Diependaal, S.& D. Hagens;1
PONS, L.J.;1
HERMANS, C.R.;74
Jordanov, M.S. & R.W. de Groot;1
Schulze-Doerrlamm, M.;1
Engelse, R.F.;4
Coppens, C.F.H. en J.M. Koot;2
Wit, M.J.M. de en G.M.A. Bergsma;2
Groot, B. de ;1
Modderman, P.J.R. & C. ISINGS;2
Ras, J. en  L.R. van Wilgen;2
Raemaekers, D.C.M. ;1
B.J.GROENEWOUDT, M. VAN NIE & J.S.SCHOTTEN;1
Groenewoudt, B.;1
R.O.B.;36
Es, W.A. van & W.J.H. Verwers;2
Bloemers, J.F.H. Haalebos, J.K.;1
Hoof, B.I. van  en P. van der Kroft;6
DIJKSTRA, P. & A. VAN DER LEE;1
Prangsma, N. M. ;1
