;0
107634;1
196430;1
88451;1
95374;1
157514;1
503514;1
134433;1
89714;1
55864;1
56903;1
70467;1
484168;1
478308;1
302788;1
130544;1
163999;1
404257;1
252740;1
507785;1
444411;1
159377;1
88459;1
164168;1
93365;1
137098;1
379167;1
108686;1
502827;1
237626;1
115756;1
119055;1
192339;1
180192;1
417320;1
87969;1
503777;1
199119;1
100939;1
102859;1
163747;1
267711;1
53735;1
446915;1
106912;1
511075;1
502347;1
286418;1
488616;1
60493;1
160849;1
120506;1
104187;1
431163;1
19073;1
145284;1
189282;1
490386;1
192349;1
165798;1
94122;1
160602;1
217425;1
92077;1
500277;1
481213;1
112349;1
142351;1
523933;1
81172;1
163842;1
542120;1
160229;1
91191;1
431416;1
439059;1
439891;1
142038;1
139193;1
221320;1
197711;1
180293;1
168509;1
441326;1
120096;1
160279;1
20244;1
112381;1
389582;1
126733;1
138962;1
193709;1
160282;1
129314;1
321357;1
441325;1
217415;1
429721;1
93254;1
121169;1
133302;1
552006;1
135291;1
131406;1
398927;1
303631;1
312359;1
114004;1
277835;1
152381;1
19331;1
103735;1
164063;1
213724;1
114011;1
465444;1
107835;1
114945;1
292626;1
165370;1
124353;1
525910;1
299781;1
402783;1
132939;1
91547;1
171114;1
138984;1
411092;1
134199;1
175956;1
439066;1
73176;1
115738;1
27214;1
74275;1
182685;1
485872;1
68764;1
48071;1
511110;1
503566;1
533711;1
125363;1
130552;1
235933;1
494896;1
169655;1
149587;1
101424;1
338210;1
394970;1
523948;1
360804;1
159338;1
122821;1
108996;1
490384;1
93367;1
89057;1
66861;1
161024;1
79248;1
303637;1
171393;1
99224;1
88145;1
276550;1
113819;1
494905;1
490379;1
139679;1
544632;1
140748;1
57074;1
457513;1
111275;1
471564;1
139053;1
106977;1
286396;1
533186;1
440886;1
146860;1
165416;1
165757;1
325452;1
159642;1
106607;1
133400;1
123324;1
192392;1
108223;1
60411;1
130376;1
60207;1
78221;1
301046;1
119061;1
107652;1
117299;1
87492;1
212923;1
111259;1
339995;1
26725;1
123735;1
465447;1
446844;1
56786;1
459985;1
19246;1
277812;1
159745;1
294984;1
181955;1
217314;1
287829;1
171635;1
496654;1
115227;1
35169;1
138084;1
135284;1
168756;1
161850;1
112850;1
136615;1
80881;1
137267;1
155092;1
92657;1
117890;1
138040;1
117898;1
160222;1
30169;1
478366;1
100115;1
242348;1
18142;1
58001;1
127688;1
34011;1
77287;1
424138;1
448158;1
106536;1
131043;1
137599;1
112511;1
66335;1
503578;1
330879;1
106764;1
300163;1
141567;1
159629;1
508134;1
267550;1
152982;1
177096;1
189300;1
420201;1
412062;1
115200;1
77852;1
546243;1
558015;1
133609;1
177099;1
140766;1
76637;1
147942;1
84913;1
120171;1
176900;1
135534;1
479263;1
79048;1
35766;1
522067;1
261327;1
141863;1
21831;1
136361;1
538621;1
398936;1
138073;1
165477;1
142353;1
120262;1
121780;1
337687;1
114259;1
190608;1
165078;1
160520;1
93148;1
397805;1
126585;1
72943;1
417484;1
426446;1
159529;1
312341;1
116447;1
100371;1
90094;1
508148;1
165233;1
159333;1
105970;1
121412;1
107964;1
466920;1
141639;1
110392;1
79490;1
92904;1
352367;1
224760;1
389845;1
173711;1
159326;1
130491;1
185125;1
455450;1
88581;1
375337;1
415623;1
75400;1
337847;1
398933;1
93542;1
375310;1
81403;1
112351;1
528233;1
418529;1
192408;1
13417;1
88684;1
141020;1
503408;1
88621;1
32657;1
89912;1
128663;1
261311;1
437460;1
465486;1
411211;1
101505;1
102653;1
111931;1
138896;1
154741;1
95144;1
56880;1
22042;1
138091;1
171697;1
100225;1
81489;1
340241;1
261324;1
113257;1
71858;1
192463;1
183981;2
113256;1
117080;1
67055;1
66803;1
97962;1
129719;1
98812;1
99267;1
115251;1
369468;1
528359;1
375387;1
114029;1
546251;1
553383;1
314479;1
544085;1
481207;1
18127;1
117910;1
197965;1
104138;1
135033;1
231034;1
475325;1
267708;1
136371;1
431430;1
503413;1
95855;1
161762;1
74469;1
171698;1
81422;1
117260;1
134668;1
185137;1
137592;1
91399;1
507076;1
542141;1
95120;1
411184;1
478316;1
160757;1
57945;1
171553;1
164545;1
89861;1
217827;1
227719;1
447873;1
66675;1
92360;1
427192;1
398934;1
88735;1
96634;1
23933;1
173470;1
145452;1
187760;1
107149;1
106589;1
150199;1
135551;1
490351;1
287799;1
149813;1
162648;1
81477;1
130246;1
303391;1
191046;1
169583;1
407894;1
298234;1
267700;1
248974;1
178027;1
306637;1
267166;1
447357;1
164249;1
56993;1
67132;1
269834;1
88438;1
54569;1
490368;1
72903;1
419245;1
478054;1
39885;1
128371;1
167896;1
145163;1
482369;1
121215;1
549964;1
359494;1
165990;1
411189;1
34387;1
173476;1
441212;1
138754;1
113815;1
13468;1
420198;1
528496;1
78084;1
53698;1
466163;1
115694;1
97570;1
67689;1
541998;1
121772;1
165456;1
150250;1
314497;1
107863;1
312464;1
126560;1
92090;1
179915;1
171056;1
65993;1
140703;1
147253;1
162634;1
140602;1
227716;1
165133;1
69359;1
551998;1
95380;1
139001;1
135029;1
188302;1
229441;1
220950;1
172076;1
224756;1
301518;1
88938;1
478311;1
273614;1
177253;1
431385;1
371404;1
97765;1
25386;1
528820;1
100844;1
160573;1
164703;1
107065;1
100353;1
542687;1
34014;1
48667;1
137573;1
436994;1
849;1
127582;1
87903;1
487662;1
29308;1
92652;1
490336;1
168894;1
124083;1
357645;1
61270;1
169217;1
111840;1
115126;1
93093;1
119167;1
338211;1
439072;1
310077;1
69603;1
103750;1
490344;1
173478;1
368588;1
101674;1
252269;1
130978;1
296710;1
60130;1
142224;1
34315;1
107080;1
34704;1
79311;1
100341;1
153816;1
217995;1
60415;1
132991;1
194952;1
459764;1
122481;1
224761;1
19072;1
400338;1
195671;1
121782;1
27187;1
61449;1
185298;1
159660;1
35755;1
168940;1
20268;1
352385;1
237624;1
447867;1
143562;1
162949;1
129068;1
265542;1
120810;1
111679;1
191162;1
179289;1
112981;1
51870;1
113051;1
121901;1
190016;1
99233;1
171846;1
138658;1
135338;1
301049;1
120217;1
277710;1
430955;1
88163;1
173506;1
161557;1
1650;1
171386;1
51779;1
106391;1
114776;1
128227;1
458;1
364790;1
217993;1
170934;1
527922;1
495529;1
98650;1
80238;1
101618;1
266233;1
107838;1
164084;1
129876;1
439908;1
142358;1
440768;1
69814;1
126580;1
60210;1
162620;1
159815;1
65913;1
30171;1
115164;1
141024;1
396526;1
36632;1
141018;1
56494;1
92232;1
128629;1
162619;1
16881;1
108836;1
120237;1
137555;1
