;0
2019-12-20 02:53:39+00:00;1
2024-07-01 07:32:27+00:00;1
2014-05-11 22:00:00+00:00;2
2019-12-20 04:13:31+00:00;1
2019-12-20 01:03:43+00:00;1
2019-12-20 00:49:57+00:00;1
2019-12-20 03:55:10+00:00;1
2022-12-21 11:25:26+00:00;1
2020-11-20 13:01:06+00:00;1
2006-11-27 23:00:00+00:00;8
2017-07-25 22:00:00+00:00;4
2024-11-28 15:14:32+00:00;1
2025-06-18 06:08:02.785124+00:00;1
2009-10-13 22:00:00+00:00;21
2022-06-22 15:56:38+00:00;1
2010-08-19 22:00:00+00:00;9
2021-03-23 07:44:59+00:00;1
2021-03-25 14:43:32+00:00;1
2019-12-20 03:08:13+00:00;1
2019-12-20 02:34:16+00:00;1
2007-08-30 22:00:00+00:00;13
2025-01-22 12:22:36+00:00;1
2021-07-20 08:48:28+00:00;1
2021-12-09 12:12:24+00:00;1
2002-05-15 22:00:00+00:00;2
2024-11-05 13:23:43+00:00;1
2015-07-15 22:00:00+00:00;2
2019-12-20 03:49:45+00:00;1
2019-12-20 03:01:22+00:00;1
2019-12-20 03:39:17+00:00;1
2022-07-22 11:29:10+00:00;1
2024-07-09 09:35:30+00:00;1
2019-11-13 23:00:00+00:00;2
2019-12-20 01:47:06+00:00;1
2021-03-10 13:05:35+00:00;1
2019-12-20 00:44:47+00:00;1
2010-01-10 23:00:00+00:00;1
2019-12-20 04:01:44+00:00;1
2019-12-20 02:37:33+00:00;1
2021-11-05 15:27:04+00:00;1
2010-06-09 22:00:00+00:00;13
2025-06-10 11:34:17.405286+00:00;1
2022-09-08 06:41:35+00:00;1
2021-10-19 10:00:11+00:00;1
2021-05-06 14:08:57+00:00;1
2021-04-22 06:20:30+00:00;1
2006-06-19 22:00:00+00:00;2
2024-12-12 08:42:58+00:00;1
2025-03-31 12:24:19+00:00;1
2021-12-10 08:49:52+00:00;1
2019-12-20 00:55:37+00:00;1
2019-12-20 03:39:52+00:00;1
2019-12-20 03:17:15+00:00;1
2024-11-07 13:47:13+00:00;1
2025-01-13 09:11:26+00:00;1
2025-01-30 08:46:14+00:00;1
2019-12-20 02:53:53+00:00;1
2020-11-09 07:38:38+00:00;1
2019-12-20 03:31:29+00:00;1
2021-04-12 14:34:02+00:00;1
2020-02-06 14:10:31+00:00;1
2019-12-20 02:21:40+00:00;1
2020-10-12 10:45:32+00:00;1
2023-11-28 13:53:33+00:00;1
2019-12-20 01:22:47+00:00;1
2020-10-02 13:59:04+00:00;1
2019-12-20 01:34:14+00:00;1
2019-12-20 01:17:24+00:00;1
2019-12-20 04:04:11+00:00;1
2023-09-05 07:44:23+00:00;1
2006-09-18 22:00:00+00:00;13
2006-12-21 23:00:00+00:00;13
2002-02-08 23:00:00+00:00;2
2022-05-23 13:26:28+00:00;1
2003-07-17 22:00:00+00:00;6
2024-08-20 13:01:09+00:00;1
2021-05-11 13:06:12+00:00;1
2020-07-27 11:00:56+00:00;1
2019-12-20 04:13:54+00:00;1
2019-12-20 04:05:18+00:00;1
2019-12-20 04:09:22+00:00;1
2023-12-22 16:06:00+00:00;1
2025-02-06 15:15:13+00:00;1
