;0
2025-07-28 11:14:34.689714+00:00;1
2025-06-24 09:51:23.062610+00:00;1
2025-06-19 12:00:31.394007+00:00;1
2025-07-22 12:49:12.356619+00:00;1
2025-06-19 11:34:17.197947+00:00;1
2025-05-02 07:23:02.387999+00:00;1
2025-07-22 13:14:11.757010+00:00;1
2025-05-02 07:47:00.967778+00:00;1
2025-05-08 12:47:07.869844+00:00;1
2025-06-03 09:39:56.877984+00:00;1
2025-07-22 09:36:36.087729+00:00;1
2025-07-28 11:11:54.575898+00:00;1
2025-07-28 12:34:34.057448+00:00;1
2025-07-08 13:08:31.867207+00:00;1
2025-07-04 09:25:23.507489+00:00;1
2025-05-01 12:58:42.636311+00:00;1
2025-06-24 09:12:59.054466+00:00;1
2025-07-28 11:09:20.846635+00:00;1
2025-04-29 05:46:39.008482+00:00;1
2025-06-03 11:21:24.596195+00:00;1
2025-05-27 12:24:02.471201+00:00;1
2025-07-22 07:59:12.162620+00:00;1
2025-07-08 11:08:57.831199+00:00;1
2025-05-27 13:02:03.284424+00:00;1
2025-06-03 11:14:31.683735+00:00;1
2025-06-03 09:11:56.899085+00:00;1
2025-07-08 11:16:04.841473+00:00;1
2025-05-02 07:24:21.068250+00:00;1
2025-07-04 08:52:02.724494+00:00;1
2025-07-28 11:13:00.406423+00:00;1
2025-07-04 09:53:03.747280+00:00;1
2025-07-04 09:32:25.788833+00:00;1
2025-07-04 09:38:34.554218+00:00;1
2025-05-27 11:34:05.880075+00:00;1
2025-06-03 09:42:11.833080+00:00;1
2025-06-03 08:25:22.619176+00:00;1
2025-06-24 07:53:37.949672+00:00;1
2025-07-28 12:26:57.643264+00:00;1
2025-06-19 11:28:22.333721+00:00;1
2025-07-22 08:17:54.771936+00:00;1
2025-06-19 07:59:31.586894+00:00;1
2025-06-24 07:58:53.236283+00:00;1
2025-07-22 07:53:43.331383+00:00;1
2025-07-22 08:23:19.518141+00:00;1
2025-06-03 07:26:59.524664+00:00;1
2025-07-22 12:44:56.450874+00:00;1
2025-05-02 07:23:31.746203+00:00;1
2025-07-22 12:52:17.973788+00:00;1
2025-07-04 10:28:00.690406+00:00;1
2025-07-22 12:37:50.454244+00:00;1
2025-07-22 09:17:52.984402+00:00;1
2025-06-03 09:52:56.673620+00:00;1
2025-05-08 12:46:20.531091+00:00;1
2025-06-03 09:42:21.543104+00:00;1
2025-06-24 07:07:28.901254+00:00;1
2025-06-24 10:54:24.599701+00:00;1
2025-06-19 11:45:45.892192+00:00;1
2025-07-22 08:12:58.997923+00:00;1
2025-05-02 07:46:18.571252+00:00;1
2025-07-22 07:45:54.170648+00:00;1
2025-06-19 08:11:19.753203+00:00;1
2025-07-22 13:38:41.735320+00:00;1
2025-06-03 08:55:23.260949+00:00;1
2025-07-04 08:54:41.417100+00:00;1
2025-05-08 08:24:39.901336+00:00;1
2025-07-28 12:59:08.286434+00:00;1
2025-06-19 12:27:31.976333+00:00;1
2025-07-15 10:56:44.983630+00:00;1
2025-06-19 11:22:01.604829+00:00;1
2025-07-22 09:24:42.685926+00:00;1
2025-06-24 07:02:49.304992+00:00;1
2025-05-02 07:46:36.110332+00:00;1
2025-07-28 12:45:42.297476+00:00;1
2025-05-02 07:46:50.323827+00:00;1
2025-05-08 12:47:26.325480+00:00;1
2025-07-22 06:20:28.634830+00:00;1
2025-07-08 12:22:48.558240+00:00;1
2025-05-08 11:57:06.065061+00:00;1
2025-07-28 10:59:37.187521+00:00;1
2025-06-03 11:23:27.288351+00:00;1
2025-06-24 08:33:33.478274+00:00;1
2025-06-24 08:42:56.916529+00:00;1
2025-07-04 10:13:54.681443+00:00;1
