aktueel hoogtemodel;34
archeologisch;1714
archeologisch: (veld)kartering;20074
archeologisch: begeleiding;395
archeologisch: boring;2826
archeologisch: bureauonderzoek;20
archeologisch: duikactiviteiten;12
archeologisch: geofysisch onderzoek;48
archeologisch: inspectie;2392
archeologisch: onderwaterarcheologie;19
archeologisch: opgraving;5635
archeologisch: proefputten/proefsleuven;387
archeologisch: verwachtingskaart;3
hoogtemodelanalyse;1
indirect;272
indirect: archief;1504
indirect: collectiebeschrijving;917
indirect: literatuur;1153
luchtfoto/remote sensing;320
luchtfotoanalyse;1
niet-archeologisch;10618
niet-archeologisch: (veld)kartering;84
niet-archeologisch: baggerwerk;792
niet-archeologisch: booronderzoek;1
niet-archeologisch: boring;329
niet-archeologisch: duikactiviteiten;348
niet-archeologisch: graafwerk;8129
niet-archeologisch: kartering;2547
niet-archeologisch: metaaldetectie;43
niet-archeologisch: metaaldetector;3459
niet-archeologisch: waterwerk en exploitatie;137
niet-archeologisch: zichtvondst;7
verwervingswijze niet te bepalen;6778
verwervingswijze onbepaald;14
