;0
9320;1
2111;1
9965;1
9116;1
9149;1
8864;1
10122;1
20047;1
46864;1
9203;1
315;1
519;1
285;1
31548;1
203;1
190;1
10380;1
9382;1
13778;1
10454;1
9459;1
9389;1
10;1
518;1
32064;2
9317;1
9462;1
9432;1
8657;1
29;1
10634;1
562;1
9184;1
9294;1
34402;1
9461;1
14666;1
165;1
11068;1
20097;1
20082;1
9122;1
9123;1
410407;1
167;1
2344;1
9441;1
9254;1
9433;1
28;1
8908;1
9295;1
23;1
9066;1
6;1
9081;1
20084;1
8677;1
10680;1
9110;1
10133;1
320;1
35376;1
24058;1
9348;1
31767;1
8460;1
22064;1
9198;1
20059;1
9351;1
9394;1
9373;1
9467;1
9209;1
151;1
10754;1
9109;1
16586;1
3860;1
256;1
9219;1
9071;1
10662;1
86;1
9213;1
20054;1
9275;1
9162;1
423984;1
160;1
1842;1
10452;1
32072;1
17330;1
2418;1
47623;1
773;1
35364;1
83;1
9477;1
9201;1
157;1
1722;1
9458;1
8640;1
9095;1
36272;1
5308832100;1
26;1
9330;1
8;1
356;1
17262;1
25537;1
35367;1
10392;1
9169;1
9225;1
33558;1
9113;1
10390;1
20040;1
104;1
9381;1
32;1
5324513100;1
20038;1
20078;1
20026;1
9430;1
10657;1
9190;1
28936;1
1098;1
132;1
8928;1
20005;1
9460;1
9155;1
9195;1
512;1
2120;1
9224;1
2269;1
9111;1
380;1
10675;1
10670;1
342;1
9560;1
195;1
9154;1
10382;1
193;1
9246;1
9197;1
9112;1
9151;1
9310;1
9118;1
9097;1
159;1
35383;1
8859;1
10643;1
9189;1
2055;1
20031;1
9422;1
20006;1
17329;1
9510;1
9179;1
2193;1
2442;1
34303;1
9263;1
10466;1
10121;1
30012;1
107;1
47876;1
9121;1
9156;1
9439;1
78;1
8779;1
14086;1
8684;1
9147;1
2064;1
20055;1
9385;1
54807;1
5075885100;1
25437;1
32070;1
5335992100;1
5217107100;1
9289;1
10110;1
10038;1
9202;1
860;1
20000;1
20001;1
20042;1
9496;1
410451;1
5498179100;1
833;1
14163;1
9358;1
46600;1
92;1
9293;1
20048;1
9350;1
9120;1
33553;1
10394;1
9446;1
9307;1
20150;1
9285;1
20152;2
31711;1
150;1
5270016100;1
10124;1
10459;1
813;1
9495;1
35391;1
47881;1
9164;1
9290;1
9425;1
20018;1
164;1
184;1
2336;1
9146;1
9100;1
9083;1
9101;1
9093;1
499;1
9160;1
410263;1
9226;1
12244;1
19296;1
31068;1
9187;1
10408;1
9322;1
9966;1
9231;1
123;1
47550;1
10411;1
10221;1
2410;1
9969;1
9979;1
31712;1
20710;1
28939;1
9220;1
9260;1
134;1
23928;1
10179;1
10378;1
48752;1
9309;1
10637;1
9072;1
8753;1
9255;1
9163;1
417270;1
9354;1
20066;1
10664;1
9392;1
10455;1
508;1
35378;1
188;1
9105;1
31769;1
69;1
423;1
417196;1
136;1
10438;1
9497;1
170;1
29499;1
28993;1
9181;1
510;1
2333;1
9964;1
9171;1
9210;1
9453;1
9443;1
9238;1
9104;1
5598895100;1
32074;1
9674;1
22;1
8649;1
35381;1
9277;1
408522;1
10461;1
9435;1
28824;1
856;1
63;1
9450;1
9119;1
209;1
207;1
8666;1
2553;1
33179;1
236098;1
10228;1
19776;1
9207;1
10457;1
36444;1
9216;1
9341;1
14193;1
9125;1
9344;1
31915;1
437224;1
305;1
10453;1
9468;1
101;1
9856;1
20134;1
9376;1
10383;1
1557;1
23957;1
217;1
16591;1
9434;1
9334;1
412621;1
10460;1
10136;1
9479;1
9165;1
5;1
260;1
9252;1
10373;1
9279;1
9321;1
24047;1
4988357100;1
10290;1
434220;1
32080;1
31270;1
28846;1
20085;1
9182;1
19774;1
36445;1
9227;1
9302;1
9333;1
1929;1
10043;1
17812;1
19775;1
511;1
18748;1
20080;1
198;1
8776;1
10219;1
9454;1
20069;1
173;1
9237;1
35363;1
13169;1
20770;1
317;1
20136;1
9211;1
20699;1
20094;1
9276;1
435708;1
20146;1
9173;1
9431;1
10619;1
13781;1
9259;1
9232;1
11;1
9176;1
9944;1
10567;1
156;1
9426;1
10443;1
9340;1
9253;1
9365;1
15;1
424797;1
2377;1
9370;1
9092;1
9328;1
5616268100;1
9386;1
20063;1
368;1
9077;1
10379;1
48417;1
9082;1
12766;1
14146;2
9265;1
21;1
9057;1
364;1
