;62380
 ?);1
+/- 1880;1
+/- 1965;2
+/- 1986;1
+/- 1987;4
.;1
01-04-1885;14
01-05-1886;38
1- Juli 1896;3
1-07-1887;3
1-7-1881;5
1011880;3
1011932;2
1011942;1
1011973;3
10610;1
11 Juli 1877;10
11-03-1884;8
11-10-1886?;1
11-12-1975 en 26-1-76: wijzigingen;1
12 augustus 1898;5
12 juli 1886;15
13 en 14 december;1
13-05-1886;10
13-08-1881;11
14 november 1888;2
14-11-1887;10
14-16 februari : opgemeten;1
14-7-1880;22
1430;4
1431;7
1476;1
1478;1
15-11-1881;2
15-27 juli 1997;1
1525;1
16 september 1885;2
16-08-1886;3
16-5-1892;13
16-6 en 19-6  '44, Gemeten 24-7;1
16e eeuw;1
17 sept 1875;4
1773 zal meer de weergegeven datum zijn;1
1790?;1
18 ... ???;1
18-10-1886;35
1834 en 2004;1
1852 of 1843;2
1884;8
1886;16
1890;6
1891-04-04, aannemingsdatum;1
1893;2
1894 - 1895;1
19 september 1888;8
1914-02-26;2
1924 - 1926;14
1926-05-17 gereviseerd;1
1927-06;1
1934 - '35;1
1941-01-01;2
1941-192;1
1942 - 1953;1
1942-01-01;6
1942-04-14;1
1942-07, 1967-10, 1971-10;2
1943-01-01;35
1944-01-01;52
1944-06-01;1
1945 - 1951;1
1945-01-01;2
1946-01-01;1
1946-03-06;1
1947 - 1948;1
1947-01-01;10
1947-03-16;1
1947-06-01;4
1947-10-11;1
1948-01-01;8
1948-02-04;1
1948-03-02;1
1948-09-01;2
1949-01-01;3
1949-02-05;1
1951-05-00;1
1953 - 1961;1
1954-1960;1
1957-1959;1
1958-01-01;2
1959 - 1960;2
1960 - 1964;2
1960-01-01;3
1960-23-03;1
1961 - 1962;1
1961-12-01;1
1962 opgemeten, 1979 getekend;1
1965 - 1996;1
1966 - 1967;1
1966-01-01;2
1966-10-31;2
1967 - 1970;1
1967-01-01;1
1967-07-00 /  1968-03-00;1
1969-08-00 opgemeten;2
1969-12-00 aanvulling op;1
1970-01-01;1
1971, 1987 en 1988;1
1971-01-01;6
1971-06-01;5
1971-10-01;5
1972;1
1972-01-01;6
1972-01-01 / 1011971;1
1972?;1
1973;2
1975 - 1976;1
1975 - sept. - 1980;1
1975-06-01;1
1975-07-02;2
"1976-10-01 ; 1977-08-17";2
1977-01-17 en 1982-06-18;1
1978-01-01;1
1978-06-24;1
1979-04-27;2
1979-05-01;2
1980 - 1981;1
1981 / '82;1
1981-01-01;1
1985-08-00;1
1987-01-01;3
1990-06-18 opgemeten;3
1991 / 1999;1
1992-04-00 opgemeten;1
1992-06-02 en 1992-12-10;1
1993-10-20 opgemeten;1
1996-04-00;1
1997-04-16;2
1997-09-00;1
2 vervaardigingsdata;1
20 februari 1885;3
2011;5
21-07-1886;14
22-04-1887;4
22-8-1888;2
23-05-1887;5
24 september 1875;1
25, 27 en 31 maart 1992;1
25-11-92;1
26-2-1886;5
28-01-1877;7
28-03-1894;3
28-06-1886;4
28-08-1886;10
29 juli 1892;6
2e studiejaar, 1929 - 1930;1
3-09-1886;1
3-11-1886?;1
30-06-1887;1
31-3-1887;1
4-12-1886;22
4e kwartaal;8
5 en 23 juli 1908;1
5 juni en 1 juli 1992;1
6 maart 1883;7
7 september 1881;10
8 augustus 1898;9
8 en 9 juni, Gemeten : 14 aug.;1
8850;1
8852;2
Aanvulling;1
Amsterdam;4
Amsterdam, 1886;1
April '69 /mei '70;1
Augustus MCMXI;1
"Berghuis mat de kerk op in 1952 en vervaardigde de tekening in 1960; Boot werkte de tekening bij in juli 1965";1
Bewerkt naar tekening 1863;1
Bijgewerkt;1
Bijgewerkt: 1970;1
Blad 1 van Documentatie landelijke bouwkunst, Map 1. Deze boerderij viel in 1941 kadastraal onder Bedum, later onder Groningen. Afgebroken;1
Bouwhistorische waarneming en tekening;1
C.Boschma-Aarnoudse, Preuve en Proveniershuis, 1987;1
Circa 1962-1963;32
Circa 1965;1
Circa 1968;3
Circa 1970;4
Circa 1971;1
Circa 1971 getekend;1
Circa 1980-1985;1
Circa 1981;1
Circa 1982;1
Circa 1983;31
Circa 1985;13
Circa 1986;20
Circa 1989;1
Circa 1992;1
Copie verz. aan H.S.Bekius, Loonse Baan 1, Helvoirt tbv behoud.;1
Copieen foto's en tekening verzonden aan bewoner 6 mrt. 1991.;1
D-17-53;1
Data circa;1
Datering uit gegevens dossiermap;1
Datering uit publicatie, zie Opmerkingen;1
Datering: zie neg.nr 34.566;1
Datering: zie neg.nr: 34.566;1
Datum 13-3-'95 gew. 9-4-'95;1
Datum achteraf met potlood op de tekening gezet;1
Datum deels onleesbaar;1
Datum gedeeltelijk weggevallen;1
Datum goedkeuring door Burgemeester en wethouders;1
Datum goedkeuring door de minister;1
Datum goedkeuring door de minister van Binnenlandse Zaken;7
Datum goedkeuring minister van Binnenlandse Zaken;1
Datum goedkeuring wijzigingsplannen;1
Datum herziening;1
Datum is er met potlood (later?) bijgeschreven;1
Datum is schatting!;1
Datum laatste wijziging;33
Datum met potlood bijgeschreven;2
Datum met potlood erbij geschreven;1
Datum met potlood naast de marges geschreven;1
Datum ontvangst tekening met brief;1
Datum op gebouw;1
Datum opmeting;2
Datum van brief waarbij deze tekening als bijlage;1
Datum van brief waarbij tekening als bijlage;2
Datum van de brief waarbij deze tekening bijlage was;3
Datum van de laatste wijziging;13
Datum van kaartsysteem!;2
Datum van versturen tekening met brief;1
Datum van verzending;4
Datum verzending;2
Datum verzending van een kopie;2
Datum was slecht leesbaar, wellicht niet helemaal correct;1
Datum: recto-zijde!;1
"De tekening is rechtsonder gesigneerd en gedateerd: ""R.E.J. Roeterink fec. 1868.""";1
"De tekening is rechtsonder gesigneerd en gedateerd: ""R.E.J.R. fec. 1869.""";1
December 1976-januari 1977;1
December 1984 - december 1995;1
December 1985 - november 1988;1
Diverse data, 8 x Berends en 1 x Wiersma;1
Doorsneden naar opmeting 1918;1
Er staan dieverse, oudere, data op de tekening;1
Er staan diverse, oudere, data op de tekening;2
Er staan ook oudere data op de tekening;1
Febr. MCMVII;1
Februari 1987 - november 1993;1
Februari MCMVII;1
Fig. 13 in: N. Boschma en H. van Koolbergen, Stolp of salon? SHBO, 1985;1
Fig. 18 in: N.Boschma en H.van Koolbergen, Stolp of Salon, 1985;1
Gecontroleerd 20-6-1977;1
Gecorr. 25-11-'58;1
Gemeten 16-8, A.V;4
Gemeten 24-7;4
Gemeten : 14 aug.;2
Gemeten en getekend;3
Gemeten: 10/7;1
Gemeten: 10/7 A.W. (of A.V. ?);3
Gemeten: 11-08;1
Gemeten: 11-7;1
Gemeten: 13-7;1
Gemeten: 14-08;1
Gemeten: 15-08;5
Gemeten: 16-08;2
Gemeten: 16/7 A.W. (of A.V. ?);1
Gemeten: 18/7  A.W. (of A.V. ?);4
Gemeten: 21/7  A.W. (of A.V. ?);1
Gemeten: 25/7 A.W.;1
Gemeten: 25/7 A.W. (of A.V. ?);3
Gemeten: 26/7 A.W. (of A.V. ?);4
Gemeten: 27-07;5
Gemeten: 27/7;1
Gemeten: 27/7 A.W. (of A.V. ?);3
Gemeten: 6/7  A.W. (of A.V. ?);2
Gemeten: 7/6  A.W. (of A.V. ?);3
Gepubliceerd in: Verantwoord onder water (Zutphen 1986), p. 28;1
Gereviseerd;2
Geschat op basis van werknummer;3
Geschatte datum;2
Getekend en opgemeten;4
Getekend juni 1906, details in 1908;1
Getekend naar toestand 1951;2
Gew.: 1982-10-22;1
Gew.: 25/11, Ben Kooy;1
Gew.: dec. 1983, A. Warffemius;1
Gewijizigd op 1998-10-00;1
Gewijizigd op 1999-09-09;1
Gewijizigd op 2002-04-00;1
Gewijz. 22 okt. 1982;1
Gewijz. 22 okt. 1982  (1983?);1
Gewijzigd;2
Gewijzigd 1956-03-13;1
Gewijzigd 1971-09-00;1
Gewijzigd 2 jan. 1989;1
Gewijzigd maart 1974;1
Gewijzigd op 1991-02-00;1
Gewijzigd op 1991-02-00 en 1992-02-00;1
Gewijzigd op 1991-03-00;1
Gewijzigd op 1991-12-00 en 1994-04-00;1
Gewijzigd op 1992-08-00;1
Gewijzigd op 1992-08-00 en 1993-04-00;1
Gewijzigd op 1992-09-00 en 2002-04-01;1
Gewijzigd op 1992-10-00;1
Gewijzigd op 1992-11-03 en 1993-04-00;1
Gewijzigd op 1993-04-00;1
Gewijzigd op 1993-08-00;1
Gewijzigd op 1994-02-18 en 2002-04-00;1
Gewijzigd op 1994-04-00;1
Gewijzigd op 1995-03-00;1
Gewijzigd op 1995-04-00;1
Gewijzigd op 1995-08-00;1
Gewijzigd op 1996-06-28;1
Gewijzigd op 1996-09-00;1
Gewijzigd op 1997-04-00;1
Gewijzigd op 1997-07-00;2
Gewijzigd op 1997-09-00;1
Gewijzigd op 1997-11-00;1
Gewijzigd op 1997-11-00 en 2002-04-00;1
Gewijzigd op 1998-02-00;1
Gewijzigd op 1998-05-00;3
Gewijzigd op 1998-06-00;1
Gewijzigd op 1998-07-00 en 1998-08-00;1
Gewijzigd op 1998-07-00 en 2000-07-00;1
Gewijzigd op 1998-08-00  en 2002-02-00;1
Gewijzigd op 1998-09-00;1
Gewijzigd op 1998-12-00 en 2001-03-00;1
Gewijzigd op 1999-01-00;1
Gewijzigd op 1999-03-00;3
Gewijzigd op 1999-04-00;3
Gewijzigd op 1999-05-00;1
Gewijzigd op 1999-05-00 en 2000-01-00;1
Gewijzigd op 1999-05-00 en 2000-04-00;1
Gewijzigd op 1999-06-00;2
Gewijzigd op 1999-09-00;3
Gewijzigd op 1999-09-00 en 2000-11-00;1
Gewijzigd op 1999-09-09;1
Gewijzigd op 1999-09-09 en 1999-11-00;1
Gewijzigd op 1999-09-14 en 2000-09-11;1
Gewijzigd op 1999-09-15;1
Gewijzigd op 1999-09-15 en 2000-08-00;1
Gewijzigd op 1999-10-01;1
Gewijzigd op 1999-10-03;1
Gewijzigd op 1999-10-09;1
Gewijzigd op 1999-10-09 en 2000-03-30;1
Gewijzigd op 1999-10-10;1
Gewijzigd op 1999-11-00;1
Gewijzigd op 1999-12-00 en 2000-05-00;1
Gewijzigd op 1999-12-00, 2000-05-00 en 2001-04-00;1
Gewijzigd op 2000-01-00;2
Gewijzigd op 2000-05-00;5
Gewijzigd op 2000-05-00 en 2000-09-00;1
Gewijzigd op 2000-05-05 en 2000-06-26;1
Gewijzigd op 2000-08-00 en 2000-10-00;1
Gewijzigd op 2000-08-00 en 2002-05-00;1
Gewijzigd op 2000-09-00;1
Gewijzigd op 2000-09-00 en 2000-11-00;1
Gewijzigd op 2000-11-00;1
Gewijzigd op 2001-00-00;1
Gewijzigd op 2001-01-00;1
Gewijzigd op 2001-02-00;2
Gewijzigd op 2001-03-00;1
Gewijzigd op 2001-04-00;2
Gewijzigd op 2001-07-30 en 2001-10-31;1
Gewijzigd op 2002-03-25;1
Gewijzigd op 2002-04-00;7
Gewijzigd op 2003-00-00;1
Gewijzigd op1992-03-00 en 1997-04-00;1
Gewijzigd op: 1993-10-00;1
Gewijzigd op: 1999-09-14;1
Gewijzigd op: 1999-11-00 en 2000-05-00;1
Gewijzigd: 01-10-'99;1
Gewijzigd: IvdB : juli 2000;1
Gewijzigd: IvdB: 1992-06-00;1
Gewijzigd: J.J. apil 2003;1
Gewijzigd: Jan Jehee: 2003;1
Gewijzigd: RB : 3-3-'04;2
Gewijzigd: april 2000 en mei 2000;1
Gewijzigd: april 2002;1
Gewijzigd: aug. 1998;1
Gewijzigd: febr. 2000, Gewijzigd: mrt. 2000;1
Gewijzigd: juli 1999 en aug. 2000;1
Gewijzigd: mrt. 1999 en mei 1999;1
Gewijzigd: sept. 2000;1
Gewijzigd: sept. 2003;1
Gezien;1
Goedgekeurd;2
Hisorisch nummer;1
Historisch nummer;1
III-'92;3
Im Jahre 1860;1
In of na 1890;1
In: N.Boschma en H.van Koolbergen, Stolp of Salon, 1985;1
Ingezonden;1
Jaartal ontbreekt op tekening;1
Jan. 1995  -  mei 1996;1
Januari - april 1977;1
Jaren '50  -  '60;2
Juli 1892;10
Juli 1989 - augustus 1997;1
Juli MCMLVII;1
Kleur;1
Kopie naar tekening 1923;1
Kopie van opmeting 1882;1
Laatst gewijzigd 06-04-2006;1
Laatst gewijzigd 15-02-2006;1
Laatst gewijzigd 17-10-2006;1
Laatst gewijzigd 19-04-2006;1
Laatst gewijzigd 19-8-2005;1
Laatst gewijzigd 21-11-2005;1
Laatst gewijzigd 22-2-2007;1
Laatst gewijzigd 23-8-2005;1
Laatst gewijzigd 30-1-2006;1
Laatst gewijzigd 6-9-2006;1
Laatst gewijzigd 8-2-2006;2
Laatste gewijziging tekening: 24 juli 2009;1
Laatste tekening van de eeuw!!!;1
Lente MCMXXV;1
MCMIL;2
MCML;14
MCMLIV;1
MCMLIX;1
MCMLVI;1
MCMLVII;4
Maart 1906-mei 1979;1
Maart 1962 - april 1996;3
Mei MCMXLVIII;2
Mei-augustus 1976;1
Met gebruikmaking van opmeting 1944 H. van der Wal;1
Met potlood er, vermoedelijk later, bijgeschreven;1
Mulder, A.J.M. (Adolph, 1856-1936), werd in 1902 benoemd tot Rijksbouwmeester voor de monumenten. In die functie was hij verantwoordelijk voor het opmeten en inventariseren van een groot aantal monumentale gebouwen in Nederland. In 1881 deed hij dat bij de Grote kerk van Veere. Bron: Wikipedia en Zeeuws Archief, ASV, inv.nr. 2150, notulen vergadering van de gemeenteraad van Veere, 14 oktober 1881 (overdracht van de toren aan de Staat der Nederlanden, waaraan voorafgaand mogelijk opnieuw bouwhistorisch onderzoek werd gedaan);3
Mulder, A.J.M. (Adolph, 1856-1936), werd in 1902 benoemd tot Rijksbouwmeester voor de monumenten. In die functie was hij verantwoordelijk voor het opmeten en inventariseren van een groot aantal monumentale gebouwen in Nederland. In 1881 deed hij dat bij de Grote kerk van Veere. Bron: Wikipedia en Zeeuws Archief, ASV, inv.nr. 2150, notulen vergadering van de gemeenteraad van Veere, 14 oktober 1881 (overdracht van de toren aan de Staat der Nederlanden, waaraan voorafgaand mogelijk opnieuw bouwhistorisch onderzoek werd gedaan).;1
Naar bopmeting 1911-00-00;1
Naar een foto van 1980 of eerder;1
Naar een tekening van Gemeentewerken Schoonhoven van 1936.;1
Naar een tekening van RACM uit 19690 (?);1
Naar opmeting;1
Naar opmeting 1922;1
Naar opmeting 1944-07-00;1
Naar opmeting 1956;1
Naar opmeting 1966;3
Naar opmeting H. van der Wal, 1943;1
Naar opmeting Warffemius;1
Naar opmeting van 1886;1
Naar tekening J. Schipper 1964;1
Naar tekening openbare werken 1943;1
Naar tekening uit 1951 van Th.H.A. Benschop;1
Naar tekening vam 1894;1
Naar tekening van 1919-110-02;1
Nadere detaillering v.d. kwaliteit v.d. bebouwing op schaal 1/1000 (1956);1
Najaar;3
Najaar 1959-januari 1960;1
Notatie: 1967-1977;1
November 1962 - april 1996;2
