;2811
1;12
10;11
100;1
101;1
102;1
103;2
104;2
105;1
106;3
107;3
108;2
109;2
10A;1
10B;1
11;13
110;2
111;2
112;2
113;2
114;2
115;2
116;1
117;1
118;2
119;2
11A;1
11B;1
12;12
120;1
121;2
122;1
125;1
126;1
13;11
131;1
14;10
15;11
150;1
151;1
16;10
160;1
17;11
177;1
18;11
184;1
187;1
188;1
189;1
19;11
190;1
1A;1
2;14
20;9
21;8
22;8
222;1
23;9
24;9
25;8
251;1
252;1
253;1
254;1
255;1
256;1
257;1
258;1
259;1
26;7
261;1
262;1
263;1
264;1
265;1
266;1
267;1
268;1
269;1
27;8
270;1
271;1
272;1
273;1
274;1
275;1
276;1
277;1
278;1
279;1
28;7
280;1
281;1
282;1
283;1
284;1
287;1
288;1
289;1
29;8
290;1
291;1
292;1
293;1
294;1
295;1
296;1
297;1
298;1
3;13
30;5
300;1
30000007;1
301;1
302;1
303;1
304;1
305;1
309;1
31;6
310;1
311;1
312;1
314;1
315;1
316;1
317;1
318;1
319;1
32;5
320;1
321;1
322;1
323;1
324;1
325;1
326;1
327;1
328;1
329;1
33;6
330;1
331;1
332;1
333;1
334;1
335;1
336;1
337;1
338;1
339;1
34;4
340;1
341;1
342;1
343;1
344;1
345;1
346;1
347;1
348;1
349;1
35;5
350;1
351;1
352;1
353-3;1
354;1
354-1;1
354-2;1
354-5;1
354-6;1
354-7;1
355;1
356;1
357;1
358;1
359;1
36;4
360;1
361;1
362;1
363;1
364;1
365;1
366;1
367;1
368;1
369;1
37;3
370;1
371;1
372;1
373;1
374;1
375;1
376;1
377;1
378;1
379;1
38;3
380;1
381;1
382;1
384;1
385;1
386;1
387;1
388;1
389;1
39;3
390;1
391;1
392;1
393;1
394;1
395;1
396;1
397;1
398;1
399;1
4;16
40;4
400;1
41;5
42;3
43;2
44;3
45;3
46;2
462;1
463;1
47;2
48;2
49;3
496;1
5;11
50;3
51;4
52;4
53;2
534;1
54;2
55;3
56;3
57;3
577;1
58;1
59;1
596;1
5A;1
5B;1
6;14
6,512,001;1
6,512,002;1
6,515,001;1
6,515,002;1
6,515,003;1
6,515,004;1
60;3
601;1
609;1
61;1
612;1
613;1
62;1
622;1
63;1
64;2
65;2
6513;1
6514;1
6517;1
6518;1
6519;1
6520;1
6521;1
6522;1
6523;1
6524;1
6525;1
6526;1
6527;1
6528;1
6529;1
6530;1
6531;1
6532;1
6533;1
6534;1
6535;1
6536;1
6537;1
6538;1
6539;1
6540;1
6541;1
6542;1
6543;1
6544;1
6545;1
6546;1
6547;1
6548;1
66;2
67;3
68;3
682;1
683;1
69;3
7;15
70;2
71;2
72;3
73;1
74;3
75;2
76;2
77;2
78;1
79;1
7A;1
8;14
80;1
81;3
82;1
83;1
84;1
85;2
863-1;1
863-2;1
863-3;1
863-4;1
864-2;1
864-3;1
864-6;1
87;1
88;1
89;1
9;12
90;2
91;1
92;3
93;3
94;2
95;2
96;2
97;2
98;2
99;1
Adlib Priref BT;61111
Alexandernummer;2
BRAL0006.001;1
BRAL0006.002;1
BRAL0007.001;1
BRAL0007.002;1
BRAL0007.003;1
BRAL0007.004;1
BRAL0008.000;1
BRAL0009.001;1
BRAL0009.002;1
BRAL0010-001;1
BRAL0010.002;1
BRAL0011.001;1
BRAL0011.002;1
BRAL0011.003;1
BRAL0012-001;1
BRAL0012.002;1
BRAL0013.001;1
BRAL0013.002;1
BRAL0014;1
BRAL0015.001;1
BRAL0015.002;1
BRAL0015.003;1
BRAL0016;1
BRAL0017.001;1
BRAL0017.002;1
BRAL0018;1
BRAL0019.001;1
BRAL0019.002;1
BRAL0020;1
BRAL0021.001;1
BRAL0021.002;1
BRAL0021.003;1
BRAL0022.001;1
BRAL0022.002;1
BRAL0022.003;1
BRAL0023.001;1
BRAL0023.002;1
BRAL0024;1
BRAL0025;1
BRAL0026;1
BRAL0027;1
BRAL0028;1
BRAL0029;1
BRAL0030;1
BRAL0031;1
BRAL0032;1
BRAL0033.001;1
BRAL0033.002;1
BRAL0034.001;1
BRAL0034.002;1
BRAL0034.003;1
BRAL0035;1
BRAL0036;1
BRAL0037.000;1
BRAL0038.001;1
BRAL0038.002;1
BRAL0039.001;1
BRAL0040.001;1
BRAL0041.001;1
BRAL0041.002;1
BRAL0041.003;1
BRAL0042.000;1
BRAL0043.000;1
BRAL0044.000;1
BRAL0045.001;1
BRAL0045.002;1
BRAL0046.000;1
BRAL0047.001;1
BRAL0047.002;1
BRAL0048.000;1
BRAL0049.000;1
BRAL0050.001;1
BRAL0050.002;1
BRAL0051.000;1
BRAL0052.000;1
BRAL0052.002;1
BRAL0053.000;1
BRAL0054.001;1
BRAL0054.002;1
BRAL0055.000;1
BRAL0056.000;1
BRAL0057.000;1
BRAL0058.000;1
BRAL0059.000;1
BRAL0060.000;1
BRAL0061.000;1
BRAL0062.000;1
BRAL0063.000;1
BRAL0064.000;1
E84837;1
H;1
Hiistorisch nummer;2
Hisorisch nummer;2
Hisrorisch nummer;22
Historisch;754
Historisch SHBO nummer;1168
Historisch monument nummer;1
Historisch nummer;31551
Historisch tekening nummer;92
Historische nummers;7
Kaartsysteem;1
KenW-nummer;1
OPM-Doosnummer;855
Oud Documentnummer RDMZ;272
Oud tekeningnummer;2
Portefeuille;1
Portefeuillenummer;192
Stamboeknummer;1
Straatnaam;1
Tekening nummer;3
Ten Bruggencate nr.;204
Werk nr.:;1
Werkno.;1
Werknr.:;3
archiefnr;11
archiefnummer;7
historisch nummer;297
historische naam;1
