;5
-Midwoud 28;1
0123456789;1
157510;1
417216;1
=Dorpsweg 79 Twisk;1
AAHT0001.001;1
AAHT0001.002;1
AAHT0001.003;1
AAHT0001.004;1
AANA0001.001;1
AARC0001.001;1
ABEA0001.001;1
ADEW0001.001;1
ADEW0001.002;1
AGRO0001.001;1
AGRO0002.001;1
ALEX-001;1
ALEX-002;1
ALEX-003;1
ALEX-004;1
ALEX-005;1
ALEX-006;1
ALEX-007;1
ALEX-008;1
ALEX-009;1
ALEX-010;1
ALEX-011;1
ALEX-012;1
ALEX-013;1
ALEX-014;1
ALEX-015;1
ALEX-016;1
ALEX-017;1
ALEX-018;1
ALEX-019;1
ALEX-020;1
ALEX-021;1
ALEX-022;1
ALEX-023;1
ALEX-024;1
ALEX-025;1
ALEX-026;1
ALEX-027;1
ALEX-028;1
ALEX-029;1
ALEX-030;1
ALEX-031;1
ALEX-032;1
ALEX-033;1
ALEX-034;1
ALEX-035;1
ALEX-036;1
ALEX-037;1
ALEX-038;1
ALEX-039;1
ALEX-040;1
ALEX-041;1
ALEX-042;1
ALEX-043;1
ALEX-044;1
ALEX-045;1
ALEX-046;1
ALEX-047;1
ALEX-048;1
ALEX-049;1
ALEX-050;1
ALEX-051;1
ALEX-052;1
ALEX-053;1
ALEX-054;1
ALEX-055;1
ALEX-056;1
ALEX-057;1
ALEX-058;1
ALEX-059;1
ALEX-060;1
ALEX-061;1
ALEX-062;1
ALEX-063;1
ALEX-064;1
ALEX-065;1
ALEX-066;1
ALEX-067;1
ALEX-068;1
ALEX-069;1
ALEX-070;1
ALEX-071;1
ALEX-072;1
ALEX-073;1
ALEX-074;1
ALEX-075;1
ALEX-076;1
ALEX-077;1
ALEX-078;1
ALEX-079;1
ALEX-080;1
ALEX-081;1
ALEX-082;1
ALEX-083;1
ALEX-084;1
ALEX-085;1
ALEX-086;1
ALEX-087;1
ALEX-088;1
ALEX-089;1
ALEX-090;1
ALEX-091;1
ALEX-092;1
ALEX-093;1
ALEX-094;1
ALEX-095;1
ALEX-096;1
ALEX-097;1
ALEX-098;1
ALEX-099;1
ALEX-100;1
ALEX-101;1
ALEX-102;1
ALEX-103;1
ALEX-104;1
ALEX-105;1
ALEX-106;1
ALEX-107;1
ALEX-108;1
ALEX-109;1
ALEX-110;1
ALEX-111;1
ALEX-112;1
ALEX-113;1
ALEX-114;1
ALEX-115;1
ALEX-116;1
ALEX-117;1
ALEX-118;1
ALEX-119;1
ALEX-120;1
ALEX-121;1
ALEX-122;1
ALEX-123;1
ALEX-124;1
ALEX-125;1
ALEX-126;1
ALEX-127;1
ALEX-128;1
ALEX-129;1
ALEX-130;1
ALEX-131;1
ALEX-132;1
ALEX-133;1
ALEX-134;1
ALEX-135;1
ALEX-136;1
ALEX-137;1
ALEX-138;1
ALEX-139;1
ALEX-140;1
ALEX-141;1
ALEX-142;1
ALEX-143;1
ALEX-144;1
ALEX-145;1
ALEX-146;1
ALEX-147;1
ALEX-148;1
ALEX-149;1
ALEX-150;1
ALEX-151;1
ALEX-152;1
ALEX-153;1
ALEX-154;1
ALEX-155;1
ALEX-156;1
ALEX-157;1
ALEX-158;1
ALEX-159;1
ALEX-160;1
ALEX-161;1
ALEX-162;1
ALEX-163;1
ALEX-164;1
ALEX-165;1
ALEX-166;1
ALEX-167;1
ALEX-168;1
ALEX-169;1
ALEX-170;1
ALEX-171;1
ALEX-172;1
ALEX-173;1
ALEX-174;1
ALEX-175;1
ALEX-176;1
ALEX-177;1
ALEX-178;1
ALEX-179;1
ALEX-180;1
ALEX-181;1
ALEX-182;1
ALEX-183;1
ALEX-184;1
ALEX-185;1
ALEX-186;1
ALEX-187;1
ALEX-188;1
ALEX-189;1
ALEX-190;1
ALEX-191;1
ALEX-192;1
ALEX-193;1
ALEX-194;1
ALEX-195;1
ALEX-196;1
ALEX-197;1
ALEX-198;1
ALEX-199;1
ALEX-200;1
ALEX-201;1
ALEX-202;1
ALEX-203;1
ALEX-204;1
ALEX-205;1
ALEX-206;1
ALEX-207;1
ALEX-208;1
ALEX-209;1
ALEX-210;1
ALEX-211;1
ALEX-212;1
ALEX-213;1
ALEX-214;1
ALEX-215;1
ALEX-216;1
ALEX-217;1
ALEX-218;1
ALEX-219;1
ALEX-220;1
ALEX-221;1
ALEX-222;1
ALEX-223;1
ALEX-224;1
ALEX-225;1
ALEX-226;1
ALEX-227;1
ALEX-228;1
ALEX-229;1
ALEX-230;1
ALEX-231;1
ALEX-232;1
ALEX-233;1
ALEX-234;1
ALEX-235;1
ALEX-236;1
ALEX-237;1
ALEX-238;1
ALEX-239;1
ALEX-240;1
ALEX-241;1
ALEX-242;1
ALEX-243;1
ALEX-244;1
ALEX-245;1
ALEX-246;1
ALEX-247;1
ALEX-248;1
ALEX-249;1
ALEX-250;1
ALEX-251;1
ALEX-252;1
ALEX-253;1
ALEX-254;1
ALEX-255;1
ALEX-256;1
ALEX-257;1
ALEX-258;1
ALEX-259;1
ALEX-260;1
ALEX-261;1
ALEX-262;1
ALEX-263;1
ALEX-264;1
ALEX-265;1
ALEX-266;1
ALEX-267;1
ALEX-268;1
ALEX-269;1
ALEX-270;1
ALEX-271;1
ALPC0001.001;1
ALSH0001.001;1
ALSH0001.002;1
ANON0001.001;1
ANON0002.001;1
ANON0003.001;1
ANON0004.001;1
ANON0005.001;1
ANON0006.001;1
ANON0007.001;1
ANON0009.001;1
ANON0010.001;1
ANON0011.001;1
ANON0012.001;1
ANON0012.002;1
ANON0012.003;1
ANON0012.004;1
ANON0013.001;1
ANON0013.002;1
ANON0013.003;1
ANON0014.001;1
ANON0014.002;1
ANON0015.001;1
ANON0016.001;1
ANON0017.001;1
ANON0018.001;1
ANON0019.001;1
ANON0020.001;1
ANON0021.001;1
ANON0022.001;1
ANON0023.001;1
ANON0024.001;1
ANON0025.001;1
ANON0026.001;1
ANON0027.001;1
ANON0027.002;1
ANON0028.001;1
ANON0029.001;1
ANON0029.002;1
ANON0029.003;1
ANON0030.001;1
ANON0031.001;1
ANON0032.001;1
ANON0033.001;1
ANON0034.001;1
ANON0034.002;1
ANON0034.003;1
ANON0034.004;1
ANON0034.005;1
ANON0034.006;1
ANON0035.001;1
ANON0036.001;1
ANON0036.002;1
ANON0037.001;1
ANON0037.002;1
ANON0037.003;1
ANON0037.004;1
ANON0037.005;1
ANON0037.006;1
ANON0037.007;1
ANON0037.008;1
ANON0037.009;1
ANON0039.001;1
ANON0040.001;1
ANON0041.001;1
ANON0041.002;1
ANON0042.001;1
ANON0043.001;1
ANON0044.001;1
ANON0045.001;1
ANON0046.001;1
ANON0046.002;1
ANON0046.003;1
ANON0046.004;1
ANON0047.001;1
ANON0048.001;1
ANON0049.001;1
ANON0050.001;1
ANON0050.002;1
ANON0051.001;1
ANON0052.001;1
ANON0053.001;1
ANON0054.001;1
ANON0055.001;1
ANON0056.001;1
ANON0056.002;1
ANON0056.003;1
ANON0056.004;1
ANON0057.001;1
ANON0057.002;1
ANON0057.003;1
ANON0057.004;1
ANON0058.001;1
ANON0058.002;1
ANON0059.001;1
ANON0061.001;1
ANON0062.001;1
ANON0063.001;1
ANON0064.001;1
ANON0065.001;1
ANON0066.001;1
ANON0067.001;1
ANON0067.002;1
ANON0068.001;1
ANON0068.002;1
ANON0069.001;1
ANON0070.001;1
ANON0071.001;1
ANON0071.002;1
ANON0071.003;1
ANON0072.001;1
ANON0073.001;1
ANON0074.001;1
ANON0075.001;1
ANON0076.001;1
ANON0076.002;1
ANON0077.001;1
ANON0078.001;1
ANON0078.002;1
ANON0079.001;1
ANON0080.001;1
ANON0080.002;1
ANON0081.001;1
ANON0082.001;1
ANON0082.002;1
ANON0083.001;1
ANON0083.002;1
ANON0084.001;1
ANON0084.002;1
ANON0085.001;1
ANON0086.001;1
ANON0088.001;1
ANON0089.001;1
ANSJ0001.001;1
ANSJ0001.002;1
APEL0001.001;1
AREL0001.001;1
ARTN0001.001;1
ASBJ0001.001;1
ASBJ0003.001;1
ATVA0001.001;1
ATVA0001.002;1
ATVA0001.003;1
ATVA0001.004;1
ATVA0001.005;1
AWGM0001.001;1
AWGM0001.002;1
BAAC0001.001;1
BAAC0001.002;1
BAAC0002.001;1
BAAC0003.001;1
BAAL0001.001;1
BAAL0001.002;1
BAAL0001.003;1
BAAL0001.004;1
BAAL0001.005;1
BAAL0001.006;1
BAAL0001.007;1
BAAL0001.008;1
BAAL0001.009;1
BAAL0001.010;1
BAAL0001.011;1
BAAL0001.012;1
BAAL0001.013;1
BAAL0001.014;1
BAKA0001.001;1
BAKB0001.001;1
BAKK0001.001;1
BAKK0001.002;1
BAKK0001.003;1
BAKK0001.004;1
BAKK0002.001;1
BAKK0002.002;1
BALA0001.001;1
BALA0001.002;1
BALA0001.003;1
BDAR0001.001;1
BDAR0001.002;1
BDAR0001.003;1
BDGH0001.001;1
BECH0001.001;1
BECH0001.002;1
BECH0001.003;1
BEEB0001.001;1
BEEB0001.002;1
BEEB0001.003;1
BEEB0001.004;1
BEEB0002.001;1
BEEB0002.002;1
BEEB0003.001;1
BEEB0003.002;1
BEEB0003.003;1
BEEB0004.001;1
BEEB0004.002;1
BEEB0005.001;1
BEEB0005.002;1
BEEB0005.003;1
BEEB0005.004;1
BEEB0005.005;1
BEEB0005.006;1
BEEB0006.001;1
BEEB0006.002;1
BEEB0006.003;1
BEEB0007.001;1
BEEB0008.001;1
BEEB0009.001;1
BEEB0009.002;1
BEEB0009.003;1
BEEB0009.004;1
BEEB0010.001;1
BEEB0010.002;1
BEEB0010.003;1
BEEB0010.004;1
BEEB0010.005;1
BEEB0011.001;1
BEEB0011.002;1
BEEB0012.001;1
BEEB0013.001;1
BEEB0013.002;1
BEEB0013.003;1
BEEB0013.004;1
BEEB0014.001;1
BEEB0014.002;1
BEEB0014.003;1
BEEB0015.001;1
BEEB0015.002;1
BEEB0016.001;1
BEEB0016.002;1
BEEB0017.001;1
BEEB0017.002;1
BEEB0018.001;1
BEEB0018.002;1
BEEB0018.003;1
BEEB0018.004;1
BEEB0018.005;1
BEEB0018.006;1
BEEB0018.007;1
BEEB0019.001;1
BEEB0019.002;1
BEEB0019.003;1
BEEB0020.001;1
BEEB0021.001;1
BEEB0022.001;1
BEEB0023.001;1
BEEB0024.001;1
BEEB0024.002;1
BEEB0025.001;1
BEEB0026.001;1
BEEB0027.001;1
BEEB0028.001;1
BEEB0028.002;1
BEEB0029.001;1
BEEB0030.001;1
BEEB0030.002;1
BEEB0030.003;1
BEEB0030.004;1
BEEB0030.005;1
BEEB0030.006;1
BEEB0030.007;1
BEEB0030.008;1
BEEB0030.009;1
BEEB0031.001;1
BEEB0032.001;1
BEEB0033.001;1
BEEB0033.002;1
BEEB0033.003;1
BEEB0033.004;1
BEEB0034.001;1
BEEB0034.002;1
BEEB0035.001;1
BEEB0036.001;1
BEEB0036.002;1
BEEB0037.001;1
BEEB0037.002;1
BEEB0038.001;1
BEEB0039.001;1
BEEB0039.002;1
BEEB0040.001;1
BEEB0040.002;1
BEEB0041.001;1
BEEB0042.001;1
BEEB0042.002;1
BEEB0043.001;1
BEEB0043.002;1
BEEB0044.001;1
BEEB0044.002;1
BEEB0045.001;1
BEEB0045.002;1
BEEB0046.001;1
BEEB0046.002;1
BEEB0047.001;1
BEEB0048.001;1
BEEB0049.001;1
BEEB0049.002;1
BEEB0050.001;1
BEEB0051.001;1
BEEB0051.002;1
BEEB0051.003;1
BEEB0052.001;1
BEEB0052.002;1
