;16161
100001848;1
100012664;1
100013032;1
100030184;1
100031108;1
10003856;1
10005296;1
100057476;1
100058580;1
100062376;1
100065950;1
100073940;1
100077944;1
1000793;1
100083316;1
100085704;1
100093744;1
100102956;1
10010428;1
100104740;1
100106168;1
1001066;1
100108672;1
10010924;1
100118408;1
100118884;1
1001368;1
100149024;1
100155580;1
100155784;1
100156484;1
100158802;1
100162436;1
100170889;1
100174816;1
10017777;1
10017984;1
1001803;1
100182064;1
100187006;1
100188068;1
100189776;1
10019452;1
100194600;1
100215452;1
100219320;1
100219348;1
100236328;1
100244996;1
100245702;1
100248536;1
100267756;1
100273368;1
100276154;1
100276280;1
100288360;1
100290416;1
100295420;1
100295864;1
10029720;1
100299044;1
100308416;1
100330870;1
100355754;1
100358164;1
100359924;1
100371847;1
100379224;1
100382108;1
100383108;1
100387800;1
100389544;1
100399076;1
100400728;1
100403640;1
10041198;1
100414100;1
100418252;1
100421384;1
100423880;1
100431220;1
100432456;1
100438024;1
100440036;1
100445474;1
100448612;1
100449401;1
100450036;1
100452224;1
100465632;1
100468244;1
100470476;1
100476340;1
100478423;1
100484808;1
100493044;1
100495776;1
100499444;1
100512272;1
100514044;1
1005278;1
10053416;1
10053529;1
100539820;1
10054218;1
100542416;1
10055196;1
100553084;1
100553656;1
100554636;1
100558144;1
10056284;1
100569416;1
100571225;1
100571664;1
100581464;1
100584244;1
100586036;1
100589192;1
10059244;1
100601792;1
100603996;1
10061226;1
10061484;1
100627480;1
100632532;1
100637164;1
100642476;1
100643314;1
100645400;1
100647966;1
100654740;1
100658012;1
100670964;1
100672938;1
100678136;1
100683552;1
100687896;1
10070400;1
100714272;1
100715407;1
100716808;1
10072112;1
100731404;1
10073144;1
100736184;1
10073638;1
100737240;1
100739080;1
100741664;1
100742844;1
10074296;1
100747408;1
10075596;1
100759250;1
100759945;1
100766616;1
100767188;1
100769564;1
10077352;1
100774420;1
100778924;1
100784047;1
100789400;1
100791544;1
100792226;1
10080016;1
100800504;1
100802064;1
10080367;1
100808244;1
100810928;1
100821860;1
100824432;1
100831160;1
100832340;1
100837238;1
100845679;1
100846804;1
100847494;1
100849572;1
100851272;1
100855384;1
10086932;1
100878656;1
100887496;1
10089054;1
100898676;1
100907076;1
10090824;1
100911428;1
100917856;1
100922376;1
100926153;1
100932112;1
100933786;1
10093677;1
100939164;1
100940124;1
10094908;1
100951940;1
100958552;1
100967324;1
100967484;1
100975400;1
10097584;1
100978520;1
100979720;1
100994996;1
100995088;1
101001464;1
101001763;1
101004476;1
101005920;1
101006804;1
101012072;1
101014736;1
101015888;1
101031452;1
101034023;1
101034460;1
101038394;1
101042376;1
101045080;1
101046284;1
101052568;1
101056440;1
101063600;1
101065836;1
101075984;1
10107999;1
101083264;1
101084212;1
101103484;1
101107878;1
101117344;1
1011179;1
101119420;1
101120248;1
101130676;1
101130792;1
101131596;1
101132916;1
101134168;1
101135088;1
10113564;1
101140068;1
101144588;1
101153368;1
101161296;1
101162500;1
101166696;1
101167172;1
101167824;1
101170111;1
101172960;1
101177516;1
101181316;1
10118322;1
101190976;1
101191784;1
101195348;1
101195964;1
101213525;1
10121467;1
101216584;1
101225791;1
101228668;1
101230420;1
101236776;1
101243768;1
101243844;1
101244324;1
101246424;1
101250392;1
101251284;1
1012542;1
101255196;1
10126224;1
101271266;1
101273530;1
10127768;1
1012833;1
101300744;1
101303224;1
101312104;1
10131820;1
101318872;1
101325900;1
101326824;1
101329112;1
10135476;1
101358432;1
101363000;1
101369404;1
101380864;1
101389720;2
101392770;1
101397592;1
101400967;1
101403096;1
101414857;1
101419159;1
101420447;1
101423524;1
101424004;1
101424760;1
10142917;1
101429424;1
101430440;1
101434140;1
10143702;1
101439320;1
10144072;1
101443884;1
101449742;1
101453795;1
101456492;1
101457031;1
101466780;1
101467248;1
101470124;1
101472332;1
101476788;1
101478038;1
101493936;1
101495244;1
101496732;1
101506864;1
101512748;1
101514672;1
101523740;1
101527464;1
101528592;1
101531228;1
10154068;1
101547208;1
101560546;1
101570984;1
101583156;1
101585492;1
101595455;1
10160188;1
101602664;1
101609796;1
101614564;1
101618036;1
101630776;1
101637176;1
101638400;1
101638652;1
101639660;1
101643112;1
101643217;1
101643768;1
101643844;1
101650344;1
101655256;1
101659108;1
101660090;1
101665447;1
1016658;1
101674160;1
101685444;1
101688840;1
101695596;1
101711932;1
101721536;1
101729660;1
101731596;1
101749496;1
101754964;1
10175512;1
101783632;1
101790524;1
101792500;1
101792826;1
1018037;1
101805764;1
101813756;1
101814592;1
101814992;1
101817832;1
101828152;1
101828336;1
101828700;1
10182888;1
101831904;1
1018328;1
101834188;1
101836584;1
101855748;1
101858348;1
101867796;1
101879032;1
101883380;1
101888465;1
101891682;1
101894436;1
101897724;1
101901304;1
10190466;1
101913376;1
101916696;1
101923224;1
101923428;1
101924672;1
101935956;1
101946032;1
101948256;1
101949732;1
101953548;1
101956560;1
101957704;1
101972388;1
101975076;1
101987900;1
101988948;1
101993525;1
101993872;1
101994256;1
101996448;1
101998884;1
102003544;1
102011864;1
102019588;1
10202068;1
102026792;1
1020282;1
102034248;1
102038844;1
102039804;1
102046152;1
1020473;1
102052184;1
102055816;1
102056200;1
102062740;1
102062844;1
102063480;1
102071114;1
102071212;1
1020758;1
102086804;1
102089065;1
102090472;1
102091452;1
102093420;1
102097760;1
102111599;1
102117452;1
102118096;1
102120944;1
102122405;1
102124424;1
10212460;1
102132384;1
102147648;1
102153890;1
102156156;1
102158872;1
10216037;1
102165456;1
10216904;1
102171580;1
10217376;1
102179444;1
102180048;1
102182508;1
102187340;1
102190888;1
102191576;1
102195608;1
102196687;1
102196822;1
10219744;1
102198064;1
102201660;1
102239700;1
102241020;1
102247252;1
102254072;1
102254772;1
102261472;1
102262576;1
10227012;1
102284456;1
102290308;1
1022942;1
102296920;1
102298660;1
102310344;1
102310657;1
102313382;1
102313760;1
10231828;1
102318454;1
102319428;1
102325160;1
102336536;1
102337092;1
102341701;1
102342385;1
10234458;1
10234864;1
102363184;1
102363412;1
102364292;1
102366000;1
102366376;1
102368616;1
102370748;1
1023730;1
102382724;1
102389236;1
102392776;1
10240;1
102414344;1
102425912;1
102432292;1
102434024;1
102440796;1
102457966;1
102459020;1
10246577;1
102465872;1
102467524;1
102468036;1
102471352;1
1024720;1
102475904;1
102477944;1
102497760;1
102502744;1
102509910;1
102510784;1
102521136;1
102528504;1
102529404;1
102529822;1
102530584;1
10253592;1
102540364;1
102547964;1
10255832;1
102566352;1
102581268;1
102583292;1
102585906;1
102592216;1
102593496;1
102594056;1
102598632;1
102601616;1
102625391;1
102625784;1
102631760;1
102634684;1
102638858;1
102640992;1
10265068;1
102651864;1
102659160;1
102662364;1
102664646;1
102674264;1
102675892;1
10267808;1
1026900;1
102696992;1
102700608;1
10270440;1
102709116;1
102710761;1
102715180;1
102717802;1
102719388;1
102720696;1
102721617;1
102727852;1
10274382;1
102758928;1
102758960;1
102763388;1
102764236;1
102772104;1
102789544;1
102790096;1
102791432;1
102798440;1
102799000;1
102801560;1
102804840;1
10280802;1
102808644;1
102815992;1
10281612;1
102816962;1
102832584;1
102841064;1
102850456;1
102852756;1
102853326;1
102853736;1
102853832;1
102856812;1
10287072;1
102876531;1
102889444;1
102891238;1
10289712;1
10290336;1
102903924;1
102904728;1
102912088;1
102918072;1
102921260;1
102923536;1
102926212;1
102928336;1
102934016;1
102938696;1
10294120;1
102945616;1
102945980;1
10294776;1
102950306;1
102953380;1
102957872;1
1029604;1
10296180;1
102966676;1
102978336;1
102991056;1
102992080;1
102992652;1
102997862;1
10301400;1
103022812;1
103027980;1
103028347;1
10303020;1
103033186;1
103037588;1
103046972;1
103052560;1
103055772;1
10305716;1
103059332;1
103061208;1
103063788;1
103068086;1
103071996;1
103082184;1
103083737;1
103095456;1
103098248;1
103100344;1
103108784;1
103110788;1
103116587;1
103133264;1
103133752;1
103138136;1
103142840;1
103150504;1
103151808;1
103155156;1
103159456;1
103163184;1
103164944;1
103174037;1
103179086;1
103185056;1
103186480;1
103205572;1
103208280;1
103208592;1
103211144;1
1032173;1
103222268;1
103227900;1
103229172;1
103230208;1
103242824;1
103259948;1
103260344;1
103260836;1
10326793;1
103274144;1
10327788;1
103282624;1
10328404;1
103288884;1
103292432;1
103304480;1
103322004;1
103329624;1
103338224;1
103338904;1
103339104;1
103339435;1
103340200;1
103341036;1
103341500;1
10334720;1
103367798;1
10337500;1
10337552;1
10339047;1
1033968;1
103401980;1
103404920;1
103405344;1
10340536;1
103410412;1
103412444;1
103413868;1
103414730;1
103419072;1
103435524;1
10344624;1
103447112;1
103450757;1
103454556;1
103455448;1
103457696;1
103466056;1
103472692;1
103473056;1
103486100;1
103487112;1
103489068;1
103502184;1
103502204;1
103504884;1
103511992;1
103515371;1
103520407;1
103521484;1
10352368;1
103535396;1
103540226;1
10354252;1
103550552;1
103553356;1
10355526;1
10355695;1
103556990;1
103567752;1
10357500;1
103577592;1
103583877;1
103584862;1
103589296;1
103602344;1
10360460;1
103610776;1
103613256;1
103615321;1
103627588;1
103631740;1
103633864;1
103635092;1
103637508;1
103641712;1
103643832;1
103664136;1
103669952;1
103678932;1
103679516;1
103695672;1
10369825;1
103707948;1
103708340;1
103720759;1
103725016;1
10373554;1
103738096;1
103746028;1
103750340;1
103762696;1
103765064;1
103769388;1
1037754;1
10378016;1
103780268;1
103790848;1
103799592;1
103800700;1
103801740;1
103809036;1
103810868;1
103823012;1
103839562;1
1038423;1
103842612;1
103847340;1
103859740;1
103865816;1
103869344;1
103872012;1
103879332;1
103880420;1
103884364;1
103890976;1
103891489;1
103898888;1
103901924;1
103903224;1
103904843;1
103905024;1
103907575;1
103914452;1
103928812;1
103928863;1
103935247;1
103936344;1
103940865;1
103956122;1
103958404;1
103959100;1
103962504;1
103963576;1
103972036;1
103978992;1
103979572;1
10398120;1
103983816;1
103985100;1
10398777;1
103989784;1
103993258;1
10399512;1
104003148;1
104004056;1
1040088;1
10401019;1
104011848;1
1040139;1
104023592;1
104030816;1
104036107;1
10403744;1
104042544;1
104048016;1
104055256;1
104059836;1
104060344;1
104065488;1
10407468;1
104079704;1
104093528;1
104093744;1
104094259;1
104096932;1
104097448;1
104098552;1
104102916;1
104103408;1
104105992;1
104108552;1
104113904;1
104125456;1
104125796;1
104128484;1
104128540;1
10412860;1
104132824;1
104139184;1
104142724;1
104143560;1
104151642;1
104155012;1
104158864;1
104159296;1
104171752;1
104172632;1
