;16161
01104c13-0266-6dd3-ca73-32f5dfe7ca4d;999
022ae008-0159-daab-6655-069b51f3b2f8;49
02e4f409-0e75-eb6c-630d-1848c6c3e177;33
03ade9dd-a2bd-6b0e-b8bc-45d3107bd655;998
0be30365-5f50-26c5-2bb0-e5335d40af18;18
0e527f72-1ca6-dfaa-43f4-42c8349d93d4;137
101cf66e-51d3-667f-9dae-66790e4de5a6;133
1096070a-08f8-14ee-1ea9-f48e86a09df4;999
10f5d17c-d5b6-9396-b5ab-073a7578ec75;18
11cc47c0-63d7-c3b5-e9c3-a9c44a653dbf;907
129aec6a-e494-dbbd-b90f-628abb534756;1
14577827-852a-68c5-991c-70438437675b;973
15189dbf-aa2d-d8cd-c92c-678030acf58f;1003
190e2257-1c56-860d-3d2f-51c976d2fa3b;581
1ad972ba-7004-e4de-80b2-6fddb659fc94;50
1e1cc171-6b9a-ff4b-674f-13349aa53f38;960
200ffc64-bc5a-1d28-4a36-b01c3754e431;52
23738626-4b55-6f72-e654-4c657b421536;17
2466dd64-d08f-2ade-97e2-bb5f91b0caed;136
24e480b2-0591-404a-ca11-ba8b27d84f6e;41
26acf286-4305-1549-7ad4-bc98de32aedf;1000
2af74389-e0f3-f37c-77f2-d1209321d2cd;999
2c66dc43-4060-7f49-cdf0-5b8b945fb102;1000
2d7a4672-8c5a-800b-ec6b-a3fba3c015db;1
306f2251-2196-b0e5-b68d-83cfeccb3417;2
31149a4c-86dc-456d-ca2b-bb763b230a26;785
34929b35-690e-2c6e-175b-64abe5b2d515;41
3510c9ce-7831-e0a9-1ec2-0c652f4f5acb;133
36103c83-e1a3-3ebc-3e2a-0077092b3022;1001
3bf331ee-2b46-22d0-47fc-a08eaf38873a;1
3ea59e72-e2d5-1193-7499-3a1237b3ab30;994
3f64b854-4650-e99d-c96c-f9e840aff5b6;2258
4055fde4-44de-4f6c-04c0-32499c65f2e2;95
432b2f77-bc11-1488-9b13-6396823dde9b;10
449af0c2-d5c4-678f-a2c2-b22f259e2970;2
45beba40-f218-902b-33f2-21c28ce3cb7f;56
4611ffc4-da10-3af1-0980-4a57f1da5066;35
4c64c49b-d5c3-16e3-74e4-5393ef3dbb9f;999
4d5b52f6-646b-c9aa-56e3-80a3f80f2a63;65
4e870552-5ce3-4d12-3d00-9c12758825a3;999
4fb06f1a-03bb-402a-cd9f-b14471c807a4;49
52bd0c42-8272-59a9-b30d-c5e3bb4007ae;997
54363cc7-f01c-cb4c-5308-7a8778aa6658;63
55d5774a-ab3a-0a18-3546-067c2c0269a2;33
56ef9437-1789-982f-437c-be12bf036bfc;1000
56faff42-a1a4-ab44-b721-8d8fce006519;51
577670e2-ff34-be41-7c75-1a4db4fee408;999
59acfa93-a44d-0a40-4d66-346aea378c8c;999
5a4248a7-59f4-fa5d-f82c-a09f6b069baf;72
5dc21691-2adc-63e4-4bde-5b727c7a936c;999
5f2bdc1e-e1ef-2b21-ba10-9ca12a303186;313
61038053-98ff-142e-73e7-0a6c5e8d8416;76
6571b564-f077-9be8-fa33-e938dfac09b4;1000
68c482e4-3aa3-2291-b5f7-f145a0f5ab37;41
70ad9f68-83c6-cb7d-3ad4-8643b2a8eed9;995
748b29b9-6cd5-f02b-83df-c1e4e7f277ce;30
76c9cb4a-a6fd-b2eb-a5b4-f3f09aad53ea;1000
7727590d-73ef-dd2d-df94-f186b7e63d37;128
7791508b-c840-a5f8-895a-0cd5a1e6356e;998
7a2129d2-26bd-5102-28b1-6d3b12b000db;19
7c5309c1-5527-d182-80e4-5f632a18acbb;5
7cb2fc54-9607-c013-973d-e68f77bdca60;1
7e62bb01-d47d-650b-8e13-c539f0e79262;45
8184d07d-f12c-fc1a-add2-3f09c557a4e0;75
8483b36e-1d70-c037-0180-07e063af07b1;20
8733dfd5-d413-3136-82ba-2e24fc7bf37b;2
87aab0c6-1853-6779-6ac5-30b74ddf89bd;1
87c46f35-2069-7d1d-6662-c9473849b141;10
8869e41c-219c-a804-3b52-5d1745b9c4ef;36
9193fa42-9556-70c0-5e9b-e3425973c92b;12
961a9e9d-9410-0e7e-e9d3-6d47b3172a04;2
989912fd-9a26-20d1-0bd4-3290682dc77c;11
99e66be9-e15e-4cb2-595c-be66ce6d64fc;999
99ef0515-bbab-78ce-d6f3-276e18da0699;9
9c90233a-e59a-3ce1-55cd-05f9f960f363;936
9cccf956-a93a-3edd-0911-d7d3b1834e77;58
9e803e03-3c2f-41d3-ac34-74fe99d2efd0;68
9ea5ea60-8867-ebc7-e94b-d5eaab61d200;1000
a60a04f7-7777-d347-f9eb-3741f68fbbf1;163
a6841a26-1197-a8d6-2ca6-849713ef758a;64
a7f3b264-7c0c-9472-552f-38972a561044;943
a7f4f188-844c-2cbb-295a-cda68bb8fd95;92
ac58f937-e9e4-0245-85cf-7791ec034ef2;999
ad79d786-7c01-fa10-8834-16fd7d6fbe29;41
