;4568
1002;5
100324;1
100339;8
100474;1
100779;28
100829;1
100852;3
101000;3
101217;3
101227;1
101358;1
101784;2
101861;3
101876;1
102249;1
102295;1
10232;4
102321;1
102341;1
102389;1
102650;5
102697;4
102794;2
103005;1
10315;2
103275;2
103276;2
103284;1
103311;1
10341;2
103869;63
104728;18
104754;5
104967;1
104978;1
105013;6
105224;1
105270;1
105293;1
105403;1
10570;1
106131;8
106413;14
106898;2
106904;3
107027;39
107136;32
107200;34
107434;1
107735;3
107800;3
107823;6
107837;1
107838;3
107861;3
107862;1
107907;1
107966;1
108029;3
108031;1
108043;11
108056;1
108061;1
108260;1
108286;14
108299;1
108389;3
108545;6
108557;1
108577;4
108655;1
108711;1
108743;48
108746;17
108839;1
108861;1
108862;1
108868;9
108924;2
108928;4
108953;1
109237;5
109242;3
109252;5
109258;3
109417;4
109424;2
1095;2
1098;1
109946;7
110229;1
110297;1
110315;1
110368;1
110459;1
110515;1
110631;1
110670;3
110909;2
110978;5
111055;1
111084;1
111422;1
111539;1
111609;2
111779;1
112404;1
112410;1
112420;1
112426;2
112437;1
112443;2
112457;9
112462;1
112535;1
112540;2
112552;4
112691;1
112804;2
112805;1
112806;2
112807;1
112808;1
112879;1
113;7
113002;2
113025;1
113057;2
1131;1
113254;1
113429;1
113501;2
113510;2
113576;3
113578;1
113615;1
113668;1
113679;1
113680;2
113747;1
113755;3
113789;5
113810;3
113919;7
113942;2
113951;1
113970;29
114034;14
114131;2
114132;2
114144;2
114146;1
114176;1
114293;1
114330;1
114635;1
114879;8
114882;7
114883;8
115;1
115015;14
115139;1
115145;4
115318;8
115414;1
115445;3
115480;5
115516;174
116294;258
116591;16
116634;8
116691;41
116721;9
116737;2
116740;30
11675;6
116757;1
116772;42
116802;17
116872;27
117014;45
117116;26
117141;2
117181;15
117198;25
117272;1
117276;4
117310;19
117377;3
117530;1
117580;5
117595;3
117674;1
117687;1
117697;1
117700;1
117731;1
117753;2
117771;2
117787;1
117791;3
117818;2
117826;1
117852;1
117874;1
117877;1
117891;1
117899;1
117906;5
117918;1
117920;1
117921;2
117924;1
117955;1
117965;1
117975;3
118004;1
118013;2
118018;3
118028;1
118086;1
118097;3
118099;1
118173;1
118236;1
118237;1
118247;2
118261;1
118265;9
118283;1
118284;1
118317;1
1184;24
118400;1
118433;1
118439;1
118447;1
118455;1
118491;5
118512;1
11853;1
118535;2
118549;1
118551;2
118553;1
118595;14
