;20906
.Res. 0.169;1
6-11-1990 Copie gezonden: J.R.Renzenbrink, H.v.Rijkenlaan 10, 2612 JR Delft;1
A. Baart jr.;1
A. Baart jr. , Leeuwarden;1
A.H. Baart;6
A.H. Baart jr;3
A.H. Baart jr. , Leeuwarden;1
A.H. Baart jr., arch. b.n.a.;1
Arch. Bob van Beek, Leiden;8
Arch. Bureau Feenstra en V Broekhuizen, Hengelo;5
Arch. D. Hulshoff en H. Dethmers;1
Arch. Gebr. de Vries  -  Venray - Helmond;2
Arch. H. Dethmers, Ootmarsum;1
Arch. bur. de Vries, Venray - Helmond;20
Arch. bureau van Hoogevest - de Waal archifoto bv;2
Arch.Bureau H. Dethmers, Ootmarsum;3
Arch.bureau A. Baart, Leeuwarden;1
Architectenbureau A. Baart;1
Architectenbureau Bob C. van Beek;3
Architectenbureau H. Dethmers;1
Architectenbureau H. Dethmers BNA, Ootmarsum;1
Architectenbureau Rob C. van Beek;3
Architectenbureau v.d. Kloot Meijburg;1
Architectenbureau van Hoogevest, Amersfoort;1
Architectenbureau van der Kloot Meijburg;7
Atelier architect A. Kok;1
Besten, J. den;1
Bob van Beek, Leiden;1
Bureau C.L. Temminck Groll;4
Bureau C.L. Temminck Groll, Utrecht;5
Bureau restauratie Temminck Groll;6
Bureau voor restauratie Temminck Groll;2
Bureau voor restauratie dr.ir.C.L. Temminck Groll;1
Bureau voor restauratie prof.dr.ir.C.L. Temminck Groll;1
Buro Mien Ruys, Amsterdam;2
Buro O.V.T. (Groningen);1
De Waal Archifoto b.v. Hattem;11
De Waal Archifoto bv, Hattem;7
De Waal Archifoto, Hattem / RDMZ;1
Dienst Gemeentewerken Kollummerland;2
Dienst van openbare werken, Utrecht;1
Geb. P. de Vries, Venray - Helmond;2
Gebr. de Vries Arch., Helmond;5
Gemeente 's-Hertogenbosch, techn. dienst;1
Gemeentebestuur van Schoonhoven;2
Gemeentewaterleidingen Amsterdam;3
Gemeentewerken Almelo;1
Gemeentewerken Amersfoort;1
Gemeentewerken Middelburg;4
Gemeentewerken Rotterdam , afdeling Oudheidkundig Onderzoek;2
Gemeentewerken Zwolle;1
H. Hundertmark;1
Hervormde kerk Limmen;3
Hooglandse kerk, Leiden;1
Ingenieursbureau Oranjewoud b.v.;1
Inventarisatie Nederlands Stedeschoon;3
Ir. M.P. Schutte;4
Monumenten Advies Bureau;1
N. Philippona, achtitect, Broek in Waterland;1
Nederlandse Klokken- en Orgelraad;3
Openbare Werken;1
Openbare Werken Utrecht;1
Pieterskerk Leiden;1
R.O.V.U. bureau Monumenten;12
R.O.V.U. bureau monumenten;1
RACM - De Waal Archifoto;3
RACM - Hundertmark;1
RACM / A. Baart;1
RACM / PHB;1
"RACM ; A.W.N.";1
RAMC;1
ROVU : Bureau Monumenten;4
ROVU Bureau Monumenten;4
Rijksgebouwendienst (RGD);14
Rijksmuseumgebouwen;1
S.H.B.O. Arnhem;2
Stadsschoon Amsterdam;1
Stichting Doris Mooltsje;1
Stichting Kasteel Valkenburg;1
Technische School, studiejaar 1946 - 1947;1
W. Stooker;1
Zeer slechte staat (weggedaan);1
blad 3 en 4 zijn van een ander;1
http://creativecommons.org/licenses/by-sa/3.0/;43217
http://creativecommons.org/licenses/by/4.0/;263
naar Jan Kops 27 (plaat 32);1
