;59664
100B-101C;35
101C-102C;302
102D-F;6
103A-D;5
103D-E;1
103F;133
104A-105F;216
106A-108F;9
12G-H;2
13A;1
13B;3
13F-G;15
146B-D;5
148C;1
14A;9
150E;3
172B;7
172C;1
172D;13
174B;36
174C;23
174D;11
174E;3
174F;11
176E-H en 177D;76
177G, 177Q (?), en 178A;7
178A;8
178B;9
181A-183A en 190F-H;3
183B-G;1
186C;9
186E;1
186F;18
186G;9
187A;5
187B;17
187C;1
187D;1
187F;31
189E en 189G;35
190A-B;1
191A-193F;188
194A-B;3
194D;1
194F-195A;3
195A;7
195D;40
195G;89
1A;5
1F;4
24E-F;3
25F;7
26B-E;34
27C en 28A-29A-F;21
29G;19
2B;8
2C-3A;3
30A-31C;1
31D-E;35
31F;14
32D-E;18
32F-G;9
33D-35D;12
35E-36A-F;67
37A-38F;33
39D-E;94
39F;4
3D;10
41A-42A;14
41B-C en 42B-E;93
42A;2
42F;36
43A-44A;9
44B-45C;4
45D-47D;10
47B en 59D-60D;57
48A-F;31
49A-54G;18
55A-57A;6
57H-58B;32
58C-E;57
5G-6G;3
61A-64C;132
64B-65A;9
71 + 72;165
74 - 78;116
79 - 82;63
7A;6
7E-F;4
7G;4
7H;1
83B-85K;56
85C-87C;130
86B, 87E, 88A-B, IIC-D, VIID, kluis;122
88C-D;61
88E-89C;4
89D, E9, G7, P2, kluis;195
89E-90D;20
8A-G;2
90E;13
90F-91G en 172D;19
91H-92A en 172D;4
92B-C;65
92D-95B;22
95C-97B;2
97D-100B;199
9A;1
9B-C;7
9D-G;15
9G;1
IIIA;1
IIID;1
achterin bij glaswand;1
depotkamer;115
kast 112-130, legbordstelling VI en VII, ladekast L en M (+ velddepot, vriezers, spoelvloer);779
kast 131-135;8
kast 148A (extern bij tenminste 2 musea en 5 particuliere verzamelingen);1
onbekend;401
tijdelijk bij restauratie;10
