;59753
10-03-1959;1
1942;1
1944;4
1944 en 2008;10
1946;27
1947;3
1948;15
1948, 1954, 1957, 1964 (?), 1969, 1970, 1981, en 1982;132
1949;9
1950;7
1951;2
1952;6
1954;1
1955;33
1955 en 2002;23
1956;12
1957;1
1958;15
1958 en 1986 (delen van);34
1959;1
1961 en 1996;4
1963;5
1963 en 1969;1
1964;1
1965;15
1965 (?);1
1967;1
"1969 (verkenning); 1989";3
1969 en 1970;3
1971;44
1971 tot 1974;95
1972;87
1972 en 1973;61
1973;130
1973 (verkenning in 1971);18
1975;134
"1975 (verkenning); 1980 (verkenning)";9
"1975 (verkenning); 1982";8
1975 en 1976;31
1976;95
1977;50
"1977 (verkenning); 1978";57
1978;8
1979;138
1980;132
1980 ? 1963 ?;1
1981;151
1981 (verkenning);1
1981, 1982, 1983;1
"1982 (verkenning); 1984 (opgraving)";4
"1982 (verkenning); 1985 (opgraving)";122
1983;7
"1983 (verkenning); 1984";4
1983 en 1990;165
1983, 1984, en 1985;4
1984;3
1985 en 2007;5
1985, 1986, 1987, 1988, 1989, 1990, 1991, 1993, 1994 en 1996 (niet 1992 en 1995);779
1985-1986;41
1985-1986, Burgzand-project 1998-2005;12
1986;413
1986 en 1987;188
1986 en 1988;195
1986, 1987, en 1990;199
1987 (minstens één object);6
1988;16
1989;3
1990;9
1992;349
1993;307
1994;61
1994 en 1999;65
1995;16
1996;13
2000-05-30;4
2005;5
"2011; verkenning 1993";10
Burgzand-project 1998-2005;15
beschermd;36
dossier niet aanwezig;105
verkenning 1995;69
waardestellend onderzoek 1988;1
