;59939
-;3080
Ballaststenen;122
Rode bakstenen;38
baksteen, vloer- en wandtegels, keramiek, glas en overige varia;3
bakstenen;65
berkentwijgen;93
bewerkte natuursteen;9
bij ontdekking nagenoeg leeg;2
blokken zandsteen;4
boekweit;3
fragmenten scheepsconstructie, ballaststenen (koraal), kanonlopen, kanonskogels, varia;34
geen lading of uitrusting aangetroffen;1
gele handvormstenen;2
geringe hoeveelheid varia, waaronder Noord-Hollands slibwerk (jaartal 1623) en geneste smeltkroezen;1
geringe hoeveelheid varia, waaronder fragmenten scheepsconstructie, kanonskogels, aardewerk;24
graan, uitrusting, bewapening, persoonlijke bezittingen;779
kleine bakstenen;3
kloostermoppen;10
koffiebonen, tropisch hout, varia;3
kolen;29
marmeren platen;3
o.a. tinnen voorwerpen;116
plavuizen en dakpannen;21
restanten stadsvuil;35
scheepsdelen, ballaststenen, kanonlopen, kanonskogels;8
schelpen;1
turfresten;6
varia;19
varia uit Oostzeegebied;8
vetkolen en aardewerk;18
zwerfstenen;106
zwerfstenen (dijkmateriaal?);12
zwerfstenen en bakstenen;9
