;59718
"""verkenning 2001""; weggewerkt depotkamer 13-04-2011";3
"""verkenning 2001""; weggewerkt depotkamer 17-09-2004";11
"""verkenning 2003"" (één keer ""2004""); weggewerkt depotkamer 17-09-2004";21
"""verkenning Burgzand 2002""; weggewerkt depotkamer 17-09-2004";23
-;1140
-Eurogeul 12;6
Bruikleencollectie of als benaming gebruikt bij (nog) onbekend scheepswrak;4
Dit schip is gebouwd in 1878. Het wrak is na de opgraving achtergelaten in situ en was te bezichten in het Natuurpark, Lelystad. Het wrak staat nu op het terrein van het Nationaal Depot voor Scheepsarcheologie;63
Gevonden nabij het huidige Zeewolde.;10
Mogelijk afkomstig van A87IIIZFL (lading);10
"NB: naam schip was ""Roompot"", maar ook het vaarwater waar schip is gezonken heet ""Roompot"".

Publicaties:
Arent Vos, “Duiken op de Roompot in de Roompot: duikseizoen 2005” in: AM Bulletin no. 16, september 2005, 5.
Arent Vos, “Duiken op de Roompot in de Roompot” in: Akker, J. van den, e.a. (reds.), Bundel maritieme vindplaatsen 1, (RACM en LWAOW, Amersfoort 2007), 87-90.";5
Publicatie in: Bossche Bladen 2000, jrg. 2.;4
Publicatie: Arent D. Vos, Onderwaterarcheologie op de Rede van Texel. Waardestellende onderzoeken in de westelijke Waddenzee (Burgzand), (Nederlandse Archeologische Rapporten 041, Amersfoort 2012).;27
Publicatie: Arent D. Vos, Verkenning van een scheepswrak in de Schaar van Spijkerplaat (Rijswijk 1989).;1
Publicatie: Th.J.Maarleveld, Archeologie in troebel water. Een nieuwe werkwijze voor scheepsonderzoek. Twee schepen onderzocht (ministerie van WVC, Rijswijk 1984);1
Publicatie:Jef van den Akker e.a., Vier waardestellende verkenningen in de Waddenzee en de Noordzee [...] (Alphen aan den Rijn, zj (1996));69
Slufterdam 1, 3 en 5 behoren tot hetzelfde schip;10
Type schip en datering op basis van: Van Holk, 1996;9
"Vergaan in de Zuiderzee; gevonden nabij de Nijkerkersluis.";115
Verkenning;1
achttien voorwerpen;16
een zestal voorwerpen;3
enkel houtmonsters;3
gebouwd in Noordoost-Engeland;29
geen objecten in depot?;1
geen regio aanduiding?;1
gevonden bij het Romeinse fort Nigrum Pullum, nabij het huidige Zwammerdam;76
"gevonden in een zandwinningsput in de uiterwaarden van de Maas; het gebied is ter plaatste bekend als de Lithse Ham";8
gevonden in het huidige Lelystad;149
gevonden in het huidige Swifterbant verzekeringswaarde 2.000.000,- euro;188
gevonden nabij de Nijkerkersluis;165
gevonden nabij het huidige Bant;5
gevonden nabij het huidige Biddinghuizen;216
gevonden nabij het huidige Creil;21
gevonden nabij het huidige Dronten;54
gevonden nabij het huidige Emmeloord;8
gevonden nabij het huidige Ens;20
"gevonden nabij het huidige Espel; zie ook C85NOP";35
gevonden nabij het huidige Lelystad;209
gevonden nabij het huidige Markenesse;10
gevonden nabij het huidige Nagele verzekeringswaarde 20.000,- euro, moet bij terugkomt opnieuw worden vastgesteld;132
gevonden nabij het huidige Swifterbant;367
gevonden nabij het huidige Zeewolde;145
gevonden op de ondiepte 'Wieringer Vlaak' ten noordwesten van Medemblik in het IJsselmeer;1
gevonden ten noordwesten van Den Helder, voor de kust van Texel;357
ook NB47 genoemd;5
overnaads gebouwd vrachtschip, 18-20 m. lang en 6 m. breed;5
scheepswrak kogge Almere 2E west (wijk 13);195
verband met Az87IIZFL?;4
"vergaan in de Regge; gevonden in het talud van de oostoever van de gekanaliseerde Regge nabij het huidige Hellendoorn";5
"vergaan in de Rotte; gevonden nabij de huidige Hoogstraat in het tracé van de Willempoortstunnel in Rotterdam";41
"vergaan op Kerstavond 1593  in het Scheurrak Omdraai in de westelijke Waddenzee ten noorden van Den Oever, aan de noordkant van de rede van Texel.
Meer informatie en literatuurverwijzingen o.a. in: Arent Vos, “Hoe Maria Tesselschade aan haar opmerkelijke naam kwam” in: Tesselschade. Een ramp met een Gouden randje (Muiden 2013), 6-16.";779
"vergaan op de Zuiderzee; gevonden nabij het huidige Zeewolde";57
"vergaan zuidoostelijke deel van de Oosterschelder; gevonden in het verdronken land van Zuid-Beveland, nabij het verdronken dorp Nieuwelande bij het huidige Krabbendijke";4
vijftien voorwerpen;1
"wachten op vondsten uit opgraving zomer 2011; afd.restauratie handigt daarna alle vondsten (uit verkenning en uit opgraving over";10
weggewerkt depotkamer 17-09-2004;26
zelfde als Nz66WZFL?;4
