;59777
's-Hertogenbosch;4
Almere (onbekend);36
Almere-(Onbekend);9
Almere-Buiten;35
Almere-Onbekend;195
Almere-Stad;8
Bant;97
Biddinghuizen;488
Buitenpost;3
Creil;26
Den Helder;1
Dronten;123
Emmeloord;14
Empel;5
Ens;52
Espel;44
Hellendoorn;5
IJsselmeer;1
Kessel;8
Krabbendijke;4
Kuinre;1
Lelystad;538
Luttelgeest;5
Marknesse;10
Nagele;149
Noordzee;376
Onbekend;165
Oosterhout;16
Rotterdam;82
Rutten;122
Stavoren;1
Swifterbant;579
Teijlingen;4
Terschelling;2
Tiel;13
Tollebeek;12
Utrecht;8
Waddenzee;850
Westerschelde;1
Wijk bij Duurstede;9
Workum;133
Zeewolde;553
noordzee;8
zeegat van Waddenzee naar Noordzee;34
