;58622
1006;31
1016;1
1017;15
1023;8
1037;6
1038;1
104;1
107;1
11;4
111;7
113;22
115;302
117;2
119;3
120;15
121;89
122;4
123;1
125;31
126;19
1262;2
13;357
130;3
1331;1
1337;1
1338;1
135;1
1371;7
138;2
1387;9
139;188
141;12
1417;43
144;9
149;3
150;65
1505;2
151;1
1511;9
1512;119
1518;2
1519;10
1520;2
1521;29
1523;9
1524;5
1529;14
1530;130
1532;10
1545;6
1549;2
1554;1
1558;44
1559;23
1560;10
1561;5
1562;36
1563;7
1564;122
1565;4
1568;6
1569;3
1570;6
1571;287
1572;4
1573;2
1574;6
1575;6
1576;4
1577;2
1578;6
1580;17
1581;5
1582;10
1583;1
1589;1
159;5
1596;4
1605;1
1606;24
1607;34
1608;8
1609;3
17;1
171;5
174;3
176;1
18;8
183;35
189;9
190;10
192;8
193;1
194;1
20;1
202;2
204;1
205;4
209;216
210;3
214;1
215;10
220;1
222;3
225;4
227;16
229;1
23;9
235;4
236;8
238;6
239;4
242;57
244;11
245;4
254;4
256;4
257;9
264;2
266;8
268;16
272;10
277;3
278;165
279;115
283;2
284;1
285;1
287;15
288;7
29;3
291;1
296;1
30;35
306;2
308;3
309;15
31;2
316;5
32;21
320;4
324;7
33;116
330;779
333;7
337;1
344;199
345;6
349;1
35;9
350;4
351;13
356;8
36;18
361;67
362;195
363;133
364;34
365;1
366;9
370;3
372;9
373;3
374;76
375;5
376;7
38;5
384;41
39;5
40;6
41;61
421;5
43;35
44;18
450;57
454;94
457;1
490;36
52;3
524;22
538;32
55;8
56;12
57;3
58;2
61;21
65;9
7;122
70;56
71;3
72;1
728;1
74;1
78;6
800;2
84;93
86;20
87;132
88;33
89;63
90;5
92;3
96;23
97;6
976;10
994;2
