;55399
Aquarel;22
Aquarel en goudverf;1
Blauw mm papier;1313
Calque;2617
Calque + lichtdruk;85
Calque in inkt;1
Calque met zwart;29
Calque met zwart+rood;1
Calque met zwart+rood=groen;3
Digitale scan, Reproductie;81
Doorzichtig papier;22
Gewassen pentekening;1
Kopie;15
Lichtdruk;13
Lichtdruk, ingekleurd;10
Lichtedruk gekleurd;1
Lithografie;1
Origineel;9
Papier;339
Pen en aquarel;23
Pentekening;1
Potlood;3686
Potlood en aquarel;149
Potloodtekening;2
Rood mm papier;226
Rood mm potlood;23
Schets;156
Schetspapier 3D pantograaf;13
Tekening;34
Tekening in potlood, op calqueerpapier;1
Waterverf;31
aquarel op calque;45
foto;30
inkt;4
inkt in zwart en aquarel;14
inkt in zwart op calque;6
olieverf op doek;1
pen en potlood en aquarel;1
pentekening ingekleurd met aquarelverf;2
pentekening, gedeeltelijk ingekleurd;1
pentekening, ingekleurd;1
potlood en aquarel op calque;159
potlood op calque;23
schetspapier;8
zwart wit negatief, Reproductie;3
