;47544
Aanbouwen;9
Aanbouwen nieuw;1
Aanleg NOM-terrein;1
Accomodatie;2
Achteraanbouwen;6
Afdak;1
Afweerkruis;2
Appartementen;2
Arbeiderswoning op NOM-terrein;3
Archeologie;16
Archiefwezen;2
Bagijnen;11
Bakhuis;31
Bakkerijen;1
Bedrijfsgebouwen;1
Bedschotten;5
Bedsteden;1
Bedstedewand;2
Bedstedewanden;3
Bedstee;1
Beelden natuursteen;1
Bergportaal;16
Bespannen wagen;1
Betimmering;1
Bierbrouwerij op NOM-terrein;1
Bijenteelt;1
Binnenluiken;1
Blekerij op NOM-terrein;1
Boekenkasten;2
Boerderij;1
Boerderij op NOM-terrein;36
Boerderijen;113
Boerderijmaquette;1
Bolletjeskaart;4
Bouwkundige tekening;2
Boven en onderdeuren;1
Boven- en onderdeuren;1
Bovenlicht;1
Brug;1
Buitendeuren;3
Buitenluiken;1
Buitenplaatsen;5
Cafés;6
Carillons;2
Constructiedetails  1:5;1
Constructies;1
Dak;18
Dakkapel;1
Dakkapellen;6
Decoraties hout;2
Decoraties: turkse knopen;1
Decoratieve houtsnijwerken;1
Detail kroonlijsten;1
Details trappen;1
Deur;3
Deuromlijstingen;2
Deurornamenten;1
Dolhuizen;19
Doodeuren;7
Doorsnedes details 1:5 en 1:1;1
Dorpsgezicht;138
Driebeuken;1
Duif;2
Edams Museum;1
Eendenkooi op NOM-terrein;1
Eiken houtskeletten en plafonds;1
Empire stijl;1
Empirestijl;8
Erkers;4
Familiewapens;1
Funderingen;4
Funderingrn;1
Garages;5
Gebintconstructies;2
Gebintconstructies eiken;2
Gehengen;1
Gemetselde trappen;1
Gepleisterde gevels;14
Gepleisterde voorgevels;3
Gesloten hoeve boerderij;1
Gesneden decoraties;3
Gevelstenen;2
Gevelwand;1
Glas in lood;3
Glas-in-lood;1
Glasdeuren;5
Glasverwerking;1
Glazen deuren;1
Gootdetails;1
Grachtenhuizen;1
Grafmonument;2
Grutterij op NOM-terrein;2
Hal;2
Halsgevels;6
Hang- en sluitwerk;4
Hangmat;1
Hekwerken;1
Herberg;8
Herberg op NOM-terrein;7
Hijsbalken;1
Hooischuren;1
Houskeletbouw;2
Houtbouw;1
Houtconstrcuties eiken;2
Houtconstructie;38
Houtconstructies;3
Houtconstructies eiken;6
Houtconstructies/gebinten;2
Houtconstructies/kapgebinten;1
Houten balkons;1
Houten bedstedewanden;1
Houten buitenwanden;2
Houten huizen;4
Houten puien;1
Houten schuren;1
Houten topschotten;25
Houten wanden;5
Houtmijt;3
Houtskeletbouw;185
Houtskeletten;1
Houtskelettten;1
Houtsksletbouw;5
IJsselstreek;1
IJzerwerk;2
Inrijhek;12
Interieurs;6
Interieurs: binnenbetimmeringen;15
Interieurs: houten binnenwanden;3
Interieurs: houten kamerwanden;2
Interieurs: houten scheidingswanden;5
Interieurs: houten tussenwanden;3
Interieurs: houten wanden;8
Interieurs: kamerwanden;2
Interieurs: kastenwanden;4
Interieurs: keukenkastjes;1
Interieurs: lambrizeringen;2
Interieurs: paneeldeuren;1
Interieurs: schoorsteenmantels;1
Interieurs: schoorstenen;6
Interieurs: schouwen;1
Interieurs: spiltrappen;1
Interieurs: tussenwanden;1
Interieurs: vensterbanken;1
Interieurs: vensterbanken en luiken;1
Interieurs: wandbetimmmeringen;1
Jacobsladder;1
Jacobsladders;1
Kaart;11
Kaaspakhuizen;7
Kamerwoningen, steen;1
Kantoren;1
Kapbergen;1
Kapconstructies;3
Kapellen;10
Kapiteel;1
Kastenwanden;1
Kelder;1
Kelders;1
Kerken;3
Kerkinterieur;1
Kerkmeubilair;1
Kerktoren;1
Keuken;3
Keukenaanbouwen;7
Keukens;6
Kinderbinten;4
Kippenhok;2
Klederdracht;1
Kleine woning;3
Kleurstofindustrie;2
Klokgevels;12
Klokkentorens;2
Kloosters;24
Knooptracering;1
Koetshuizen;3
Koolopslagplaats;3
Korbelen;1
Korbelen + sleutelstukken;13
Kroonlijsten;7
Kruidendrogerij op NOM-terrein;1
Kruiskozijnen;3
Lambrizering;1
Lambrizeringen;4
Langhuisstelpen;4
Leer en lederwaren;1
Leerlooierijen;2
Lijnolie;3
Lodewijk XVI stijl;1
Lodewijk XVIstijl;1
Makelaar;3
Meekrapstoven;2
Melkrekken;1
Molens;1
Natuurstenen details;3
Natuurstenen ornamenten;8
Natuurstenen stoepen;1
Natuurstenen stoeppalen;1
Nieuwbouwen;13
Oelebord;3
Oeleborden en makelaars;7
Omheining of hek;4
Onbekend;54
Onder- en bovendeuren;1
Ondersteuningsconstructies;1
Openbare gebouwen;5
