;57013
1608-00-00;1
1676-00-00;1
1827-00-00;98
1831-11-25;2
1853-09-04;6
1856-02-18;2821
1858-03-04;1
1860-07-10;1
1862-00-00;4
1863-10-23;271
1868-08-21;7
1873-00-00;245
1874-08-08;284
1875-10-21;229
1879-05-19;13
1879-11-15;84
1882-06-05;62
1893,;2
1893-04-12;7
1893-10-01;221
1894-01-23;25
1894-07-30;399
1900-12-23;174
1905-05-08;4
1905-07-12;601
1906-10-17;2
1908-07-15;148
1911-00-00;17
1911-01-05;20
1911-02-20;1
1915-00-00;1
1917-00-00;80
1923-00-00;4
1924-08-27;910
1925-03-01;56
1925-08-30;5
1926-00-00;70
1926-09-20;163
1931,;3
1931-00-00;33
1931-10-25;476
1934-00-00;20
1943-00-00;20
1952-10-24;5
1957-05-24;73
1962-00-00;1
1968,;27
1970-00-00;16
26-19-0000;1
32-19-0000;1
35-19-0000;1
41-19-0000;1
46-19-0000;2
47-18-0000;20
47-19-0000;5
53-19-0000;9
58-19-0000;2
68-19-0000;22
75-19-0000;2
94-18-0000;1
98-18-0000;6
