;56258
"Abraham Rademaker
Geboren: Lisse, tussen 11 September 1676 en 10 Oktober 1677
Overleden: Haarlem, 21 of 22 Januari 1735 

Biografie 

Abraham Rademaker was een Nederlands autodidact prentkunstenaar, schilder, tekenaar en etser. Al in zijn jeugd was hij bezig met tekenen en leerde hij zichzelf het vak. De onderwerpen van zijn kunst betreffen topografische afbeeldingen, landschappen en kastelen. In de achttiende eeuw werden zijn prenten erg geliefd onder verzamelaars. Uiteindelijk kwam veel van zijn werk gedurende de negentiende en twintigste eeuw in museumcollecties terecht. Het werk van Abraham Rademaker is onder andere te zien in het Centraal Museum in Utrecht. ";1
"Adriaan Willem Weissman (Amsterdam, 4 maart 1858 – aldaar, 13 september 1923) was een Nederlands, historiserend architect. 
Hij is vooral bekend als gemeentearchitect van Amsterdam.";1
"Anthonie Wouter Jansz - op tekeningen ook vermeld als Anton.

Geboren: 19 mei 1879 te Haarlemmerliede en Spaarnwoude.
Overleden: 19 november 1958 te Voorburg

A.W.J. Jansz werkte onder meer in Batavia en Parijs. 
In Nijmegen was hij betrokken bij de wederopbouw van de in de Tweede Wereldoorlog verwoeste Stevenstoren.";13
Architect;2
Architect, Geleen;2
Architect/Tekenaar SHBO;2
Architectenbureau;35
Architectenbureau in Arnhem;1
Architectenburo Harderwijk;1
Architectsatelier, Amsterdam;8
BWBA;4
"Bouwbeeldhouwer, stucwerker, beeldhouwer. Geboren te Sluis, overleden te Den Haag.
Schonk in 1931 zijn archief (tekeningen en foto's) aan het Rijksbureau voor de Monumentenzorg en werd hiervoor koninklijk onderscheiden.";271
Carl, Leonardus, Martinus Robbers. Architekt uit Haarlem. Tekeningen geschonken door Vereniging Noitdorpsche Historiën (2021);6
D. Wijma was architect en had een architectenbureau te Velp.;1
Driebergen;33
"Elias Anthony Canneman (Den Haag, 12 juli 1905 - Houten, 25 november 1987) was hoofdarchitect bij de Rijksdienst voor de Monumentenzorg. Vanaf 1933 tot 1970 werkzaam geweest bij de Rijksdienst voor de Monumentenzorg.
Zijn echtgenote Maria Elisabeth Philipse (Liesbeth Canneman-Philipse) (1909-1987) combineerde als tuinarchitecte verschillende ontwerpen met zijn restauraties";601
F.G. zn;296
