;57393
04-20-0000;1
1669-00-00;1
1735-01-00;1
1913-01-01;2
1920-00-00;4
1921-00-00;98
1923-09-13;1
1924-12-18;6
1934-07-11;7
1936-05-17;284
1936-11-17;2821
1942-09-11;271
1943-02-11;1
1944-00-00;245
1947-03-21;62
1956-00-00;7
1958-11-19;13
1961-01-24;4
1961-04-19;229
1963,;2
1963-02-21;221
1963-11-09;84
1978-02-17;25
1981-05-27;399
1983-01-06;148
1985-01-11;2
1987-11-25;601
1990-00-00;80
1996-10-18;1
2006-03-21;163
2007-04-25;1
2008-10-09;73
2010-12-30;20
2012-09-06;5
2015-02-14;56
2016-04-28;910
2024-11-19;476
32-19-0000;20
96-19-0000;1
