;22244
2015-05-27 09:34:29.104388;9844
2015-05-27 09:38:24.343613;17831
2015-05-27 09:39:00.045496;2
2016-09-02 11:57:24.047851;399
2016-09-02 13:04:14.365214;9
2016-09-02 13:14:51.612828;12
2016-09-21 00:02:46.095697;1
2016-09-21 13:13:16.153877;2
2016-11-14 01:31:00.992345;1
2016-11-14 01:34:37.049379;98
2017-04-24 09:18:48.848021;1
2017-06-15 19:56:53.392456;2
2017-11-24 14:34:17.22338;4
2017-12-02 11:44:39.36369;7
2017-12-04 16:58:18.798313;1
2018-02-02 13:05:39.58022;52
2018-02-20 11:43:12.444724;91
2018-02-20 11:44:16.705378;3
2018-05-03 13:58:04.542436;1
2018-06-13 13:35:15.674681;34
2018-08-27 08:40:17.42304;4
2018-10-31 10:00:58.224461;1
2018-11-02 11:58:55.779943;3
2019-02-22 13:15:44.948569;2
2019-03-25 14:01:55.73228;1
2019-03-25 14:03:30.426323;7
2019-03-25 14:04:15.178135;7
2019-03-25 14:15:49.506909;23
2019-04-04 09:32:47.153872;2
2020-01-17 09:01:11.0154;9
2020-04-13 14:59:15.297775;7
2021-01-25 12:10:46.076016;3
2021-01-25 12:11:03.623393;5
2021-08-03 11:12:53.656266;2
2021-08-14 14:58:57.912618;11
2021-08-14 15:06:10.599015;2
2021-10-25 16:52:00.448907;85
2021-10-25 16:58:14.106655;148
2021-10-25 17:18:28.973224;114
2021-10-25 19:44:00.671591;172
2021-10-25 20:07:53.801814;43
2021-10-25 20:20:08.743651;34
2021-10-27 11:44:15.082012;20
2021-10-27 11:48:47.716781;17
2021-10-27 11:55:55.578427;12
2021-10-27 11:58:47.745138;4
2021-10-27 12:11:00.266822;4
2021-10-27 12:13:29.365117;85
2021-10-27 12:26:42.28003;26
2021-10-27 12:40:52.85542;44
2021-10-27 13:39:49.24186;8
2021-10-27 13:54:40.63784;1
2021-10-27 14:03:31.283256;1
2021-10-28 16:49:34.033312;1
2021-10-28 17:02:01.586842;5
2021-11-05 15:27:53.840416;1
2021-11-05 15:28:36.489312;1
2021-11-05 15:34:10.474075;2
2021-11-05 15:37:51.768754;1
2021-11-05 15:39:09.296693;1
2021-11-05 15:41:20.708611;1
2021-11-05 15:45:25.578249;1
2021-11-11 14:00:55.510615;34
2021-11-11 15:08:24.882853;8
2021-11-11 15:42:21.002542;296
2021-11-11 16:12:30.39641;33
2021-11-11 16:19:01.631617;1
2021-11-11 16:22:54.156463;5
2021-11-11 16:28:26.845959;8
2021-11-11 17:04:38.788456;1
2021-11-18 17:15:40.268025;2
2021-11-18 17:16:47.309832;1
2021-11-18 17:17:44.536122;1
2021-11-18 17:18:38.680622;25
2021-11-18 17:20:43.535255;2
2021-11-18 17:21:56.804192;5
2021-11-18 17:22:50.224788;2
2021-11-18 17:33:39.496585;18
2021-11-18 17:34:54.996081;1
2021-11-18 17:52:05.818638;2
2021-11-18 17:52:59.522722;8
2021-11-18 17:53:27.635504;3
2021-11-18 17:53:55.057848;1
2021-11-18 17:54:18.583103;1
2021-11-18 17:54:45.533622;2
2021-11-18 17:55:44.870189;13
2021-11-18 17:56:16.955031;1
2021-11-18 17:58:54.398347;2
2021-11-18 18:02:34.569069;14
2021-11-19 11:05:12.918326;1
2021-11-19 11:10:19.30451;21
2021-11-19 11:11:54.794446;7
2021-11-19 11:12:57.835308;1
2021-11-19 11:13:36.688148;1
2021-11-19 11:14:08.026101;1
2021-11-19 11:14:34.994767;1
2021-11-19 11:15:40.681587;1
2021-11-19 11:16:34.789779;1
2021-11-19 11:25:01.857046;18
2021-11-19 11:27:23.043932;1
2021-11-19 11:28:37.322131;1
2021-11-19 11:29:20.235728;1
2021-11-19 11:29:50.034334;6
2021-11-19 11:30:41.958729;1
2021-11-19 11:31:22.680657;1
2021-11-19 11:31:47.59815;1
2021-11-19 11:32:15.668841;1
2021-11-19 11:35:01.118384;1
2021-11-19 11:36:12.685276;3
2021-11-19 11:37:51.0123;2
2021-11-19 11:39:07.572083;2
2021-11-19 11:39:25.463264;1
2021-11-19 11:40:19.359486;1
2021-11-19 11:40:28.992712;1
2021-11-19 11:44:46.747986;1
2021-11-19 11:46:13.884819;1
2021-11-19 11:46:55.80163;66
2021-11-19 11:49:31.931861;1
2021-11-19 11:50:49.561827;5
2021-11-19 11:51:57.456192;1
2021-11-19 11:53:50.011815;38
2021-11-19 11:55:50.545341;1
2021-11-19 11:56:39.380886;2
2021-11-19 11:57:11.200287;2
2021-11-19 11:59:34.137648;1
2021-11-19 12:01:14.215238;1
2021-11-19 12:02:10.135353;1
2021-11-19 12:02:56.044717;3
2021-11-19 12:07:02.394987;1
2021-11-19 12:09:41.508689;1
2021-11-19 12:10:14.280746;1
2021-11-19 12:11:25.323143;1
2021-11-19 12:12:16.187841;1
2021-11-19 16:33:13.20883;3
2021-11-19 16:34:32.059894;1
2021-11-19 16:36:33.105746;2
2021-11-19 16:37:10.989455;1
2021-11-19 16:41:17.43444;2
2021-11-19 16:42:34.061793;34
2021-11-19 16:43:04.024833;1
2021-11-19 16:43:51.608656;1
2021-11-19 16:44:24.897357;1
2021-11-19 16:45:07.616507;1
2021-11-19 16:46:29.929893;2
2021-11-19 16:47:07.132001;1
2021-11-19 16:48:37.553683;1
2021-11-19 16:49:12.406465;1
2021-11-19 16:49:56.289207;2
2021-11-23 09:45:31.500234;2
2021-11-23 09:53:06.354409;5
2021-11-23 10:33:22.737132;6
2021-11-23 10:44:13.550488;134
2022-03-18 11:37:17.64971;1
2022-04-01 11:23:03.790767;1
2022-04-25 09:57:00.266105;5
2022-06-03 07:52:52.723369;6
2022-08-01 11:46:12.753323;1
2022-12-06 14:33:07.196767;221
2022-12-20 16:17:15.033422;1
2023-01-03 10:51:27.134445;6
2023-03-30 16:56:11.729115;169
2023-06-11 12:47:00.596148;178
2023-06-29 16:33:09.955408;174
2023-07-26 11:29:25.189811;1
2023-07-26 11:29:58.049665;7
2023-07-26 11:35:03.301458;3
2023-07-26 11:38:06.997574;4
2023-07-26 11:44:35.027541;6
2023-07-26 11:45:02.6002;1
2023-07-26 11:45:49.484611;1
2023-07-26 11:47:42.764605;1
2023-07-26 11:48:23.979311;6
2023-07-26 11:49:06.413547;1
2023-07-26 11:50:02.249355;5
2023-07-26 11:54:58.563559;2
2023-07-26 11:56:00.279103;65
2023-07-26 11:58:29.373853;1
2023-07-26 11:59:35.875909;1
2023-07-26 12:00:24.91433;1
2023-07-26 13:16:04.860924;2
2023-07-26 13:16:40.656286;12
2023-07-26 13:17:36.711307;2
2023-07-26 13:18:17.032761;3
2023-07-26 13:19:02.062817;2
2023-07-26 13:20:07.934943;5
2023-07-26 13:20:24.846598;1
2023-07-26 13:20:56.716845;3
2023-07-26 13:22:03.722483;10
2023-07-26 13:22:33.256199;2
2023-07-26 13:23:07.737522;1
2023-07-26 13:23:38.35935;10
2023-07-26 13:23:59.152771;1
2023-07-26 13:24:52.617888;6
2023-07-26 13:25:45.557551;6
2023-07-26 13:36:18.010948;1
2023-07-26 13:46:35.028209;9
2023-07-26 13:53:45.06498;1
2023-07-26 13:55:01.342159;2
2023-07-26 14:11:06.296211;6
2023-07-26 14:14:19.212749;34
2023-07-26 14:16:57.660785;1
2023-07-26 14:23:08.848347;1
2023-07-26 14:24:45.121989;1
2023-07-26 14:25:30.412694;2
2023-07-26 14:45:50.953342;3
2023-07-26 14:48:41.65448;21
2023-07-26 14:49:47.485146;3
2023-07-26 14:51:17.59094;13
2023-07-26 14:52:40.101069;25
2023-07-26 15:59:06.976177;11
2023-07-26 15:59:54.201095;2
2023-07-26 16:00:43.486532;12
2023-07-26 16:04:53.349673;1
2023-07-26 16:05:20.069925;1
2023-07-26 16:05:32.044888;4
2023-07-26 16:06:03.963991;13
2023-07-26 16:09:12.068313;1
2023-07-26 16:10:05.646584;1
2023-07-26 16:10:39.193777;6
2023-07-26 16:11:06.637571;27
2023-07-26 16:13:24.037423;3
2023-07-26 16:15:33.475927;11
2023-07-26 16:15:50.693585;62
2023-07-26 16:16:36.078359;2
2023-07-26 16:17:20.959606;49
2023-07-26 16:18:17.153545;28
2023-07-26 16:20:17.144956;71
2023-07-26 17:19:45.158569;2
2023-07-26 17:20:02.213396;1
2023-07-26 17:20:16.990423;14
2023-07-26 17:20:31.449057;2
2023-07-26 17:22:17.476354;1
2023-07-26 17:22:51.35146;4
2023-07-26 17:23:15.844085;1
2023-07-26 17:23:49.482966;11
2023-07-26 17:25:02.90958;1
2023-07-26 17:26:09.030335;1
2023-07-26 17:27:35.927171;1
2023-07-26 17:27:50.101461;259
2023-07-26 17:28:05.010484;1
2023-07-26 17:28:17.198062;1
