;22238
2015-05-27 09:38:25.154249;27467
2015-06-29 11:18:40.098885;1
2015-07-06 09:36:13.209763;1
2015-07-06 09:40:15.66245;1
2015-07-06 09:44:03.851362;1
2015-09-07 09:52:14.743143;1
2015-10-18 12:07:40.241129;1
2015-12-09 17:17:46.737906;1
2015-12-10 15:29:07.0974;1
2015-12-21 09:19:40.350504;1
2015-12-21 09:33:01.379456;1
2016-01-05 15:36:23.468318;1
2016-01-05 15:37:25.931247;1
2016-02-10 14:06:00.999617;1
2016-03-02 12:24:43.587544;1
2016-03-09 11:57:48.005232;1
2016-03-13 16:00:21.653209;1
2016-03-18 11:34:38.22859;1
2016-03-21 09:04:38.969726;2
2016-03-21 09:05:05.098212;2
2016-03-21 09:05:30.792084;2
2016-04-20 13:58:41.280012;1
2016-04-20 14:00:28.257561;1
2016-04-20 14:01:53.49235;1
2016-04-20 14:37:36.352358;1
2016-04-22 11:14:01.733503;1
2016-04-22 11:16:55.130864;1
2016-04-22 11:51:24.753348;1
2016-04-25 14:09:55.660086;1
2016-04-25 14:10:16.901166;1
2016-04-25 14:10:34.842217;1
2016-04-25 14:15:39.953963;1
2016-04-25 14:18:59.468295;1
2016-04-25 14:56:24.876945;1
2016-04-25 14:56:37.399114;1
2016-04-25 15:29:57.269853;1
2016-04-25 15:44:28.181392;1
2016-04-25 15:49:33.164852;1
2016-04-25 15:50:01.637701;1
2016-04-25 15:56:47.867912;1
2016-04-26 14:09:48.711435;2
2016-04-26 14:10:39.884266;1
2016-04-26 14:12:01.056954;1
2016-04-26 14:14:47.917373;1
2016-04-29 11:54:04.3943;1
2016-05-25 10:44:47.265889;1
2016-05-25 11:26:18.720077;1
2016-05-30 12:51:55.30333;1
2016-06-02 09:59:35.740774;1
2016-06-02 11:16:41.858488;1
2016-06-02 11:18:19.46491;1
2016-06-07 13:57:36.556242;1
2016-06-20 10:17:54.665659;1
2016-06-20 10:18:36.999868;1
2016-06-20 10:20:09.306321;1
2016-06-20 10:23:01.589061;1
2016-06-20 10:23:41.032126;1
2016-06-20 10:24:22.382312;1
2016-06-20 10:30:34.920361;1
2016-06-20 10:31:14.051906;1
2016-06-20 10:34:21.589942;1
2016-06-20 10:39:14.856755;1
