;60241
"""1987""";1
"""2013""";1
1073;1
1831-03-16;2
1832-10-10;2
1867-09-20;1
1868-12-00;1
1869-03-13;1
1873;1
1878-04;1
1882-11-17;3
1884-03;1
1886;7
1886-05-01;1
1886-08-31;3
1886-09-01;3
1887-03-02;6
1887-05-18;1
1888-04-04;3
1888-04-09;1
1890-08-19;1
1897;1
1900-07;1
1905-04-21;1
1905-06-09;1
1906;6
1906-06-30;1
1908;1
1909-08;1
191-10-10;1
191-10-11;1
191-10-14;1
1910-05;1
1910-07-22;1
1911-10;2
1912-08;1
1915-02;2
1915-08;1
1916;1
1919;1
1919-05;1
1919-08;1
1919-10;3
1920;4
1920-07-21;1
1920-11;1
1921-10-14;2
1923-02;1
1923-08;1
1926-06-00;2
1926-09;1
1928-04;2
1928-07;1
1928-07-30;1
1929-06;1
1930;3
1930-06-22;1
1930-09-10;4
1930-11;1
1932-09;1
1933;3
1933-08;6
1934-03-24;1
1934-04-03;2
1935-08-00;1
1936-08;1
1940;5
1940-02;1
1940-04;1
1940-05-00;1
1940-08;1
1940-09-00;3
1941-02;1
1941-04-00;3
1941-06-00;7
1941-06-11;1
1941-09-00;3
1941-10-00;1
1941-10-30;1
1941-11-00;4
1941-12-00;1
1942-01-00;1
1942-02;1
1942-02-00;4
1942-03-00;4
1942-05;1
1942-05-00;10
1942-08;2
1942-10-00;1
1942-10-01;1
1943;1
1943-01-00;1
1943-02-00;1
1943-03-00;1
1943-06-00;1
1943-08-00;1
1943-09;2
1944-03;1
1944-04;4
1944-06-08;1
1945;10
1945-07-00;1
1945-08-00;1
1945-10;4
1945-10-05;1
1945-11-29;1
1946;3
1946-01-00;1
1946-03-00;1
1946-06-25;1
1946-07-00;1
1946-11-00;1
1947-01-01;1
1947-05-00;1
1947-07;1
1947-07-00;1
1947-12-00;1
1948;2
1948-00-00;2
1948-03;1
1948-06;1
1948-10;1
1949;3
1949-01;1
1949-07;1
1949-09;1
1949-09-00;1
1949-12;1
1950;7
1950-03-00;1
1950-03-27;1
1950-06-00;1
1950-07;1
1950-08-14;2
1950-09;2
1950-11;1
1951;1
1951-00-00;1
1951-02;2
1951-03-00;1
1951-04;1
1951-10-00;2
1951-11-00;1
1952;1
1952-05-00;1
1952-09;3
1952-11-00;2
1953;5
1953-01-00;1
1953-06;5
1953-11;1
1953-12;1
1953-12-00;1
1954;1
1954-05;1
1954-09-25;1
1955;2
1955-04-29;1
1955-09;3
1955-09-07;1
1956;6
1956-04;1
1956-09-21;1
1956-10-22;1
1956-11-22;1
1957;5
1957-01-00;1
1957-06-04;1
1957-10-17;2
1958;5
1958-05-28;1
1958-06-17;1
1958-07-07;1
1958-07-08;1
1958-07-14;1
1958-07-15;1
1958-12;1
1958-12-29;1
1959;2
1959-06-14;1
1959-07;1
1959-10;1
1959-11;1
1960;5
1960-01-08;1
1960-01-27;1
1960-03;2
1960-05;1
1960-06-16;1
1960-09;1
1961;6
1961-01;1
1961-01-06;1
1961-02;4
1961-05-24;1
1961-07;4
1961-08;1
1961-12;1
1962;1
1963-01-09;1
1963-05;1
1963-05-17;2
1963-05-27;2
1963-08-30;1
1963-09;1
1963-12-01;1
1964;7
1964-08;1
1964-10;1
1964-10-12;2
1964-12-19;1
1965;1
1965-01-01;1
1965-02-19;1
1965-07;1
1965-07-00;1
1965-08-06;1
1965-11;2
1966;1
1966-02;2
1966-11-00;1
1967;1
1967-04;1
1967-04-27;1
1967-05;1
1967-07-00;7
1967-07-20;1
1968;6
1968-01;1
1968-01-26;1
1968-05;1
1968-08;1
1968-08-27;1
1968-09;3
1968-09-00;2
1968-10;1
1969;7
1969-01-04;2
1969-01-30;1
1969-02-15;2
1969-04-10;1
1969-04-17;1
1969-04-22;1
1969-04-23;2
1969-05;1
1969-05-01;1
1969-06-16;1
1969-06-27;1
1969-06-28;1
1969-08-05;1
1969-11;1
1969-11-00;1
197-08-14;1
1970;1
1970-00-00;1
1970-02-04;1
1970-02-20;1
1970-03-06;1
1970-03-12;1
1970-08;1
1970-11;1
1970-12-27;1
1971-02;1
1971-02-18;2
1971-02-21;1
1971-02-22;1
1971-03;1
1971-05-19;2
1971-08;1
1971-08-00;1
1971-09;2
1971-12;2
1971-12-00;3
1972;11
1972-01;1
1972-02-00;2
1972-03-00;1
1972-03-11;1
1972-03-31;1
1972-04-00;2
1972-04-30;1
1972-05-00;2
1972-07;1
1972-08-00;1
1972-09;2
1972-09-00;2
1972-10-02;4
1972-10-10;1
1972-10-27;1
1972-11;1
1972-11-00;2
1973;11
1973-01-00;1
1973-02;1
1973-02-00;2
1973-02-01;1
1973-02-22;1
1973-03;2
1973-03-00;1
1973-04;3
1973-04-00;3
1973-05-00;1
1973-06-00;2
1973-08;2
1973-08-00;2
1973-08-10;1
1973-08-20;1
1973-10;1
1973-11;1
1973-11-00;2
1973-11-02;2
1973-11-13;1
1973-12-00;1
1974;9
1974-01-09;1
1974-01-15;1
1974-02-00;2
1974-03-00;2
1974-04-00;6
1974-04-02;1
1974-04-09;1
1974-04-20;1
1974-05-00;2
1974-05-17;1
1974-06-00;1
1974-06-14;1
1974-07-00;2
1974-09-00;4
1974-10;1
1974-10-09;1
1974-10-18;1
1974-11-07;1
1974-12-00;2
1975;7
1975-00-00;1
1975-01-00;3
1975-02;2
1975-02-00;1
1975-03-00;2
1975-03-17;2
1975-04-00;1
1975-04-22;1
1975-05-00;3
1975-05-01;1
1975-05-26;1
1975-06;3
1975-06-00;1
1975-07-00;1
1975-07-01;1
1975-07-23;2
1975-07-25;2
1975-09-10;1
1975-10;1
1975-10-00;1
1975-11-00;2
1975-12;2
1975-12-02;1
1975-12-05;1
1976;21
1976-01-04;2
1976-01-15;2
1976-02-00;1
1976-02-25;1
1976-03-18;2
1976-03-19;5
1976-03-22;1
1976-03-23;3
1976-03-30;4
1976-04-00;1
1976-04-07;2
1976-04-08;1
1976-05;3
1976-05-00;2
1976-06;3
1976-06-00;2
1976-07;2
1976-07-00;1
1976-08;4
1976-08-00;4
1976-08-03;1
1976-08-27;1
1976-09;1
1976-09-00;1
1976-10-01;1
1976-11-00;1
1976-11-11;1
1976-11-26;2
1976-12;2
1976-12-00;1
1977;9
1977-00-00;1
1977-01-24;1
1977-02-11;10
1977-02-14;12
1977-02-15;8
1977-02-17;4
1977-02-22;1
1977-03-00;3
1977-03-14;1
1977-03-17;1
1977-03-18;2
1977-03-21;2
1977-03-22;3
1977-03-23;2
1977-03-24;5
1977-03-25;5
1977-04-01;6
1977-04-04;3
1977-04-25;4
1977-04-28;6
1977-04-29;11
1977-05-00;3
1977-05-02;8
1977-05-03;3
1977-05-05;7
1977-05-12;6
1977-05-15;11
1977-05-16;1
1977-05-18;1
1977-05-19;2
1977-05-20;57
1977-06;1
1977-07;2
1977-07-00;1
1977-07-28;1
1977-08;1
1977-09;1
1977-09-27;1
1977-10-00;4
1977-10-01;3
1977-11;1
1977-11-00;1
1977-11-01;5
1977-11-02;1
1977-11-07;4
1977-11-10;3
1977-11-14;3
1977-11-16;2
1977-11-29;3
1977-12-15;2
1977-12-23;3
1978;10
1978-01-00;3
1978-01-23;5
1978-01-25;2
1978-01-30;1
1978-02;1
1978-02-02;4
1978-02-03;3
1978-02-16;1
1978-02-17;2
1978-03-01;1
1978-03-17;10
1978-04-17;2
1978-04-20;3
1978-05;1
1978-05-00;2
1978-05-02;2
1978-05-05;4
1978-06;3
1978-06-00;1
1978-07;2
1978-07-00;1
1978-07-26;1
1978-08;1
1978-08-14;2
1978-08-23;3
1978-08-24;2
1978-08-28;1
1978-09-27;9
1978-10;3
1978-10-00;2
1978-11-00;1
1978-11-02;1
1978-12;1
1978-12-00;5
1979;2
1979-00-00;1
1979-01;1
1979-02-00;1
1979-03-09;1
1979-04-25;1
1979-05-00;1
1979-05-01;1
1979-05-29;1
1979-05-31;3
1979-06-20;1
1979-07;2
1979-07-20;1
1979-07-24;1
1979-08;2
1979-08-00;3
1979-08-06;1
1979-08-08;2
1979-08-14;1
1979-08-15;2
1979-08-16;1
1979-08-20;4
1979-08-22;2
1979-08-23;1
1979-08-24;1
1979-09-04;1
1979-09-07;4
1979-10;3
1979-10-17;1
1979-12;1
197912;1
198-05-03;1
1980;1
1980-01;1
1980-01-00;2
1980-04-00;1
1980-04-29;1
1980-05;1
1980-05-12;1
1980-06, ;1
