;144111
Adlib priref F&D;633473
Adlib priref locatie;1
Archeoregio;27
Archis-code;18
Brinio negatiefnummer;51
Collectienummer;109
Dia nummer;2
Ferronummer fysiek object;6905
Film nummer;1
Foto nummer;545
Freebase;21614
Funeralia nr.;4434
Gemaalnummer;8
Gemalenstichting nr.;2376
Gemeentelijk monument;1
Geriefbos nr.;433
Historisch SHBO nummer;23
Historisch SHBO nummer (filmnummer);28
Historisch documentnummer;148
Historisch fotonummer;160
Historisch nummer;203016
Inventarisatienummer Rijksmuseum;40
KLD-code;86
LBI-nummer;1574
Negatiefnummer;13
Negatiefnummer G. Berends;11
Negatiefnummer KLV;3
Negatiefnummer RDMZ;9
Orgelnummer;8
Oud documentnummer;24
Oud nummer;1841
POT-nummer;1
Rijksarchief inv. nr.;1
Rn. nummer;1
SHBO nummer (oud);2
SHBO-Ten Bruggencate nr.;494
SHBO-complex;15
STIF nr.;612
Ten Bruggencate nr.;26931
Vermelding op het negatief;9
Vermelding op het negatief ;519
Voormalig Rijksmonumentnummer;4
Watertoren nr.;230
negatiefnummer;1
stamboek;26
systeemkaart;261178
