;142859
2015-06-01 14:44:12.776265;1
2015-06-01 16:05:07.756867;1
2015-06-01 16:10:55.449961;1
2015-06-01 16:12:11.186603;1
2015-06-01 16:15:43.088713;1
2015-06-01 16:17:57.541206;1
2015-06-01 16:26:47.579058;1
2015-06-01 16:38:15.691007;1
2015-06-01 16:39:38.377025;1
2015-06-01 17:11:42.173569;1
2015-06-02 14:05:58.252886;1
2015-06-02 14:11:37.630471;1
2015-06-02 14:19:05.106964;1
2015-06-08 11:46:00.190737;1
2015-06-08 11:46:37.882372;1
2015-06-08 11:48:51.313009;1
2015-06-08 11:50:14.075703;1
2015-06-08 11:50:59.455958;1
2015-06-08 11:51:38.463672;1
2015-06-08 11:52:13.995738;1
2015-06-08 12:06:43.220422;1
2015-06-08 12:09:51.858705;1
2015-06-08 12:16:36.350054;1
2015-06-08 12:19:17.96436;1
2015-06-08 12:32:15.058507;1
2015-06-08 12:33:29.623124;1
2015-06-08 12:49:16.519995;1
2015-06-08 12:52:09.168268;1
2015-06-08 13:00:38.408687;1
2015-06-08 13:02:20.132257;1
2015-06-08 13:04:59.128179;1
2015-06-08 13:06:01.55538;1
2015-06-08 13:07:22.185162;1
2015-06-08 13:08:25.819198;1
2015-06-08 14:21:37.109161;1
2015-06-08 14:26:47.428001;1
2015-06-08 14:59:55.888079;1
2015-06-08 15:01:12.096212;1
2015-06-08 15:03:25.204069;1
2015-06-08 15:06:18.61454;1
2015-06-08 15:09:01.155786;1
2015-06-08 15:15:31.419938;1
2015-06-08 15:23:29.642511;1
2015-06-08 15:30:27.798059;1
2015-06-08 15:31:16.35293;1
2015-06-08 15:36:11.257914;1
2015-06-08 15:50:05.373477;1
2015-06-08 17:28:56.35628;1
2015-06-08 17:31:56.318172;1
2015-06-08 17:37:11.827799;1
2015-06-08 17:39:04.637171;1
2015-06-09 09:52:28.789306;1
2015-06-09 10:04:56.799065;1
2015-06-09 10:06:47.949101;1
2015-06-09 10:09:26.564604;1
2015-06-09 10:15:08.020066;1
2015-06-09 10:19:07.721316;1
2015-06-09 10:22:26.766646;1
2015-06-09 10:24:06.03539;1
2015-06-09 10:27:18.152348;1
2015-06-09 10:30:33.20138;1
2015-06-09 10:32:09.320801;1
2015-06-09 10:33:51.052103;1
2015-06-09 10:35:08.083724;1
2015-06-09 10:39:31.429777;1
2015-06-09 10:48:30.836895;1
2015-06-09 11:57:45.099035;1
2015-06-09 12:06:52.306962;1
2015-06-09 12:09:59.799641;1
2015-06-09 12:11:46.990349;1
2015-06-09 12:13:14.849771;1
2015-06-10 10:36:00.601497;3
2015-06-10 10:56:29.272909;1
2015-06-10 14:34:18.012188;1
2015-06-10 14:35:36.974921;1
2015-06-10 14:41:08.602256;1
2015-06-10 15:06:06.331457;1
2015-06-11 14:42:20.683027;1
2015-06-12 12:54:07.636053;1
2015-06-12 14:42:56.423087;1
2015-06-12 14:44:53.997314;1
2015-06-12 14:55:56.068439;1
2015-06-17 14:11:01.136205;1
2015-06-17 14:11:39.493343;1
2015-06-17 14:12:19.047947;1
2015-06-17 14:13:00.731883;1
2015-06-17 14:13:33.485185;1
2015-06-17 14:15:27.894829;1
