;75625
10000310;1
10000528;1
10000581;1
10000676;1
100006788;1
1000077;1
1000098;1
10001008;1
10001240;1
10001252;1
10001344;1
10001477;1
10002588;1
10002608;1
1000288;1
10003039;1
1000310;1
100031380;1
100032;3
10003332;1
1000336;1
10003543;1
10003941;1
100039448;1
10003974;1
10004356;1
10004381;1
10004401;1
10004429;1
10004446;1
100048188;1
1000484;1
10004856;1
1000490;1
1000494;1
1000503;1
1000516;1
100054;1
100056464;1
10005736;1
10006186;1
100064;2
10006468;1
1000664;1
10006700;1
100068450;1
10006888;2
100070192;1
10007391;1
10007404;1
100074130;1
100074400;1
1000776;1
100078100;1
10008006;1
1000820;1
10008208;2
10008240;1
100083516;1
10008430;1
10008552;1
10008553;1
10008577;1
10008674;1
1000875;1
10008774;1
10009316;1
1000940;1
10009815;1
10010056;1
100101024;1
10010259;1
1001038;1
10010390;2
100107628;1
10011136;1
100112436;1
10011280;1
10011310;1
100114370;1
10011736;1
1001181;1
100118432;1
100120404;1
10012132;1
10012184;1
10012704;1
10013076;1
10013084;1
10013100;1
10013388;1
10013640;1
10013642;1
10013808;1
10013887;1
10013913;1
1001401;1
100141320;1
1001414;1
10014320;1
10014340;1
100144296;1
10014720;1
10014728;1
100148;5
1001497;1
10015360;1
10015466;1
1001550;1
10015736;1
10015836;1
10015972;1
10016082;1
100163430;1
1001643;1
10016888;1
100174156;1
1001749;1
1001751;1
100176528;1
10017664;1
10017680;1
100177220;1
100179424;1
10018472;1
10018592;1
1001862;1
100190;1
100190066;1
1001901;1
100191776;1
10019283;1
10019412;1
10019432;1
100200;1
1002041;1
100204800;1
100204820;1
10020616;1
10021324;1
100214090;1
1002177;1
1002185;1
1002196;1
10022148;1
1002217;1
10022208;1
1002226;1
10022383;1
10022467;1
1002247;1
1002261;1
10022666;2
100228932;1
10023052;2
10023054;1
10023144;1
10023156;1
10023423;1
10023440;1
10023543;1
10023740;1
10023868;1
10023936;2
10024014;1
10024060;1
10024372;2
10024660;1
10024827;1
10024904;1
1002508;1
100255388;1
1002570;1
10025716;1
100257164;1
1002589;1
10025896;1
10025979;1
10026080;1
100262;7
100262130;1
10026280;1
100264;1
10026492;1
10026788;1
100268360;1
10026901;1
100273380;1
10027342;1
10027488;1
