;79727
'SS Crucus'van de Kruisheren, Uden;16
0;1
1;2
10000;11
100001;1
100002;1
100003;1
100004;1
100005;1
100006;1
100007;1
100008;1
100009;1
100010;1
100012;1
100013;1
100014;1
100015;1
100016;1
100017;1
100018;1
100019;1
100021;1
100022;1
100023;2
100033;1
100034;1
100035;1
100036;1
100037;1
100038;1
100039;1
100040;1
100041;1
100042;1
100043;3
100044;1
100045;1
100046;1
100047;1
100048;1
100049;1
100050;1
100051;1
100052;1
100053;2
100054;1
100055;1
100056;2
100057;1
100058;1
100059;1
100060;1
100061;1
100062;1
100063;1
100064;1
100065;1
100066;1
100068;2
100071;2
100072;1
100073;1
100075;1
100079;35
1001;2
100108;1
100116;1
1002;49
100259;3
100260;1
100261;1
100262;1
100263;1
100264;1
100265;2
100269;1
100270;1
100273;1
100274;1
100276;1
100282;1
100283;1
100284;1
100285;1
100286;1
100287;1
100289;1
100290;1
100291;1
100294;1
100295;1
100324;7
100339;25
100358;1
100360;1
100362;1
100363;1
100364;1
100365;1
100366;1
100367;1
100368;1
100369;1
100370;1
100371;1
100372;1
100373;1
100374;1
100376;5
100381;6
100387;2
100390;1
100391;1
100392;1
100393;1
100395;1
100396;1
100397;1
100427;1
100428;1
100429;1
100430;1
100431;1
100432;1
100433;3
100434;3
100435;13
100436;1
100437;1
100438;2
100439;1
100440;1
100442;2
100443;1
100444;6
100445;1
100446;1
100447;1
100448;1
100449;1
100450;1
100451;1
100452;1
100453;1
100454;1
100455;1
100456;2
100457;1
100458;3
100459;1
100461;2
100462;1
100463;1
100464;1
100467;2
100468;2
100469;2
100470;2
100471;1
100472;6
100473;1
100474;3
100475;2
100476;2
100477;29
100478;1
100479;11
100480;1
100481;8
100482;2
100491;1
100492;1
100493;1
100494;1
100495;1
100496;1
100497;1
100498;1
100501;1
100502;1
100503;1
100504;1
100505;1
100506;1
100507;1
100522;1
100523;1
100524;1
100527;2
100528;4
100529;4
100530;6
100577;383
100587;1
100588;1
100589;1
100590;1
100593;1
100594;1
100598;1
100599;3
100600;1
100601;1
100644;2
100645;1
100646;2
100647;2
100648;1
100649;2
100650;1
100651;1
100652;1
100653;1
100654;1
100655;1
100656;2
100657;2
100658;1
100659;1
100660;1
100661;1
100662;1
100663;1
100664;3
100682;2
100689;1
100692;1
100741;1
100742;1
100743;1
100744;1
100745;2
100760;10
100770;1
100779;266
100814;1
100815;1
100816;2
100819;1
100825;1
100826;8
100827;2
100828;1
100829;12
100831;1
100832;21
100837;1
100838;1
100839;1
100844;3
100845;4
100846;20
100849;9
100850;11
100851;4
100852;18
100853;2
100854;4
100856;1
100857;1
100858;1
100866;1
100878;2
100880;4
100910;3
100913;1
100914;2
100921;1
100922;4
100932;10
100942;2
100943;2
100944;1
100945;2
100946;2
100948;2
100964;1
100965;2
100966;4
100967;2
100968;1
100969;1
100970;1
100971;1
100972;1
100973;3
100976;1
100977;3
100978;1
100979;9
100990;1
100991;2
100992;1
100993;1
100994;6
100995;1
100996;3
100997;3
101000;67
101002;1
101021;2
101022;7
101023;1
101024;2
101025;1
101026;2
101027;1
101028;1
101029;1
101030;1
101031;1
101032;1
101033;1
101034;1
101035;1
101036;1
101056;1
101057;1
101058;1
101059;1
101190;1
101191;1
101192;1
101194;1
101195;1
101196;1
101197;1
101198;1
101199;1
101200;1
101201;1
101202;1
101203;1
101204;1
101205;1
101206;1
101208;6
101209;1
101210;1
101211;1
101212;1
101213;1
101214;1
101215;1
101216;2
101217;17
101227;37
101243;1
101244;3
101245;1
101246;1
101247;1
101248;1
101249;1
101309;1
101310;1
101311;1
101312;1
101313;1
101314;1
101315;1
101316;1
101317;1
101318;6
101319;4
101320;4
101321;2
101322;4
101323;1
101324;2
101325;2
101326;2
101327;8
101328;2
101329;7
101330;44
101331;2
101332;3
101333;6
101334;14
101335;1
101336;1
101337;1
101338;1
101339;8
101340;3
101341;1
101342;2
101343;1
101344;9
101345;1
101346;2
101347;1
101348;1
101349;1
101350;2
101352;1
101353;1
101354;1
101355;1
101356;1
101357;8
101358;19
101359;2
101360;12
101361;1
101362;5
101363;1
101364;2
101365;1
101366;1
101367;1
101380;4
101385;1
101399;1
101400;2
101401;10
101402;18
101461;5
101479;1
101480;1
101481;1
101482;1
101483;1
101484;1
101485;1
101486;1
101487;1
101488;1
101489;1
101490;1
101491;1
101493;7
101499;1
101500;1
101501;1
101502;1
101503;1
101505;14
101506;1
101517;1
101518;3
101529;2
101530;3
101533;7
101534;6
101536;1
101537;1
101538;1
101539;1
101540;1
101546;2
101547;1
101548;1
101549;1
101550;1
101551;1
101552;1
101553;1
101554;1
101555;1
101556;1
101557;2
101558;2
101559;4
101560;3
101561;3
101562;4
101564;1
101626;1
101631;29
101657;1
101658;1
101659;1
101681;1
101686;5
101687;1
101688;3
101690;1
101692;1
101752;1
101756;1
101757;2
101758;1
101759;7
101760;1
101779;1
101780;1
101787;7
101789;4
101849;5
101852;1
101854;1
101855;4
101856;2
101857;1
101859;1
101860;1
101861;3
101862;3
101863;1
101864;3
101865;1
101866;1
101867;1
101868;1
101869;1
101870;3
101871;1
101872;1
101876;5
101881;1
101882;4
101886;1
101887;1
101889;1
101890;1
101891;1
101892;1
101893;1
101894;1
101895;1
101896;1
101897;1
101898;1
101899;1
101900;1
101901;1
101902;1
101903;1
101974;3
101975;2
101976;1
101977;2
101978;18
101979;4
101980;1
101981;1
101982;1
101983;1
101984;1
101985;1
101986;1
101994;2
101995;2
101996;1
101997;2
101998;18
101999;2
102;7
102000;15
102001;1
102002;1
102003;1
102004;1
102005;1
102006;1
102007;1
102008;1
102009;3
102010;1
102011;1
102012;1
102013;1
102014;1
102015;1
102016;2
102017;1
102018;1
102019;1
102024;1
102025;4
102026;3
10204;1
102046;4
102050;4
102051;10
102052;4
102081;4
102082;1
102083;1
102090;1
102091;1
102092;1
102105;1
102106;1
102107;1
102108;1
102109;1
102110;9
102124;1
102125;4
102130;1
102137;1
102138;1
102139;1
102140;1
102141;1
102142;1
102143;1
102144;1
102145;1
102146;1
102147;1
102148;1
102149;1
102150;1
102151;1
102152;1
102153;1
102154;1
102155;1
102156;1
102157;1
102159;1
102160;1
102161;1
102162;1
102165;1
102169;1
102170;1
102171;1
102173;1
102174;1
102175;1
102245;1
102246;3
102247;1
102248;5
102249;3
102250;1
102251;1
102252;1
102253;1
102254;1
102285;2
102286;2
102287;2
102288;1
102289;1
102290;1
102291;4
102292;2
102293;1
102294;3
102295;2
102296;1
102297;1
102298;1
102299;1
102300;1
102301;1
102302;5
102303;8
102304;1
102305;1
102306;1
102307;1
102308;1
102309;1
102310;2
102311;1
102312;1
102313;2
102314;1
102315;4
102316;2
102317;12
102318;4
102319;2
10232;17
102320;1
102321;28
102322;8
102323;1
102324;2
102325;1
102326;3
102327;1
102328;1
102329;1
102330;3
102331;1
102332;1
102333;2
102334;1
102335;8
102336;2
102337;19
102338;2
102339;2
102340;1
102341;7
102342;3
102343;4
102344;9
102345;3
102346;18
102347;6
102348;2
102349;26
102350;1
102351;5
102352;1
102353;1
102354;3
102355;1
102356;5
102357;1
102358;2
102359;1
102361;1
102362;1
102363;4
102364;5
102365;2
102366;1
102367;5
102368;2
102369;3
102370;3
102371;2
102372;2
102373;2
102374;1
102375;1
102376;1
102377;8
102378;5
102379;10
102380;7
102381;1
102382;3
102383;7
102384;5
102385;1
102386;4
102387;1
102388;1
102389;64
102390;1
102391;5
102405;2
102408;1
102410;1
102411;1
102414;1
102415;1
102423;1
102424;1
102425;1
102426;1
102445;1
102446;1
102447;1
102448;1
102449;1
102450;1
102459;1
102460;2
102461;2
102462;1
102477;59
10249;34
102534;4
102538;1
102565;6
102570;1
102571;1
102572;1
102573;1
102574;11
102576;2
102577;1
102579;1
102602;1
102603;1
102604;4
102608;7
102615;3
102623;1
102624;2
102625;4
102629;17
102645;1
102646;1
102647;1
102648;1
102649;1
102650;1
102651;1
102652;4
102653;1
102654;1
102655;1
102656;1
102657;1
102658;1
102659;1
102660;1
102661;1
102662;1
102663;3
102664;1
102666;1
102667;1
102668;1
102669;3
102670;1
102697;121
102770;2
102778;7
102783;1
102792;49
102793;1
102794;135
102795;1
102796;1
102797;2
102798;1
102799;2
102800;1
102801;1
102802;2
102803;1
102804;1
102805;8
102806;2
102807;1
102808;1
102809;2
102810;1
102811;1
102812;1
102813;1
102814;2
102815;2
102816;1
102817;2
102818;1
102819;2
102820;1
102821;2
102822;1
102823;1
102824;1
102825;14
102826;1
102827;1
102828;1
102829;1
102830;1
102833;1
102834;1
102835;1
102836;1
102837;1
102838;1
102839;1
102840;1
102842;1
102843;1
102844;1
102898;1
102899;1
102900;1
102907;1
102908;1
102909;1
102910;1
102911;1
102912;1
102913;1
102914;1
102915;1
102916;1
102917;1
102918;1
102919;1
102920;1
102921;1
102922;1
102923;1
102924;1
102925;1
102926;1
102927;1
102928;1
102929;1
102930;1
102931;1
102932;1
102933;1
102934;1
102935;1
102936;1
102937;1
102938;1
102939;1
102940;1
102941;1
102942;1
102943;1
102944;1
102945;1
102946;1
102947;1
102948;1
102949;1
102950;1
102951;1
102952;1
102953;1
102954;1
102955;1
102956;1
102957;1
102958;1
102959;1
102960;1
102961;1
102962;1
102963;1
102964;1
102965;1
102966;1
102967;1
102968;1
102969;1
102970;1
102971;1
102972;1
102973;1
102974;1
102975;1
102976;1
102977;1
102978;1
102979;1
102980;1
102981;1
102982;1
102983;1
102984;1
102985;1
102986;1
102987;1
102988;1
102989;1
102990;1
102991;1
102992;1
102993;1
102994;1
102995;1
102996;1
102998;8
103;11
103000;2
103001;1
103002;1
103003;1
103004;1
103005;4
103006;2
103007;2
103008;1
103009;1
103010;1
103011;1
103012;1
103013;1
103014;1
103015;1
103016;1
103017;1
103018;1
103019;1
103020;1
103021;1
103022;1
103023;1
103024;1
103025;1
103026;1
103027;1
103028;1
103029;1
103030;2
103031;9
103032;1
103033;1
