;699526
12345;1
21031;61
2206;3
329885;133
332530;838
334010;3
335305;40
335384;50
337499;100
337987;16
338692;164
339207;441
339643;110
344417;39
344573;584
345562;25
353811;13
354391;2
359693;16
364788;1
365879;59
367540;14
384359;101
387932;33
388525;93
389052;89
389110;16
394038;33
394052;47
394071;134
394081;15
394103;47
394112;19
394125;29
395599;1
395819;855
396591;7
398053;64
401132;1
401133;46
401776;102
402869;7
403057;18
405053;20
405084;16
405935;15
406193;136
407230;14
407231;12
407237;5
407239;13
407240;11
407244;8
407501;34
407902;84
408801;99
408840;38
408906;83
408907;92
409332;64
409333;20
409823;204
410035;7
413014;47
413745;120
414318;38
414319;37
414769;55
419787;120
421506;158
422277;13
429933;50
449501;35
451647;139
451892;34
452190;29
452457;17
452713;4
454177;81
454178;154
454479;53
454910;25
454969;303
455168;151
455169;11
456066;129
456362;15
458927;1093
459798;66
459802;33
461449;63
464475;53
464799;236
46619;1
46740;466
46757;54
467882;3
468004;43
46815;503
468599;2
468616;3
468714;34
468938;204
46895;249
468966;21
469114;22
469319;734
469330;6
469342;1
469377;2
469380;9
469393;47
46974;476
469890;102
470642;16
470904;9
470905;20
471959;10
473255;4
477110;18
478011;7
478200;9
478215;3
478330;9
478333;15
478334;196
478431;1
478434;43
478457;8
478458;120
478464;97
478490;15
478497;24
480167;531
480790;33
481741;1
482340;78
482936;2
482940;29
490556;6
491711;42
491876;25
491948;5
491981;4
492353;111
492666;6
494843;28
495944;3
495968;17
496602;1
496694;1
496756;2
497066;125
497972;70
498170;13
498622;18
498841;52
499040;19
499070;9
499106;2
499163;28
499184;2
499199;49
499216;42
501503;97
501524;9
502025;1
502368;6
502454;3
502471;1
504586;16
504647;4
504664;26
504680;2
504701;1
504733;54
505161;1
506110;95
506293;144
506407;40
506414;96
506420;11
506424;9
506427;82
506430;15
506438;32
506445;93
506476;8
506480;35
506485;11
506505;24
506569;16
506836;4
506841;17
506868;16
506873;4
506878;19
506882;45
506887;3
506890;224
506917;15
506920;12
506934;14
506937;69
506962;323
506974;1
506979;538
506995;29
507015;57
507033;7
507039;11
507054;131
507059;345
507063;20
507066;91
507080;5
507092;5
507119;9
507126;10
507149;1
507155;15
507166;1
507206;6
507213;5
507216;1
507235;4
507240;30
507245;23
507277;47
507286;1
507313;3
507316;57
507320;1
507348;30
507352;2
507358;2
507361;15
507365;3
507368;4
507377;4
507388;3
507391;1
507407;25
507429;34
507443;48
507452;1
507455;18
507481;17
507484;24
507491;8
507515;65
507545;991
507653;8
507663;3
507667;2
507674;8
507680;47
507729;8
507734;9
507738;51
507746;4
507759;4
507774;5
507819;40
507823;1
507827;4
507839;38
507844;3
507850;9
507853;3
507859;198
507875;11
507880;31
507883;1
507887;76
507908;19
507916;25
507919;5
507922;35
507930;123
507939;3
507949;13
507967;47
507975;3
507991;47
508010;39
508021;80
508028;70
508047;5
508056;2
508060;4
508090;16
508096;3
508108;4
508112;27
508117;52
508123;16
508135;46
508146;213
508165;92
508177;54
508185;73
508190;10
508200;28
508235;112
508264;66
508271;1
508275;80
508281;54
508296;50
508309;2
508321;2
508324;9
508348;4
508363;1
508445;2
508456;2
508460;309
508481;40
508532;1
508544;24
508554;11
508565;2
508578;9
508586;19
508591;7
508596;3
508607;10
508651;5
508676;3
508694;57
508722;1
508725;32
508728;20
508732;64
508749;1
508784;19
508923;12
508940;48
508964;55
508979;2
508984;37
508994;1
509009;5
509012;4
509130;23
509138;3
509148;8
509162;21
509207;1
509217;2
509224;8
509250;1
509254;16
509258;2
509266;72
509291;13
509293;1
509300;1
509303;1
509327;25
509346;6
509351;4
509375;122
509399;22
509413;8
509425;1
509430;78
509440;17
509444;10
509450;3
509453;2
509456;1
509459;11
509471;3
509474;10
509477;1
509480;6
509486;2
509612;45
509679;1
509686;12
509690;3
509695;12
509705;497
509728;1
509757;42
509761;2
509771;5
509803;9
509820;98
509825;2
509829;1
509833;206
509835;2
509868;35
509870;32
509880;3
509887;26
509894;10
509920;22
509928;140
509930;16
509935;130
509944;11
509949;22
509954;37
509962;20
509967;34
509979;24
509992;4
510011;3
510030;213
510038;23
510042;12
510049;13
510061;164
510146;112
510155;3
510160;45
510169;176
510188;31
510191;13
510195;1
510202;23
510207;2
510211;12
510218;47
510222;3
510232;31
510240;4
510243;26
510286;5
510295;21
510299;21
510302;1
510305;8
510314;9
510317;3
510324;6
510361;67
510396;54
510406;5
510422;21
510424;1
510439;3
510450;1
510453;2
510456;1
510462;21
510466;101
510472;2
510510;29
510513;84
510516;21
510559;25
510569;11
510573;23
510577;97
510581;1
510584;94
510591;1
510647;32
510650;4
510655;2
510659;308
510691;23
510715;6
510721;29
510727;12
510731;1
510735;1
510777;2
510780;51
510787;26
510793;7
510796;66
510799;1
510812;31
510850;476
510870;57
510881;11
510903;76
510931;82
510936;2
510942;58
510972;1
510992;2
511025;24
511040;5
511090;2
511098;6
511106;64
511109;4
511127;21
511135;6
511156;2
511163;4
511175;38
511180;89
511183;24
511206;38
511218;60
511229;107
511248;1
511257;1
511286;97
511289;6
511304;48
511327;2
511334;52
511338;3
511341;18
511351;23
511357;105
511373;17
511395;33
511407;195
511420;8
511432;12
511439;45
511445;17
511495;3
511508;49
511526;3
511550;17
511555;42
511567;15
511634;11
511670;18
511681;33
511703;6
511709;12
511747;81
511770;124
511783;4
511793;138
511805;70
511818;24
511826;98
511834;19
511836;103
511848;63
511865;6
511880;34
511886;35
511895;519
511929;25
511938;34
511962;1
511966;94
511980;1
511986;15
512000;2
512005;54
512014;7
512016;64
