;778633
159649;61
234367;42
50.76751;1
50.76753;1
50.76766;1
50.76802;1
50.76996;1
50.77042;1
50.77056;1
50.77261;1
50.7737;1
50.77518;1
50.77597;1
50.77679;1
50.77744;1
50.77856;1
50.7786;1
50.78218;1
50.78646;1
50.78782;1
50.79134;1
50.79395;1
50.79399;1
50.79559;1
50.79614;1
50.79651;1
50.79815;1
50.79924;1
50.80016;1
50.80164;1
50.80185;1
50.80262;1
50.80683;1
50.80685499;1
50.80688;1
50.80757;1
50.80832;1
50.80853;1
50.81034;1
50.81262;1
50.81372;1
50.81408;1
50.81544;1
50.81721;2
50.81777;1
50.81809;1
50.82054;1
50.82544;1
50.82592;1
50.8273;1
50.82750031;1
50.82928;1
50.82950;1
50.829501;1
50.83132;1
50.83166;1
50.8317;1
50.83241;1
50.83442;1
50.83471;1
50.83479;1
50.83494;1
50.8355;1
50.83704;2
50.83789;1
50.83795;1
50.83829;1
50.83844;1
50.84022;1
50.84053;1
50.84195;1
50.84214;1
50.8445;1
50.84455;1
50.84465;1
50.84562;2
50.84726;1
50.84972;1
50.85063;1
50.85076;1
50.85079;1
50.85171;1
50.852441;2
50.85246;1
50.85257;1
50.85334;1
50.85452;1
50.854889;2
50.85493013;1
50.85498;1
50.85523;2
50.85532;1
50.85593;1
50.8564;1
50.85692;1
50.85749;1
50.85794;1
50.85809;1
50.85822;1
50.85897;1
50.86052;1
50.86089;1
50.86119;1
50.86166;2
50.86177;1
50.86184;1
50.86208;1
50.8629;1
50.86331;1
50.86344;1
50.86375;1
50.86523;1
50.86534;1
50.86573;1
50.86694;1
50.86813;1
50.86839;1
50.87029;1
50.872777;1
50.87318;1
50.8743;1
50.87473;1
50.87512;1
50.87587;1
50.87682;1
50.87724;1
50.87752;1
50.87858;1
50.87985;1
50.882;1
50.88334;1
50.88357;1
50.88381;1
50.88396;1
50.88401;1
50.88458;1
50.88478;9
50.88526;1
50.88576;1
50.88747;1
50.8876;1
50.88825;1
50.88952;1
50.89111;1
50.8946;1
50.8947;1
50.89474;1
50.89592;1
50.89733;1
50.89746;2
50.89775;1
50.89886;1
50.90243;1
50.90318;1
50.90471;1
50.90477;1
50.90567;1
50.90631;1
50.90633;1
50.90777;1
50.90899;1
50.90993;1
50.91062;1
50.91363;1
50.91376;1
50.91559;1
50.91591;1
50.91595;1
50.91632;1
50.91783;1
50.91896;1
50.92123;1
50.92143;1
50.92168;1
50.92216;1
50.92327429;1
50.92328;1
50.92472;1
50.92505;1
50.92841;1
50.92843;1
50.92916;1
50.93144;1
50.93464;1
50.93716;1
50.93721;1
50.93869;1
50.9392;2
50.93956;1
50.93978;1
50.93995;1
50.94103;2
50.94143;1
50.94505;1
50.94650;2
50.95181;1
50.95239;1
50.95257;1
50.95388;1
50.95418;1
50.95558;1
50.95732;1
50.95753;1
50.96109;1
50.96131;1
50.96283;1
50.96385;1
50.97039;1
50.97087;1
50.97193;1
50.9738;2
50.97501;1
50.97665;1
50.98572;1
50.98606;1
50.98617;1
50.9894;1
50.99103;1
50.99178;1
50.99221;1
50.99344;1
50.99453;1
50.99528;1
50.99563;1
50.99577;1
50.99672;1
50.99965;1
51,4549;1
51,74475;1
51,84883;2
51,90069;1
51,90291;2
51,90939;1
51,95247;4
