;61327
Aruba (Koninkrijk der Nederlanden);60
Australië;78
België;894
Brazilië;168
Britse Maagdeneilanden;1
Canada;2
Caribisch Nederland;802
China;4
Curaçao (Koninkrijk der Nederlanden);797
Denemarken;1
Duitsland;1142
Duitsland (tot 1945), Polen (na 1945);3
Egypte;1
Engeland;46
Frankrijk;195
Frans Guyana;5
Franse Antillen;14
Ghana;880
Groot-Brittannië;1
Guyana;85
India;129
Indonesië;801
Israël;12
Italië;16
Japan;107
Kaapverdië;25
Maleisië;33
Mauritius;21
Nederland;724567
Nederland (anders);3
Nieuw-Zeeland;14
Oostenrijk;1
Polen;1
Portugal;4
Rusland;3
Saint Lucia;2
Sint Maarten (Koninkrijk der Nederlanden);108
Spanje;58
Sri Lanka;258
Suriname;1620
Taiwan;36
Thailand;20
Tobago;2
Tsjechië;5
Venezuela;15
Verenigde Staten;118
Zuid-Afrika;260
Zweden;2
