;717090
"
";11
"

 

 


";2
"
De dia’s zijn tevoorschijn gekomen bij het inventariseren van de jaloeziekasten in het voorportaal van het Koude Depot (spullen Peter Don) bij restpartij dia's t.b.v. de orgelencyclopedie ('Het Historisch orgel in Nederland’).
";1
"
KU-337, Documentatie Uilkema";6
 ;85
 - cropped en rechtgezet;1
 - rechtgezet en bewerkt;1
 Afb. 703, blz. 184c (245c);1
"""Bur. Mulder""";4
"""Plaats van handeling blijkt de kamer beneden in het achterhuis, nu het winkelmagazijn, waar de groene schouw nog steeds deels aanwezig is"". Bron: https://www.achterdegevelsvandelft.nl/";1
(22A) (12A);1
(6a);1
(Nog) geen rijksmonument (RM 512920, complex 522606);19
(Nog) geen rijksmonument (RM 522608, complex 522606);1
(Nog) geen rijksmonument (RM 526202, complex 522606);1
(c) Copyright NIET bij de RDMZ;1
"- ZOEKPLAAT|JE - ingevoerd d.d. 16 oktober 2020 - Deze foto kwam naar voren bij het koppelen van foto's aan metadata. Maar deze is niet te herleiden aan de foto's die 'hieromheen' staan... Marco, 16-10-2020
Opgelost 26-10-2020";1
- bijgesneden, rechtgezet en lichter;1
- blurr;2
- crop - blurr;1
- cropped;1
"- cropped
- datum opname alleen terug te vinden bij de aangepaste versie met watermerk op de USB stick van Jur Mellema.";1
- rechtgezet;1
.;3
12B;1
13-6-2002;1
13B;1
1963, datum volgens historisch centrum Franeker, kan niet juist zijn, foto's van deze reeks zijn eerder in de jaren 1920 gemaakt [3-2024 dw];1
1984-12;1
"2020-03-25: Op de Beeldbank van het regionaal archief Dordrecht is te vinden: Dit pand behoorde vanaf 1620 aan wijnkoper Pieter Beyen, die het omstreeks 1670 verbouwde en er de naam 'Beyenburg' aan gaf; het werd gesloopt in 1906 om plaats te maken voor een RK-school; zie: Oude Huizen door Jan van de Maas in de Dordrechtse Courant van 15 januari 1906 en Balen.";2
"2025-06-15: bijna alles aan deze foto verbeterd: 
- geen M & L gekoppeld, 
- geen vervaardiger, 
- geen datum
- geen trefwoord
- bij beschrijving natuurlijk wel: Jos Stöver, 08-07-2015 - beetje irritant!

Marco, 15 juni 2025";1
23-11-2007;25
3469-4 Brinio Rotterdam nummer;1
49 03 schipbrug Arnhem193;1
49 08 station Arnhem196;1
506446 IMG_9903;1
58 03 De Markt Provinciehuis Ambtswoning Comm v d Koningin66;1
59 09  Plan C Rotterdam670;1
6 mei;1
61 09  behoort bij 58 02 Walburgskerk+Witte brug778;1
61 10  Sonsbeek779;1
64 01 Kerkje met schip voorgrond RK kerkhof585;1
69 03 Theeschenkerij Sonsbeek716;1
69 04 Sonsbeek715;1
73 09 Rotterdam Delfsche Poort over het Stokvischwater498;1
77 16 Amersfoort Koppelpoort 468;1
79 01 Amersfoort RK Spaarbank etc326;1
79 06 Waterpoort Amersfoort323;1
79 07 Haarlem Station329;1
86 14 Dansgroep poserend buiten318;1
95 08 Eusebiuskerk305;1
99 08  Eusebiuskerk deel O Z573;1
A.v.L. = Ad van Liempt - volledige naam niet vermeld (AVG).;1
A3-Film;1
"A3-Film
";1
AJM van den Bosch-Strijbosch, Clementinalaan 8,;11
AJM van den Bosch-Strijbosch, Clementinalaan 8, Veldhoven;1
Aan de tekst te oordelen zou de foto in spiegelbeeld zijn (MM);1
Aan het werk: Rob Crèvecoeur (Specialist Kleurige afwerking van monumenten van november 1981 - november 1991 bij de RDMZ);1
"Aan zoekplaatjes toegevoegd d.d. 10 november 2020 - 
Deze foto staat op systeemkaart 19456 (Rhenen, diversen) en was daarna gekoppeld aan een molen.

Opgelost op 13 november 2020 door Jan Spoolder:
De slagerij van A. Baars KEzn. met tel. nr. 57 was volgens telefoonboek 1922-1925 gevestigd aan de Cuneraweg 17.  Daar is het niet. In 1926 gevestigd aan de Kruisstraat in Rhenen, mogelijk nr. 16. Gezien het hellende wegdek met veldkeien en molsgoten is dit zeer aannemelijk de locatie van deze foto, maar dan klopt de datering niet. Ik heb er geen visueel bewijs van gevonden. In 1927 bouwvergunning aan A. Baars KEzn. voor bouw van een winkel/slagerij aan de Fred. van de Paltshof 4.
In 1934 gevestigd aan de Fred. van de Paltsstraat A 8a, later nr. 10. Daar is het ook niet. In 1936 werd het telefoonnummer gewijzigd in 457. De Kruisstraat en Fred. van de Paltshof werden in mei 1945  verwoest. Locatie van de foto dus Kruisstraat, datering waarschijnlijk tussen 1926 en 1934, mogelijk 1926-1927.";1
Aangekocht voor € 20,= door Peter Don, acquisitie september 2002.;1
Aangepast d.d. 14 april 2023, n.a.v. een aantal opmerkingen van  Johan van der Hurk (mail van 4 april 2023).;1
Aardewerk pot uit graf;1
Aardewerk pot uit graf G001;1
Aardewerk pot uit graf G002;1
Aardewerk pot uit graf G003;1
Aardewerk pot uit graf G006;1
Aardewerk pot uit graf G008;1
Aardewerk pot uit graf G010;1
Aardewerk pot uit graf G011;1
Aardewerk pot uit graf G012;1
Aardewerk pot uit graf G013;1
Aardewerk pot uit graf G015;1
Aardewerk pot uit graf G016;1
Aardewerk pot uit graf G017;1
Aardewerk pot uit graf G018;1
Aardewerk pot uit graf G019;1
Aardewerk pot uit graf G020;1
Aardewerk pot uit graf G021;1
Aardewerk pot uit graf G022;1
Aardewerk pot uit graf G023;1
Aardewerk pot uit graf G024;1
Aardewerk pot uit graf G025;1
Aardewerk pot uit graf G026;1
Aardewerk pot uit graf G027;1
Aardewerk pot uit graf G028;1
Aardewerk pot uit graf G029;1
Aardewerk pot uit graf G030;1
Aardewerk pot uit graf G031;1
Aardewerk pot uit graf G032;1
Aardewerk pot uit graf G035;1
Aardewerk pot uit graf G036;1
Aardewerk pot uit graf G037;1
Aardewerk pot uit graf G038;1
Aardewerk pot uit graf G039;1
Aardewerk pot uit graf G040;1
Aardewerk pot uit graf G041;1
Aardewerk pot uit graf G043;1
Aardewerk pot uit graf G044;1
Aardewerk pot uit graf G045;1
Aardewerk pot uit graf G049;1
Aardewerk pot uit graf G052;1
Aardewerk pot uit graf G053;1
Aardewerk pot uit graf G054;1
Aardewerk pot uit graf G055;1
Aardewerk pot uit graf G058;1
Aardewerk pot uit graf G065;1
Aardewerk pot uit graf G066;1
Aardewerk pot uit graf G068;1
Aardewerk pot uit graf G070;1
Aardewerk pot uit graf G076;1
Aardewerk pot uit graf G077;1
Aardewerk pot uit graf G081;1
Aardewerk pot uit graf G082_IV_2;1
Aardewerk pot uit graf G082_IV_6;1
Aardewerk pot uit graf G086;1
Aardewerk pot uit graf G090;1
Aardewerk pot uit graf G091;1
Aardewerk pot uit graf G093;1
Aardewerk pot uit graf G094;1
Aardewerk pot uit graf G095;1
Aardewerk pot uit graf G096;1
Aardewerk pot uit graf G097;1
Aardewerk pot uit graf G099;1
Aardewerk pot uit graf G106;1
Aardewerk pot uit graf G109;1
Aardewerk pot uit graf G114;1
Aardewerk pot uit graf G127;1
Aardewerk pot uit graf G128;1
Aardewerk pot uit graf G131;1
Aardewerk pot uit graf G131a;1
Aardewerk pot uit graf G136;1
Aardewerk pot uit graf G141;1
Aardewerk pot uit graf G143;1
Aardewerk pot uit graf G144;1
Aardewerk pot uit graf G145;1
Aardewerk pot uit graf G146;1
Aardewerk pot uit graf G147;1
Aardewerk pot uit graf G148;1
Aardewerk pot uit graf G151;1
Aardewerk pot uit graf G152;1
Aardewerk pot uit graf G153;1
Aardewerk pot uit graf G155;1
Aardewerk pot uit graf G157;1
Aardewerk pot uit graf G159;1
Aardewerk pot uit graf G162;1
Aardewerk pot uit graf G174;1
Aardewerk pot uit graf G178;1
Aardewerk pot uit graf G179;1
Aardewerk pot uit graf G179_II_2;1
Aardewerk pot uit graf G181;1
Aardewerk pot uit graf G185;1
Aardewerk pot uit graf G190;1
Aardewerk pot uit graf G191;1
Aardewerk pot uit graf G193;1
Aardewerk pot uit graf G205;1
Aardewerk pot uit graf G208;1
Aardewerk pot uit graf G212;1
Aardewerk pot uit graf G214;1
Aardewerk pot uit graf G215;1
Aardewerk pot uit graf G216;1
Aardewerk pot uit graf G217;1
Aardewerk pot uit graf G218;1
Aardewerk pot uit graf G219;1
Aardewerk pot uit graf G225;1
Aardewerk pot uit graf G227;1
Aardewerk pot uit graf G228;1
Aardewerk pot uit graf G230;1
Aardewerk pot uit graf G231;1
Aardewerk pot uit graf G233;1
Aardewerk pot uit graf G238;1
Aardewerk pot uit graf G239;1
Aardewerk pot uit graf G259;1
Aardewerk pot uit graf LV9;1
Aardewerk pot uit graf P723;1
Aardewerk pot uit graf vondstnr-04;1
Aardewerk pot uit graf vondstnr-10;1
Achter op de foto: R.H. Herwig, Heideweg 41, Soest;1
Achterop het karton staat geschreven: Foto behoort bij brief No. 8694;1
