;883
2020-01-31 11:55:55.800632;2180
2020-01-31 11:58:06.629256;199
2020-02-03 16:51:01.126747;1
2020-02-03 16:51:32.069417;1
2020-02-03 16:51:59.57763;1
2020-02-04 14:09:55.943485;1
2020-02-04 14:10:14.306327;1
2020-02-04 14:10:22.666466;1
2020-02-04 14:10:30.963599;1
2020-02-04 14:10:39.537978;1
2020-02-04 14:10:48.090704;1
2020-02-04 14:10:56.648861;1
2020-02-04 14:11:06.274671;1
2020-02-04 14:11:20.074589;1
2020-02-04 15:39:14.148799;1
2020-02-04 15:39:21.792663;1
2020-02-04 15:39:29.220872;1
2020-02-04 15:39:36.268566;1
2020-02-04 15:39:45.250588;1
2020-02-04 15:39:53.076428;1
2020-02-18 17:18:57.867998;1
2020-02-22 15:58:19.666302;1
2020-02-22 16:00:31.102258;1
2020-02-22 16:01:05.489368;1
2020-02-22 16:01:47.918312;1
2020-02-22 16:02:03.752267;1
2020-02-22 16:02:21.178961;1
2020-02-22 16:02:36.386394;1
2020-02-22 16:02:53.50839;1
2020-03-10 12:44:32.57159;1
2020-03-10 15:16:05.03684;1
2020-03-20 12:43:12.687913;2
2020-03-20 13:00:04.018328;2
2020-03-20 16:16:17.044892;2
2020-03-20 16:22:47.250477;2
2020-03-27 10:48:32.145007;2
2020-03-27 10:59:24.683049;2
2020-03-27 11:13:47.582906;2
2020-03-27 11:17:53.816294;3
2020-03-27 11:20:11.994163;3
2020-03-27 11:22:53.930257;3
2020-03-27 11:26:09.431773;2
2020-03-27 11:29:51.657825;1
2020-03-27 11:35:12.017502;2
2020-03-27 11:38:07.546184;2
2020-03-27 11:40:33.202711;2
2020-03-27 11:55:14.172409;2
2020-03-27 13:38:40.447589;1
2020-03-27 13:39:56.183495;1
2020-03-27 14:21:15.444664;2
2020-03-27 14:24:28.41625;2
2020-03-27 14:26:47.894459;2
2020-03-27 14:39:36.189357;2
2020-03-27 14:42:03.722703;2
2020-03-27 14:50:26.770026;2
2020-03-27 14:51:56.217128;2
2020-03-27 14:53:24.773055;2
2020-03-27 14:58:14.115214;2
2020-03-27 15:01:20.964734;2
2020-03-27 15:03:48.379166;2
2020-03-27 15:05:19.765022;2
2020-03-27 15:06:34.167225;2
2020-03-27 15:08:22.276614;2
2020-03-27 15:15:22.705019;2
2020-03-27 15:17:54.550448;2
2020-03-27 15:23:43.507467;2
2020-03-27 15:24:23.499813;2
2020-03-27 15:26:10.373101;2
2020-03-27 15:31:44.915106;2
2020-03-27 15:35:38.990161;2
2020-03-27 15:45:08.257644;3
2020-03-27 15:46:06.884675;3
2020-03-27 15:49:37.010053;2
2020-03-27 15:50:52.246756;2
2020-03-27 15:54:52.288185;2
2020-03-27 16:02:37.402182;2
2020-03-27 16:05:31.609314;2
2020-03-27 16:10:44.820139;2
2020-03-27 16:16:36.637997;2
2020-03-27 16:30:58.646456;2
2020-03-27 16:36:34.066352;1
2020-03-27 16:39:51.50614;2
2020-03-27 16:41:47.43661;2
2020-03-27 16:42:56.999913;2
2020-03-27 16:44:45.11822;2
2020-03-27 16:46:01.393182;2
2020-03-27 16:50:04.496389;2
2020-03-27 16:51:23.698583;2
2020-03-27 16:51:55.373157;2
2020-03-27 16:54:55.460812;2
2020-03-27 16:55:52.574711;2
2020-03-27 16:56:54.274662;2
2020-03-27 16:57:46.381896;2
2020-03-27 16:58:36.635324;2
2020-03-27 17:00:13.270684;2
2020-03-27 17:02:34.311887;2
2020-03-27 17:26:13.758032;2
2020-03-27 17:28:10.176725;3
2020-03-27 17:29:39.948512;2
2020-03-27 17:32:18.821648;3
2020-03-27 17:34:11.137076;3
2020-03-27 17:36:13.841829;4
2020-03-27 17:37:29.361338;3
2020-03-27 17:38:40.308684;3
2020-03-27 17:39:51.002131;3
2020-03-27 17:59:30.45204;3
2020-03-27 18:02:42.119508;2
2020-03-27 18:04:24.981928;3
2020-03-27 18:10:27.143643;2
2020-03-27 18:13:41.255883;2
2020-03-27 18:17:37.241288;2
2020-03-27 18:24:45.028951;2
2020-03-27 18:29:10.041313;2
2020-03-27 18:33:20.27425;2
2020-04-03 14:18:59.162964;2
2020-04-20 10:22:42.06035;1
2020-04-23 12:34:05.512078;1
2020-04-23 15:15:31.984957;1
2020-04-23 15:16:06.511571;1
2020-04-24 18:10:47.644153;1
2020-04-24 18:12:05.87971;1
2020-04-26 19:56:50.376886;1
2020-04-27 12:30:54.90351;1
2020-04-27 12:46:11.735775;1
2020-04-28 14:44:08.130242;2
2020-04-28 15:33:24.487332;1
2020-04-29 12:26:47.763396;1
2020-04-29 15:46:31.555314;2
2020-04-29 15:59:26.311613;1
2020-04-29 16:06:05.632582;1
2020-04-29 16:18:59.019746;1
2020-04-29 16:34:48.195192;2
2020-05-01 12:21:40.277092;1
2020-05-06 15:58:50.162054;2
2020-05-06 15:59:34.722462;2
2020-05-06 15:59:49.797906;2
2020-05-06 16:00:08.436001;2
2020-05-06 16:01:02.862732;2
2020-05-06 16:01:53.894084;2
2020-05-06 16:02:10.654132;2
2020-05-06 16:02:37.026597;2
2020-05-06 16:02:52.221001;2
2020-05-06 16:03:07.221389;2
2020-05-06 16:03:38.706743;2
2020-05-06 16:04:11.352037;2
2020-05-06 16:05:44.909304;2
2020-05-06 16:06:01.321662;2
2020-05-06 16:06:15.434713;2
2020-05-06 16:06:28.229849;2
2020-05-06 16:06:43.504907;2
2020-05-06 16:10:04.78932;2
2020-05-06 16:11:32.761147;2
2020-05-06 16:11:58.762;2
2020-05-06 16:12:16.147557;2
2020-05-06 16:12:45.703767;2
2020-05-06 16:13:05.544353;2
2020-05-06 16:13:21.184726;2
2020-05-06 16:13:39.44694;2
2020-05-06 16:13:56.969929;2
2020-05-06 16:14:18.203761;2
2020-05-06 16:14:36.221692;2
2020-05-06 16:15:09.139845;2
2020-05-06 16:16:19.156758;2
2020-05-06 16:16:29.120118;2
2020-05-06 16:17:34.382624;1
2020-05-06 16:18:03.966216;1
2020-05-06 16:18:33.017258;1
2020-05-06 16:19:03.04128;1
2020-05-06 16:19:18.550381;1
2020-05-06 16:20:25.688523;1
2020-05-06 16:20:42.173607;1
2020-05-06 16:21:02.549289;1
2020-05-06 16:21:16.367968;1
2020-05-06 16:21:50.644848;1
2020-05-06 16:22:11.879232;1
2020-05-06 16:22:28.3733;1
2020-05-06 16:22:48.030523;1
2020-05-06 16:23:36.139368;1
2020-05-06 16:24:58.701898;1
2020-05-06 16:26:16.178922;1
2020-05-06 16:42:01.154772;1
2020-05-06 16:42:47.186585;1
2020-05-06 16:44:05.859084;1
2020-05-06 16:44:19.782917;1
2020-05-06 16:44:31.267332;1
2020-05-06 16:44:44.410059;1
2020-05-06 16:45:51.028347;1
2020-05-06 16:51:15.914597;1
2020-05-06 16:51:31.830739;1
2020-05-06 16:52:09.004836;1
2020-05-06 16:57:21.673744;1
2020-05-06 16:58:02.7304;1
2020-05-06 17:00:00.108188;1
2020-05-06 17:00:22.856409;1
2020-05-06 17:00:54.081675;1
2020-05-06 17:01:09.671104;1
2020-05-06 17:01:59.134895;1
2020-05-06 17:03:32.095434;1
2020-05-06 17:05:07.7645;1
2020-05-06 17:07:21.782856;1
2020-05-06 17:07:51.398115;1
2020-05-06 17:08:10.332753;1
2020-05-06 17:08:22.914899;1
2020-05-06 17:08:36.44125;1
2020-05-06 17:09:18.420495;1
2020-05-06 17:11:21.266612;1
2020-05-06 17:13:10.014655;1
2020-05-06 17:13:28.117398;1
2020-05-06 17:18:22.982646;1
2020-05-06 17:18:57.191745;1
2020-05-06 17:19:27.657193;1
2020-05-06 17:20:16.471762;1
2020-05-06 17:20:34.086986;1
2020-05-06 17:20:53.450199;1
2020-05-06 17:21:38.371299;1
2020-05-06 17:22:14.539017;1
2020-05-06 17:22:56.590545;1
2020-05-06 17:24:08.152779;1
2020-05-06 17:24:29.938979;1
2020-05-06 17:24:48.467062;1
2020-05-06 17:25:12.285961;1
2020-05-06 17:25:47.089341;1
2020-05-06 17:30:26.109912;1
2020-05-06 17:30:48.606413;1
2020-05-06 17:32:24.561892;1
2020-05-06 17:32:44.06558;1
2020-05-06 17:34:11.006536;1
2020-05-06 17:34:27.206016;1
2020-05-06 17:34:44.383108;1
2020-05-06 17:35:43.279126;1
2020-05-06 17:37:50.195724;1
2020-05-06 17:38:54.662864;1
2020-05-06 17:39:43.672904;1
2020-05-06 17:40:08.004899;1
2020-05-06 17:40:45.015402;1
2020-05-06 17:40:58.010331;1
2020-05-06 17:41:15.918475;1
2020-05-06 17:41:54.32242;1
2020-05-06 17:45:11.611951;1
2020-05-06 17:45:43.873619;1
2020-05-06 17:46:25.415257;1
2020-05-06 17:47:29.215067;1
2020-05-06 17:47:54.613046;1
2020-05-06 17:49:18.702545;1
2020-05-06 17:49:42.197539;1
2020-05-06 17:49:59.53946;1
2020-05-06 17:51:25.887559;1
2020-05-06 17:51:44.245283;1
2020-05-12 11:54:52.31743;1
2020-05-12 11:56:21.302781;1
2020-05-12 16:16:49.990435;1
2020-05-13 14:51:36.966948;1
2020-05-13 16:57:46.994226;1
2020-05-13 16:58:36.200257;1
2020-05-25 12:58:44.993224;1
2020-05-27 16:15:50.553776;1
2020-05-27 16:29:37.218644;1
2020-05-27 16:38:21.579586;1
2020-05-30 15:55:26.966297;1
2020-06-01 14:31:00.324371;1
2020-06-03 11:33:58.251448;1
2020-06-03 11:34:42.673712;1
2020-06-04 17:11:49.21376;1
2020-06-09 17:06:35.030324;1
2020-06-09 17:07:26.682824;1
2020-06-11 11:34:19.272712;1
2020-06-11 11:35:02.060074;1
2020-06-30 09:23:14.535144;1
2020-07-01 14:02:35.001705;1
2020-07-10 17:13:49.510064;1
2020-07-11 18:11:40.187722;1
2020-07-15 11:12:20.152115;1
2020-07-25 14:56:30.729458;1
2020-07-30 14:14:30.157686;1
2020-08-04 12:29:11.789707;1
2020-08-18 12:16:21.125922;1
2020-08-20 12:03:39.12652;1
2020-08-20 12:35:08.527145;1
2020-08-21 15:41:49.095963;1
2020-08-24 11:32:18.339431;1
2020-08-24 11:55:42.748188;1
2020-09-01 16:54:02.886456;1
2020-09-01 16:54:26.377579;1
2020-09-14 15:39:05.892626;1
2020-09-15 12:52:36.348267;1
2020-09-15 12:52:59.332316;1
2020-09-15 12:53:12.743151;1
2020-09-15 12:53:32.864541;1
2020-09-15 12:53:45.951229;1
2020-09-15 12:53:55.630647;1
2020-09-15 12:54:04.434766;1
2020-09-15 12:54:26.326751;1
2020-09-15 12:54:35.696923;1
2020-09-15 12:54:55.551629;1
2020-09-16 12:26:03.632257;1
2020-09-16 12:26:36.820058;1
2020-09-16 12:30:46.144009;1
2020-09-16 12:32:15.560094;1
2020-10-07 11:31:01.923276;3
2020-10-12 14:54:42.510289;1
2020-10-14 10:51:09.344396;1
2020-10-14 11:05:10.332744;1
2020-11-04 15:58:31.62026;1
2020-11-04 15:59:08.468742;1
2020-11-09 09:39:06.564787;1
2020-11-10 14:08:03.836292;1
2020-11-10 14:08:32.844646;1
2020-11-10 14:09:12.942;1
2020-11-10 14:23:15.58533;1
2020-11-11 08:14:06.858924;1
2020-11-11 09:18:36.936625;1
2020-11-11 14:33:46.08883;1
2020-11-11 14:37:25.424858;1
2020-11-11 14:37:57.441656;1
2020-11-18 13:21:58.993419;1
2020-11-28 17:14:43.994492;1
2020-12-01 17:39:55.020568;1
2020-12-02 09:41:49.441958;1
2020-12-02 09:43:10.760441;1
2020-12-03 14:45:04.317166;1
2020-12-03 16:09:04.148459;1
2020-12-03 16:10:00.973622;1
2020-12-05 14:17:13.034202;1
2020-12-06 14:39:01.485065;1
2020-12-06 15:30:44.606002;1
2020-12-07 09:51:23.603139;1
2020-12-12 14:38:12.654953;1
2020-12-12 14:39:47.27918;1
2020-12-13 16:56:07.614271;2
2020-12-14 15:12:27.536703;1
2020-12-14 17:25:04.30218;1
2020-12-14 17:29:08.952511;1
2020-12-14 17:30:31.524216;1
2020-12-14 17:31:49.295302;1
2020-12-15 15:57:15.509801;1
2020-12-15 15:57:34.10229;1
2020-12-15 16:08:48.015073;1
2020-12-15 16:09:06.879201;1
2020-12-16 10:01:38.605524;1
2020-12-16 10:02:46.98284;1
2020-12-16 10:04:11.047628;1
2020-12-16 10:11:06.389447;1
2020-12-16 10:12:22.860787;1
2020-12-16 10:12:42.646154;1
2020-12-16 14:43:35.475224;1
2020-12-16 14:55:20.388536;1
2020-12-16 16:27:56.627399;1
2020-12-17 16:25:23.408274;1
2020-12-18 15:36:31.209088;1
2020-12-19 12:36:27.436111;1
2020-12-20 11:47:03.95276;1
2020-12-22 17:15:34.289206;1
2020-12-25 15:21:54.413152;1
2020-12-25 15:22:55.801305;1
2020-12-25 15:23:23.67928;1
2020-12-25 15:23:51.813769;1
2020-12-25 15:25:42.016973;1
2020-12-25 15:26:05.787708;1
2020-12-25 15:36:08.903798;1
2020-12-25 15:36:45.05421;1
2020-12-25 15:37:40.608307;1
2020-12-25 15:41:18.317708;1
2020-12-25 15:41:28.955166;1
2020-12-25 15:41:38.690664;1
2020-12-25 15:41:53.359493;1
2020-12-25 15:42:00.681298;1
2020-12-25 15:47:20.474307;1
2020-12-25 15:47:39.466245;1
2020-12-26 15:20:32.887784;1
2020-12-26 15:20:50.999797;1
2020-12-26 15:21:10.228628;1
2020-12-26 15:21:29.92387;1
2020-12-26 15:21:50.716397;1
2020-12-26 15:25:03.072895;1
2020-12-26 15:26:56.122648;1
2020-12-26 15:27:36.432714;1
2020-12-26 15:28:09.34438;1
2020-12-26 15:29:21.442592;1
2020-12-26 15:29:50.523125;1
2020-12-26 15:30:31.133828;1
2020-12-26 15:31:04.079604;1
2020-12-26 15:31:31.395084;1
2020-12-26 15:32:07.805006;1
2020-12-26 15:32:56.045955;1
2020-12-26 15:33:34.662273;1
2020-12-27 12:13:10.988168;1
2020-12-27 12:14:13.506128;1
2020-12-27 12:14:31.746248;1
2020-12-27 12:14:48.984166;1
2020-12-27 15:06:18.975079;1
2020-12-27 15:07:50.584317;1
2020-12-28 12:08:46.159101;1
2020-12-28 12:09:09.329103;1
2020-12-28 14:39:04.151124;1
2020-12-28 14:40:28.370676;1
2020-12-28 14:41:10.337186;1
2020-12-28 16:43:40.652951;1
2020-12-28 16:44:18.291029;1
2020-12-28 16:45:56.454915;1
2020-12-28 16:46:30.225264;1
2020-12-28 16:48:08.023897;1
2020-12-31 11:43:00.512221;1
2020-12-31 12:52:00.944402;1
2020-12-31 12:53:43.135795;1
2020-12-31 12:54:27.82791;1
2020-12-31 13:01:17.453293;1
2020-12-31 13:01:32.998484;1
2020-12-31 13:02:20.511274;1
2020-12-31 13:04:03.061984;1
2020-12-31 13:10:19.172243;1
2020-12-31 13:14:24.86614;1
2020-12-31 15:21:11.138448;1
2020-12-31 15:24:43.940571;1
2021-01-04 15:37:13.148908;1
2021-01-04 15:39:36.891374;1
2021-01-04 16:18:02.45143;1
2021-01-04 17:17:19.652671;1
2021-01-04 17:18:19.819096;1
2021-01-04 17:18:44.880714;1
2021-01-04 17:35:41.827966;1
2021-01-04 17:36:52.515776;1
2021-01-04 17:53:42.387129;1
2021-01-04 17:54:49.009271;1
2021-01-05 14:14:03.937001;1
2021-01-11 08:28:38.188455;1
2021-01-11 08:29:01.524843;1
2021-02-05 12:41:39.545573;1
2021-02-06 11:20:32.935912;1
2021-02-06 15:21:52.287998;1
2021-02-07 19:13:19.402343;1
2021-02-07 19:17:10.85036;1
2021-02-07 19:17:53.391733;1
2021-02-07 19:18:04.621466;1
2021-02-07 19:18:19.214558;1
2021-02-07 19:18:29.906082;1
2021-03-29 12:27:32.147747;1
2021-03-29 12:27:53.493588;1
2021-04-30 16:19:25.355866;1
2021-04-30 16:33:31.626979;1
2021-05-06 14:50:18.038257;1
2021-05-13 13:32:02.174353;1
2021-05-13 13:32:21.965823;1
2021-05-13 13:32:39.878983;1
2021-05-13 13:33:00.383882;1
2021-05-13 13:33:19.074078;1
2021-05-20 14:19:25.537961;1
2021-05-20 14:19:44.007888;1
2021-05-31 13:13:58.335192;1
2021-06-07 14:22:47.837355;1
2021-06-16 16:06:02.572394;1
2021-06-25 16:07:06.133466;1
2021-07-05 11:02:05.698251;1
2021-07-14 12:29:49.745192;1
2021-07-24 12:16:47.912898;1
2021-08-03 16:40:50.270319;1
2021-08-03 16:42:40.672697;1
2021-09-29 16:22:54.842428;1
2021-10-11 15:34:24.506022;1
2021-10-25 10:14:39.453328;1
2021-10-27 16:36:00.101476;1
2021-11-26 12:23:51.533151;1
2021-11-26 12:24:08.830695;1
2021-11-26 12:24:23.700384;1
2021-12-06 12:05:23.706529;1
2021-12-06 12:16:21.559259;1
2021-12-06 14:13:13.291403;1
2021-12-06 16:59:31.5168;1
2021-12-06 17:28:25.25555;1
2021-12-09 11:35:28.543562;1
2021-12-09 11:35:43.67156;1
2021-12-09 11:36:09.899716;1
2021-12-17 10:01:35.53884;1
2021-12-17 13:49:51.842047;1
2021-12-23 10:50:56.070056;1
2022-01-24 17:04:53.399641;1
2022-01-26 17:30:04.252607;1
2022-01-26 17:30:15.559246;1
2022-01-26 17:30:27.069968;1
2022-01-26 17:30:39.721419;1
2022-01-26 17:33:14.796695;1
2022-01-27 09:56:05.206735;1
2022-01-29 17:29:52.47734;1
2022-01-31 10:50:38.93639;1
2022-01-31 12:37:52.916542;1
2022-02-02 18:02:41.831567;1
2022-02-03 11:23:50.196075;1
2022-02-11 15:16:18.227732;1
2022-02-20 11:56:04.551273;2
2022-02-20 13:04:02.075704;2
2022-02-20 13:04:54.955268;2
2022-02-20 13:06:03.073732;2
2022-02-22 14:41:10.759353;1
2022-03-03 15:49:57.705761;2
2022-03-16 09:20:13.687461;1
2022-04-22 10:19:45.597083;1
2022-05-19 12:37:17.977895;1
2022-05-19 20:24:08.504907;1
2022-05-23 15:55:43.803143;1
2022-05-23 15:57:12.093903;1
2022-05-26 14:26:20.260874;1
2022-06-03 13:51:33.350305;1
2022-06-05 16:49:21.075481;1
2022-06-05 16:50:01.414473;1
2022-06-07 18:30:30.665137;1
2022-06-08 12:15:13.979831;1
2022-06-09 11:59:35.642866;1
2022-06-14 14:29:31.43109;1
2022-06-14 14:30:49.049523;1
2022-06-21 17:30:03.253173;1
2022-06-21 17:37:36.462054;1
2022-06-21 17:39:15.606337;1
2022-06-21 17:39:32.834595;1
2022-06-22 12:12:35.561427;1
2022-07-01 14:36:39.432472;1
2022-07-03 11:02:53.492169;1
2022-07-03 11:03:09.753067;1
2022-07-03 11:52:20.015058;1
2022-07-03 11:52:36.312358;1
2022-07-03 11:52:49.546131;1
2022-07-03 11:52:55.912507;1
2022-07-03 11:53:10.930312;1
2022-07-03 11:53:17.441578;1
2022-07-03 11:53:29.531898;1
2022-07-03 11:53:35.755021;1
2022-07-03 11:53:48.823412;1
2022-07-03 11:54:03.169227;1
2022-07-03 11:54:09.787999;1
2022-07-03 11:54:16.327551;1
