;549
10032874;1
101262134;1
101610182;1
10283452;3
10283460;133
102956472;1
103930426;1
104517150;1
10473656;1
105097632;1
105286412;1
105870092;1
105931368;1
106498912;1
106515952;1
106648426;1
106755676;1
106817024;1
107006288;1
107063788;1
107088724;1
107206492;1
107409424;1
107911676;1
108286496;1
108529056;1
108706586;1
108818980;1
109224768;1
109283244;1
109437754;1
10946204;1
110598544;1
111086570;1
111106434;1
111526088;1
111752644;1
111943196;1
112138562;1
112272962;1
112773296;1
112997402;1
113130802;1
113913976;1
114148894;1
114382492;1
114391104;1
114781182;1
115222660;1
115285076;1
115856978;1
116014980;1
11653936;1
11665976;1
116786356;1
117453488;1
117872398;1
117885588;1
118250022;1
11878604;1
119396382;1
119522352;1
119899346;1
120265638;1
121090624;1
121102966;1
122511608;1
122621208;1
123325966;1
124017918;1
12548440;1
125814394;1
126874432;1
12794762;1
128400082;1
128847464;1
129089482;1
129840412;1
131218938;1
131530342;1
133231244;1
134530750;1
13461224;1
1352236;1
135239284;1
13596220;1
136056996;1
136707914;1
139110868;1
139277486;1
140626850;1
141411762;1
141443180;1
142211150;1
14284070;1
143005290;1
14403508;1
14404036;1
145201020;1
145574496;1
14571852;1
146972904;1
14744492;1
148330394;1
14956064;1
15330736;1
15594520;1
15823760;1
16052524;1
160578160;1
16182390;1
16186870;1
162378988;1
163764494;1
16383182;1
16383852;1
1650188;1
165130626;1
165572418;1
16690644;1
16844800;1
16968046;1
171627754;1
175039784;1
17505554;1
175494588;1
177444444;1
177594598;1
178635002;1
178983922;1
179990062;1
18087476;1
181889694;1
182675890;1
182896252;1
183018988;1
18441912;1
184823702;1
185658124;1
185904098;1
18594624;1
186600164;1
1869644;1
189170060;1
189241268;1
189417816;1
18948522;1
189506436;1
189752182;1
190161574;1
190629972;1
190670988;1
191071078;1
191325064;1
191547670;1
193161252;1
193749370;1
194047400;1
194489060;1
195134730;1
197286518;1
198984214;1
199947768;1
2009304;2
201724320;1
202592570;1
202768226;1
203611532;1
203677894;1
203939010;1
204677234;1
204983406;1
20626208;1
20626538;2
206293404;1
206319978;1
206951756;1
207098640;1
207149348;1
207268692;1
207508836;1
207670306;1
208118648;1
208243072;1
208280848;1
208629516;1
209999840;1
210030132;1
210111752;1
210996774;1
211377240;1
211457110;1
212460846;1
212491036;1
212562892;1
213035488;1
213921090;1
214012640;1
214030274;1
214187766;1
214437710;1
21621564;1
216314652;1
21738374;1
217918542;1
218295136;1
218355994;1
21841492;1
218497290;1
218940280;1
21926776;1
219839728;1
220027196;1
220958438;1
22195308;1
