;1301
100507;1
100779;3
101385;2
103480;1
103869;1
106130;2
106131;5
106134;4
106137;4
106176;8
106177;1
106413;3
10646;4
106897;3
106898;2
107027;2
107136;2
107200;1
107480;2
107800;95
107838;6
108743;20
108746;3
108868;1
111407;1
111422;1
112211;2
113951;1
113954;9
115318;1
116294;15
116591;2
116691;3
116740;1
117181;1
117198;1
118404;1
118848;1
122700;14
123329;2
124565;1
12473;1
125792;2
126817;4
12687;1
128877;1
130529;3
131672;1
132403;2
133664;4
134428;1
134691;1
135457;2
138259;2
139342;2
147905;1
147907;1
150770;3
150955;1
151754;1
152214;2
152271;3
152421;1
152510;3
152798;8
152815;1
152875;16
159031;3
1594;1
160100;1
161016;1
161626;1
161843;2
165137;1
166677;1
167346;1
167870;1
168947;2
169092;1
169334;1
169784;2
171030;1
172164;1
174644;5
17470;3
175484;8
176656;8
177478;2
180796;1
18255;3
18276;1
18281;1
186419;2
18674;14
18782;10
187928;1
188229;1
188413;1
188791;1
188826;1
189323;1
189587;2
191145;1
191685;1
192562;3
19369;1
193721;1
194194;1
196439;1
19841;1
201941;2
202101;6
202109;1
202866;1
202906;2
204445;1
208028;1
209920;2
209921;1
210331;1
211381;1
212409;1
212637;1
213994;2
21707;1
22212;1
226272;2
227312;8
228035;1
228902;1
231200;6
234613;11
235403;1
236144;2
236902;1
23977;1
242037;10
243260;5
2451;1
246080;1
246487;2
246800;1
247185;2
247202;1
247207;1
247247;3
247275;1
247327;1
247746;69
248621;1
24879;1
249845;1
250440;1
250865;1
251005;4
251167;1
252030;1
252087;1
252999;1
254961;1
255735;1
255829-2;3
255847;1
25597;1
256296;1
2563;1
256675;1
257019;2
257041;1
257063;41
257084;1
257776;1
25825;1
258401;2
258890;3
259025;1
259032;4
259090;1
259650;13
259678;4
260054;1
260176;2
260706;2
261013;1
261403;4
261898;1
262082;1
262242;2
262506;2
262520;2
262560;3
262579;1
262595;40
262602;1
262613;2
262631;1
262641;1
262654;1
263271;11
263482;1
263599;1
263779;5
263834;1
263915;1
263954;2
263993;1
264036;8
264051;1
264069;2
264078;1
264081;1
264091;2
264095;3
264110;3
264274;1
264277;1
264328;2
264332;1
264725;1
265725;1
266080;3
266083;4
266097;1
266191;1
266233;1
266266;1
266269;2
266270;1
266271;2
266287;1
266293;1
266309;3
266312;34
266317;1
266322;1
266489;3
266846;10
266848;2
266885;1
266949;1
266956;18
266972;1
267014;1
267028;4
267141;1
267339;3
267488;13
267499;1
267514;2
267519;1
267520;1
267523;2
267586;2
267592;2
267606;1
267675;1
268152;4
268181;2
26827;1
2684;1
270138;2
270335;2
270888;7
270968;1
270976;1
270985;1
270992;1
271004;3
271006;1
271021;1
271030;1
271105;1
271142;2
271199;1
271473;2
271499;1
271545;2
271547;1
271641;1
271659;1
271671;1
271718;1
271781;1
271838;3
271854;1
271859;1
272128;2
272153;3
272166;3
273057;2
273205;1
273244;1
273858;1
274846;42
275094;3
275309;3
275384;3
275515;3
276041;1
276259;1
276710;1
276920;1
279362;1
279421;2
279422;1
279451;1
279459;1
279461;2
279485;8
279490;1
279493;1
279500;2
279687;5
28059;2
280676;2
281019;2
281742;3
281799;2
282490;3
282544;1
283779;1
283890;1
283896;2
284209;21
284338;2
284352;1
284415;2
285848;6
286007;1
286132;1
286226;1
286282;5
286343;1
286349;1
286451;1
286476;6
286523;1
286548;1
286622;1
286673;3
286745;2
286781;1
286841;3
286918;1
288368;1
288474;1
288900;5
288905;1
289372;2
289375;6
289924;1
290900;1
290902;1
290903;1
290905;7
29246;2
292825;1
293;1
295367;1
305220;1
307698;1
308993;1
31248;2
315640;3
317259;1
317474;1
32324;1
327188;1
32922;3
32949;1
329562;1
332348;1
332835;1
334937;4
337459;2
337657;3
338945;2
340573;1
341779;1
343330;1
344060;1
345183;1
345295;1
34643;1
346781;1
347822;2
347861;1
348030;3
348232;1
348475;1
348494;4
350096;3
350203;1
350386;1
35061;1
357246;3
36071;1
361382;4
365;1
375069;1
375073;4
375074;4
375085;1
375087;1
375088;1
375089;1
375091;1
375094;1
375095;1
375096;1
375103;1
375104;1
375112;1
375113;2
375117;1
375118;1
375119;1
375120;1
375121;1
375122;1
375123;1
375124;1
375125;1
375126;1
375128;1
375129;1
375130;1
375134;2
375136;1
375142;1
375143;1
375146;1
375147;1
375150;1
375151;5
375158;1
375159;1
375160;1
375161;1
375162;1
375163;1
375165;1
375167;1
375168;1
375169;2
375185;2
375188;7
375199;1
375200;1
375201;1
375202;1
375203;1
375205;3
375206;2
375209;1
375212;1
375213;1
375214;1
375215;5
375216;1
375219;1
375220;1
375221;1
375222;1
375223;1
375225;1
375226;1
375231;1
375232;1
375233;1
375234;1
375235;1
375236;1
375237;1
375240;1
375246;1
375247;1
375253;1
375254;1
375255;1
375259;1
375260;1
375261;1
375262;1
375264;1
375265;1
375266;1
375267;1
375268;1
375272;1
375274;1
375279;1
375284;1
375285;1
375290;1
375294;1
375305;1
375309;1
375310;1
375311;1
375312;1
375313;1
375314;1
375315;1
375316;1
375317;1
375318;1
375319;1
375322;1
375325;1
375326;1
375331;1
375337;1
375341;1
375344;1
375363;1
375364;1
375367;1
375368;1
375369;1
375372;1
375374;1
375375;1
375376;2
375378;1
375379;1
375380;1
375382;1
375384;1
375387;1
375389;1
375390;1
375391;1
375392;1
375393;3
375395;4
375397;1
375398;1
375399;1
375400;1
375402;1
375403;1
375407;1
375412;1
375414;1
375422;1
375423;1
375425;1
375426;3
375431;1
375433;1
375442;1
375443;1
375444;1
375445;1
375446;1
375447;1
375449;1
375450;1
375452;1
375453;1
375455;1
375456;1
375457;1
375458;1
375459;2
375461;1
375462;1
375463;1
375469;1
375472;1
375473;1
375474;1
375475;1
375476;1
375477;1
375478;1
375479;1
375480;1
375481;1
375482;1
375483;1
375484;1
375487;1
375491;1
375492;1
375494;1
375495;1
375499;1
375500;1
375501;1
375502;1
375503;1
375504;1
375506;1
375507;1
375509;1
375510;1
375514;1
375516;1
375517;1
375519;1
375521;1
375525;1
375526;1
375527;1
375528;1
375529;1
375533;1
375534;1
375535;1
375536;1
375539;1
375541;1
375542;1
375543;1
375544;1
375546;1
375550;1
375551;1
375552;1
375554;1
375555;1
375557;1
375558;1
375562;1
375563;1
375570;1
375579;1
375580;1
375583;1
375584;1
375585;1
375586;1
375587;1
375588;1
375590;1
375591;1
375592;1
375598;1
375599;1
375600;1
375601;1
375603;1
375604;1
375605;1
375606;1
375607;1
375608;1
375609;1
375610;1
375611;1
375612;1
375613;1
375614;1
375615;1
375616;1
375619;1
375623;1
375628;1
375632;1
375633;1
375634;1
375635;1
375636;1
375637;1
375638;1
375639;1
375640;1
375641;1
375642;1
375649;1
375654;1
375656;1
375657;1
375658;1
375659;1
375660;1
375661;1
375662;1
375663;1
375664;1
375665;1
375666;1
375667;1
375668;1
375669;1
375671;1
375673;1
375674;1
375675;1
375676;1
375677;1
375679;1
375680;1
375681;1
375682;1
375683;1
375684;1
375687;1
375689;1
375693;1
375694;1
375695;1
375700;1
375704;1
375712;1
375713;2
375714;3
375718;1
375721;1
375722;1
375723;1
375732;1
375737;1
375738;1
375742;1
375744;1
375746;1
375749;1
375751;1
375753;1
375757;1
375758;1
375765;5
375766;1
