;2415
2015-12-17 10:56:53.237696;1
2015-12-17 10:59:18.575972;1
2015-12-17 11:03:24.891672;1
2015-12-17 11:03:33.858402;1
2015-12-17 11:03:35.88737;1
2015-12-17 11:03:59.084554;1
2015-12-17 11:04:00.654925;1
2015-12-17 11:04:22.27928;2
2015-12-17 11:04:43.742563;1
2015-12-17 11:04:44.948973;1
2015-12-17 11:05:06.102823;1
2015-12-17 11:05:13.937806;1
2015-12-17 11:05:28.563689;1
2015-12-17 11:05:41.179043;1
2015-12-17 11:05:58.007953;4
2015-12-17 11:06:05.434925;1
2015-12-17 11:06:24.18254;2
2015-12-17 11:06:46.619071;2
2015-12-17 11:06:51.364739;1
2015-12-17 11:06:53.390191;4
2015-12-17 11:06:53.739149;1
2015-12-17 11:07:01.526532;1
2015-12-17 11:07:04.005726;1
2015-12-17 11:07:05.143879;1
2015-12-17 11:07:22.786405;1
2015-12-17 11:07:30.752392;1
2015-12-17 11:08:04.916547;3
2015-12-17 11:08:05.849719;1
2015-12-17 11:08:07.196854;1
2015-12-17 11:08:08.480381;1
2015-12-17 11:08:08.538253;1
2015-12-17 11:08:34.548086;1
2015-12-17 11:08:37.620704;2
2015-12-17 11:08:41.4964;1
2015-12-17 11:08:48.887626;1
2015-12-17 11:08:56.812178;2
2015-12-17 11:09:15.093836;1
2015-12-17 11:09:17.808542;1
2015-12-17 11:09:24.47038;1
2015-12-17 11:09:30.384462;1
2015-12-17 11:09:45.085596;1
2015-12-17 11:09:49.275039;2
2015-12-17 11:10:21.803241;1
2015-12-17 11:10:32.129601;1
2015-12-17 11:11:10.716809;1
2015-12-17 11:12:24.377245;1
2015-12-17 11:15:22.617774;1
2015-12-17 11:15:46.732529;1
2015-12-17 11:16:35.033034;1
2015-12-17 11:18:45.325799;1
2015-12-17 11:41:26.967208;1
2015-12-17 11:45:11.932375;1
2015-12-17 11:46:27.956091;1
2015-12-17 11:58:37.581053;1
2015-12-17 12:04:34.110884;1
2015-12-17 12:04:49.765072;1
2015-12-17 12:10:37.022867;1
2015-12-17 12:11:38.170275;1
2015-12-17 12:16:12.630002;1
2015-12-17 12:23:27.030265;1
2015-12-17 12:39:05.928364;1
2015-12-17 12:44:18.019562;1
2015-12-17 12:54:34.672067;1
2015-12-17 13:04:40.79502;1
2015-12-17 13:08:49.811633;1
2016-05-10 14:59:50.927604;1
2016-08-10 13:43:44.78157;1
2016-10-07 14:45:18.388278;1
2017-06-16 17:57:28.376288;1
2017-06-17 18:14:32.389895;1
2018-03-07 16:01:21.685232;1
2018-07-11 15:24:11.414805;2
2018-08-07 10:11:08.933723;1
2018-09-17 19:52:16.978961;1
2019-07-24 10:00:17.202011;1
