;2844
2015-06-29 13:46:43.364664;2
2016-05-30 11:58:01.34655;1
2016-06-09 16:32:57.88914;1
2016-06-10 14:39:38.406719;1
2016-07-15 19:41:43.421787;1
2016-07-31 10:40:07.211617;1
2016-07-31 10:41:15.508935;1
2016-07-31 11:10:23.392005;1
2016-07-31 14:18:48.65786;1
2016-08-01 11:44:09.826304;1
2016-08-05 07:58:22.130644;1
2016-08-08 18:09:51.563374;1
2016-08-08 18:59:49.475143;1
2016-08-10 13:36:33.513921;1
2016-08-10 13:39:48.279581;1
2016-08-10 13:40:21.211839;1
2016-08-10 13:40:49.525707;1
2016-08-10 13:41:11.896498;1
2016-08-10 13:42:09.587579;1
2016-08-10 13:42:48.57516;1
2016-08-10 13:43:06.078453;1
2016-08-12 11:23:29.056356;1
2016-08-13 16:47:36.632675;1
2016-08-13 16:47:57.141148;1
2016-08-15 09:27:39.630517;1
2016-08-15 11:03:50.991078;1
2016-08-17 11:13:18.970153;1
2016-08-22 17:46:32.977962;1
2016-08-23 11:50:50.026268;2
2016-08-23 12:55:01.534358;1
2016-09-02 13:38:37.270234;1
2016-09-10 12:52:32.33324;1
2016-09-10 15:43:44.900714;1
2016-09-10 15:50:39.155846;1
2016-09-11 18:25:13.423702;1
2016-09-13 13:34:53.204401;1
2016-09-13 15:38:52.813453;1
2016-09-14 12:40:48.83843;1
2016-09-14 12:41:47.684364;1
2016-09-14 12:42:24.041183;1
2016-09-14 12:43:10.662132;1
2016-09-14 12:44:03.719321;1
2016-09-16 11:40:24.731576;1
2016-09-18 20:31:33.074255;1
2016-09-18 20:48:25.782099;1
2016-09-21 14:03:58.165746;1
2016-09-26 15:13:49.789824;1
2016-09-26 15:39:50.671086;1
2016-10-02 10:10:50.54551;1
2016-10-02 13:27:57.541603;2
2016-10-02 13:30:37.900236;1
2016-10-02 15:13:16.371516;1
2016-10-02 15:14:06.733847;1
2016-10-07 12:37:48.5972;1
2016-10-07 14:39:24.81594;1
2016-10-07 15:16:22.382267;1
2016-10-07 17:34:56.746937;1
2016-10-11 14:53:58.64306;1
2016-10-15 18:38:27.080106;1
2016-10-16 10:12:34.212287;1
2016-10-16 10:26:51.75557;1
2016-10-18 14:28:31.947239;1
2016-10-18 14:30:11.577967;1
2016-10-18 14:30:53.097152;1
2016-10-18 14:48:44.105854;1
2016-10-21 12:53:36.176051;1
2016-10-21 12:55:30.995216;1
2016-10-23 15:57:20.411316;1
2016-10-23 15:57:53.807441;1
2016-10-24 15:45:00.587871;1
2016-10-29 17:52:07.067022;1
2016-10-29 17:52:46.288474;1
2016-10-29 17:53:25.980733;1
2016-10-29 17:53:51.035037;1
2016-10-29 17:55:44.251301;1
2016-10-29 17:56:34.363657;1
2016-10-29 17:57:14.402866;1
2016-10-29 17:57:58.059246;1
2016-10-29 17:58:32.141545;1
2016-10-29 17:59:42.419283;1
2016-10-29 18:00:39.171172;1
2016-10-29 18:02:55.132037;1
2016-11-07 12:10:44.379216;1
2016-11-08 16:01:46.042552;1
2016-11-08 16:02:04.76008;1
2016-11-08 16:02:29.335746;1
2016-11-08 16:05:53.024101;1
2016-11-08 16:36:34.328174;2
2016-11-08 16:37:07.344947;1
2016-11-09 10:39:40.561853;1
2016-11-22 10:02:09.780714;1
2016-12-14 12:32:48.800095;1
2016-12-20 11:31:01.919125;1
2016-12-24 17:01:08.13529;1
2016-12-24 17:10:41.505204;1
2017-01-05 15:45:11.072443;1
2017-01-05 15:51:04.140912;1
2017-01-15 15:28:42.838554;1
2017-01-18 20:16:41.882893;1
2017-01-26 23:07:41.658183;1
2017-02-15 10:50:47.246472;1
2017-02-15 10:51:38.609442;1
2017-02-15 10:53:39.370532;1
2017-02-15 10:54:17.113517;1
2017-02-15 16:52:49.121584;1
2017-02-28 11:05:09.388244;1
2017-03-13 12:31:14.203527;1
2017-04-21 15:14:43.369509;1
2017-04-21 15:34:11.192829;1
2017-04-21 15:38:34.971478;1
2017-04-21 15:42:51.624635;1
2017-04-21 15:44:40.032414;1
2017-04-21 15:50:48.947946;1
2017-04-21 15:52:47.929903;1
2017-04-21 15:55:07.377129;1
2017-04-21 16:03:13.561281;1
2017-04-21 16:08:11.502088;1
2017-04-21 16:15:14.577951;1
2017-04-21 16:26:12.370705;1
2017-04-21 16:33:49.170843;1
2017-04-24 10:37:17.643591;1
2017-04-24 10:51:32.298575;1
2017-04-24 11:10:54.907963;1
2017-04-24 11:54:22.410007;1
2017-04-24 11:55:41.884738;1
2017-04-24 13:33:44.916432;1
2017-05-02 16:49:00.921447;1
2017-05-03 14:14:54.414659;1
2017-05-03 14:20:45.683906;1
2017-05-03 14:53:00.820799;1
2017-05-03 17:48:57.282007;1
2017-05-03 17:49:54.282988;1
2017-05-03 17:50:42.626106;1
2017-05-03 17:51:07.232796;1
2017-05-03 17:51:42.874587;1
2017-05-04 00:10:10.101637;1
2017-05-22 16:46:40.797029;1
2017-06-02 15:52:18.682465;1
2017-06-02 15:53:12.856398;1
2017-06-02 15:53:49.775578;1
2017-06-13 16:19:54.036716;1
2017-06-15 12:32:30.573475;1
2017-06-16 17:59:26.335185;1
2017-06-17 18:16:31.103785;1
2017-06-17 18:17:05.159741;1
2017-06-17 18:17:52.715229;1
2017-06-17 18:18:12.334726;1
2017-06-17 18:18:35.069691;1
2017-06-27 15:57:43.845278;1
2017-07-04 10:58:43.931442;1
2017-07-04 11:00:21.120444;1
2017-07-04 15:38:51.214155;1
2017-07-21 10:24:21.931439;1
2017-07-21 10:24:49.070882;1
2017-07-21 10:25:09.221693;1
2017-07-21 10:26:06.029767;1
