;4457
Gobelins;1
aanbrengertjes;1
abdijen;1
acanthus;19
ajouren;1
alkoven;1
altaren;1
ambo's;1
ankers (bevestigingsmiddel);1
aquarellen;36
architectuurtekeningen;214
architrafen (balk);1
architrafen (omlijsting);1
assen (transmissie);1
balken;8
balkons;1
balusters;2
balustraden;1
basementen;1
basilieken;2
bedrukte behangsels;15
beelden;1
beeldhouwkunst;1
beeldnissen;1
behangsels;15
bespanningen;2
betimmeringen;9
bibliotheken;2
binnenplaatsen;1
boerderijen;4
bokken (vervoer);1
boktjaskers;1
boogvelden;2
bouwhistorie;1
bovendeuren;1
bovendeurstukken;7
bovenlichten;1
brand;1
brandspuithuisjes;1
bruggen;3
buitenhuis;2
buitenplaatsen;7
cartouches;9
cassetten (plafondonderdeel);15
cassettenplafonds;3
chalets;1
consistories;1
daken;1
decoraties;1
deuren;9
doorsneden;18
dorpsgezichten;14
duinlandschappen;1
epitafen (grafmonument);1
etsen;22
evenementen;5
festoenen;12
fiets/bromfietspaden;1
fresco's;1
frontons (bouwelement);1
funderingen;11
galerijen (wandelgang);9
gangen (ruimte);1
gebinten;3
gebouwen;1
gedenkplaten;1
gemeentehuizen;3
gerechtsgebouwen;5
geschiedenis (gebeurtenis);1
geschiedschrijving;1
geschilderde behangsels;15
getijdenmolens;1
gevangenissen;11
gevels;55
gewelfschilderingen;3
gewelven;9
grachten;4
grafkelders;1
grafmonumenten;8
graftomben;3
grondzeilers;3
handelsgebouwen;3
hanebalken;1
havengezichten;1
havens;1
hekken;4
hofjes;1
hofkapellen;11
hoofdwallen;1
houtsnijwerk;7
houtzaagmolens;5
interieurverlichtingen;2
kandelaars;1
kanonnen;1
kantelen (gevelonderdeel);1
kapconstructies;8
kapellen (gebouw);14
kapellen (gebouwonderdeel);1
kapitelen;6
kappen (daken);11
kariatiden;1
kasteelruïnes;2
kastelen (versterkte woning);19
kasten (meubilair);3
kathedralen;2
kelders;9
kelken;1
kerken;151
kerkinterieurs;7
kerkorgels;4
kerktorens;15
kinderbalken;1
kisten;1
kloostergangen;1
kloosters;4
koepeldaken;2
koepelgewelven;44
koepelkerken;2
koorgestoelten;4
korenmolens;20
kozijnen;1
kraagstenen;1
kustgezichten;1
lambriseringen;11
lantaarnpalen;1
lijstwerk;14
medaillons (decoratie);3
meubilair;8
moerbalken;1
mozaïek;3
mozaïekvloeren;4
muren;1
muurschilderingen;11
oliemolens;10
ontwerp;29
ontwerptekeningen;1
ophaalbruggen;6
opstanden;1
orgels;1
paardenstallen;1
pakhuizen;1
palazzo's;3
paleizen;61
paltrokken;7
panelen (bouwelement);1
parlementsgebouwen;212
pastorieën;5
pilasters;6
plafonds;54
plafondschilderingen;1
plattegronden;69
pleinen;6
poelen;1
poldermolens;20
poorten (bouwwerk);47
poortgebouwen;7
poortjes;9
poorttorens;2
portalen;1
porte-brisée;13
portretten;1
prenten;59
profielen;8
provinciehuizen;1
putto's;22
raadhuizen;3
ramen (bouwelement);2
regeringsgebouwen;212
religieus erfgoed;1
restauratie;1
ridderhofsteden;3
ridderzalen;19
rijtuigen;7
risalieten;2
rolwerk;17
rondbogen;7
roosvensters;2
rozetten;2
ruïnes;7
schansen;3
schilderijen;2
schilderingen;46
schoolgebouwen;1
schoorsteenstukken;3
schoorstenen;1
schoten;1
schouwen (stookplaats);13
schuren (gebouw);1
schutsluizen;1
sculpturen;1
segmentbogen;1
sloop;2
sloten (afsluitingmiddel);1
sluizen;1
spaarbanken;1
spiegels;1
spinnenkoppen;12
spoorwegstations;1
spuihuizen;1
stadsgezichten;115
stadsgrachten;2
stadsmuren;2
stadspoorten;90
standbeelden;1
standerdmolens;6
stationsgebouwen;1
stellingmolens;22
stoelen;1
straatbeelden;5
straatverlichting;1
stuc;2
tafels;1
tandlijsten;3
tegels;1
tekeningen;164
terracotta;1
theaters;1
tjaskers;2
torenmolens;6
torens (bouwwerk);37
traliewerk;2
traphekken;2
trappen;4
trappenhuizen;4
traptorens;3
trekschuiten;1
tribunes;3
triglieven;1
trompe-l'oeils;8
tuinen;1
universiteiten (gebouw);1
urnen;1
uurwerken;1
vaandels;2
vazen;2
vensters;14
verbouwingen;6
verdedigingswerken;1
vergaderzalen;43
verguldingen;1
vestingen;1
vierschaar;1
vijvers;25
villa's;16
vismarkten;2
vleugeldeuren;1
vloeren;1
vloerkleden;2
vogels;2
waaggebouwen;1
waltorens;1
wandschilderingen;4
wapenschilden;3
waterpompen;1
waterpoorten;2
weeshuizen;3
windmolens;94
wipmolens;10
woonhuizen;9
zaagmolens;2
ziekenzalen;1
zolderingen;2
zuilen;5
