;3317
1593-00-00;1
1597-06-09;6
1607-00-00;16
1608-00-00;70
1610-00-00;1
1627-00-00;2
1641-02-00;1
1641-09-00;2
1654-05-00;3
1658-25-00;64
1659-00-00;1
1659-11-00;1
1676-00-00;54
1689-06-07;1
1691-12-10;121
1692-00-00;28
1692-18-18;7
1707-04-06;36
1708-06-10;1
1710-03-04;4
1712-00-00;40
1721-02-17;154
1724-11-00;2
1729-02-28;20
1731-12-26;1
1734-07-18;2
1741-06-19;11
1745-03-00;1
1747-00-00;1
1747-05-25;9
1748-07-00;2
1749-00-00;1
1750-10-30;61
1755-07-03;3
1761-05-13;1
1765-00-00;5
1775-09-16;7
1779-11-04;1
1793-04-16;27
1794-06-28;1
1809-03-02;1
1809-04-24;1
1812-07-09;84
1813-00-00;1
1814-02-25;342
1815-01-02;228
1818-02-13;2
1819-01-21;4
1827-00-00;58
1831-11-25;5
1843-06-24;1
1850-08-30;1
1855-11-24;1
1857-04-13;6
1862-00-00;1
1866-07-28;5
1871-11-12;1
1873-06-16;2
1877-04-22;1
1882-06-05;374
1883-02-10;11
1883-03-10;1
1884-01-12;3
1899-02-05;1
1901-02-14;115
1906-10-17;117
47-18-0000;4
