;1980
(gestoffeerd door) Eerelman, O.;1
A., P.J.;36
A.C.C.;2
A.M.;1
Aa, P. (Pieter) van der;1
Abrahams, A.M.;7
Alderwerelt, R.P. van;1
Allaert, P.;2
Allard, A.;8
Amand;5
Arends, J.;4
Arendzen, P.J. ?;1
Arton, A. van de;1
Arum, Gebr. van;1
Atkinson, Th.;1
Audran;1
Avelen, J.;2
Averkamp, A. van;1
B., G.;1
Backer, H.J.;15
Bagelaar, Ernst Willem Jan;7
Barbiers Bz, P.;1
Barbiers, P.;1
Bast, P.;2
Beek, A. (Anna);20
Beelaerts, W.;1
Beerstraten;4
Behr, C.J.;84
Beijer, J. de;1
Bendorp, C.F.;4
Bendorp, C.F. ?;2
Bendorp, K.;1
Bendorp, K.F.;29
Bendorp, K.F. ?;5
Bendorp, K.F.?;1
Benedictus, Wed. S;1
Benedictus, Wed. S.;6
Berge, P.V. d';1
Bergen, R.J. van;1
Berkheyde, J.;1
Besoet, J.;6
Beyer, J, (Jan) de;135
Beyer, J. de ?;5
Bienfait, H.E.;1
Bisschop, R. (Richard);1
Blaeu, J. (Joannes);7
Bleeck, J.D.;1
Bleiswijk, F.;2
Bleyswijck, F. van;2
Bleyswyck, F.;2
Bleyswyk, F. van;1
Blieck, D. (Daniel) de;1
Blocquerij, J.C. van de;1
Blois, A. de;1
Blois, R. (Reinier) de;1
Blom, P.;1
Blommers, P.;2
Boer Hzn., K. de;1
Boerbooms, J.W.;9
Bogaerts, A.J.;1
Bogerts, C. (Cornelis);5
Bohn, F.;1
Boitet, R. (Reinier);29
Boitet, R. ?;1
Bolland, A.B.;1
Bolsius, J.;1
Bommel, E.P.;1
Bonga, S. (Sjoerd);1
Borselen, P. van;2
Borssum, A. (Anthonie) van;2
Bos, Anth. van den;1
Bos, G. J.;1
Bos, G.J.;17
Bos, H.J.;1
Bosboom, J.;2
Boullats, C. (Caspar);1
Boullats, C. (Casper);2
Bouter, G.J. de;1
Boëtius van Everdingen, Caesar;1
Braak, Gebr. van den;1
Braak, van den;1
Brandhoff, J.B. (Joan Bernard);2
Brest van Kampen;2
Brest van Kempen;2
Broeck, D. van den;1
Brondgeest, A. (Albertus);1
Bronkhorst, J.;1
Brouwer, A. (Anna);1
Brouwer, A.C. (Anna);14
Brouwer, C.;7
Bruijn, S. de;1
Bruinvis, C.W.;1
Budde Hz, H.;1
Buffa en Zonen, F. (Frans);1
Bulthuis, J. (Jan);61
Burg,  D. van de;2
Burg, D. (Dirk) van der;1
Burman Becker;1
Buys, A.;1
Buys, J. (Jacobus);2
Buysen, A. van;2
Buysen, H. van;1
Bylaerd, T.T.;3
Böger, F.;3
C., G.;1
Cats, J.;3
Cats, Jacob;1
Cause, Henricus;1
Claterbos, Augustijn;2
Clermans,;1
Cleve, R.;1
Cok, J.M.;1
Conrad, F.W.;1
Cook, W.;1
Cooke, J.W.;3
Cooke, W.;1
Cooke, W.J.;3
Cornelis Pronk Junior;1
Coster, D.;1
Couvé, D.J.;18
Covens, Ioannes en Mortier, Cornelis;1
Crabeth, D.;1
Crajenschot, T.;2
Creuznach, L.S. de;1
Croes, J. van;4
Cruys, S.;1
Cuyck, P. van (Pieter);1
Cuypers, Jos;2
Cuypers, Jos ?;5
Cuypers, Jos.;1
Cuypers, Jos. J.;1
Cuypers, Joseph;3
Cuypers, P.J.H.;58
D., J.v.;3
Dam, A. van;1
Dam, A.W. (Anthony Willem) van;228
Decker, C.;1
Decker, Coenraad;1
Degré, H. (Henri);2
Delfos, A.;21
Desguerrois;1
Desguerrois & Co;3
Desguerrois en Co;1
Desguerrois en Co.;1
Deyl, van ?;1
Diepenhuijsen,;1
Diepenhuijsen, J. van;3
Diepenhuijsen, J.van;1
Diepenhuysen, J. van;2
Dieperink;6
Dingemans, W.J. (sr.);2
Dingemans, W.J. of Slager, P. ?;1
Disel, J.A. van;1
Dissel, J.A.;1
Dissel, J.A. van;24
Diterich, F.;1
Drielst, Egbert van;1
Dubbels, Hendrik Jacobsz;1
Dupire, Ed ?;1
Dupire, Ed.;1
Durand, A. (Alphonse);1
Dusselsma, N.W.;1
Dwars, A.W.C.;2
Eekhoff, W. (Wopke);1
Eisinger, F. ?;1
Elandt, C. ?;1
Elandts, Cornelis;2
Eltinger, Franciscus;2
Embden, F.C.E. van;1
Emrik & Binger;4
Eng Hoogerheijden,;1
Enschede, Iz. & Joh. & Bosch, J.;1
Enschedé, Johannes;1
Erlinge, Franc.;1
Erlinger, Franciscus;1
Erp Taalman Kip, van;2
Ertinger, F.;1
Ertinger, Franc;1
Ertinger, Franciscus;1
Evers, H. (Henri);1
Everts, prof.;1
Falkner, Joh.;1
Fels, J.J.;1
Fesca, A.;2
Fitz, J. ?;1
Fokke Simonsz, A. (Arend);3
Fokke, S. (Simon);40
Folkema, I.;1
Folkema, J.;2
Folkema, Jacob;7
Foltz, F.;1
Fortuyn, W.;2
Fouquet jr, P. (Pierre);20
Franken, R.;1
Frap, P.W.M.;1
Fuhri & Smits;1
Gabriël, Paul Joseph Constantin;5
Galen, A.A. van;2
Gartman, W., Vermandel, W. en Smit, J.W.;1
Gerlach,;1
Giessen, G. (Gerrit) van;28
Giltay, M.A.;2
Giraud, A.P.;2
Goblé, Steven;1
Goeree, J.;3
Goeree, P.;1
Gottfr., Joh.;1
Goyen, J. van;1
GraavŠ, J.E.;1
Graav‚, J.E.;5
Grave, J.E. (Jan Evert);2
Grave, Josua de;2
Greebe, F.W.;1
Greeven, H.;1
Greiner, A.;1
Greuter, Matthaus;1
Greve, W.;1
Greven, H.;1
Groll, John F.;1
Groot, Erve S. de;1
Gruyter, W.;1
Gräfe, F.;1
Gugel, E. en Nieuwenhuis, F.J.;4
Gugel, E. en Vermaas (?), C.;2
Gugel, E. en Vermaas, C.;1
Gunkel, K. en Kolb, J.M.;1
Gunkel, L.;2
Gügel E., en Cuypers, P.J.H.;1
H., C. van de;1
H., I.;1
Haan, Abraham de;36
Haasloop Werner, G. (Heinrich Gottfried);27
Haasloop Werner, H.G.;3
Haasloop-Werner,;4
Haastert, J.v.;1
Hablitscheck, F.;1
Hablitschek, F.;2
Haen, A. de;18
Haen, A. de ?;1
Hagen, C. (Christiaan);20
Hapels, D.J.;1
Hardenberg, C. van;2
Hardenbergh, C. van;1
Hardenbergh, Cornelis van;2
Harrewijn, J.;10
Hart, A. (Abraham) van der;9
Haspels, D.J.;10
Havelaar;1
Heijmans, J.H.;2
Heisinger, C.;1
Heisinger, G.;2
Hendriks, J.;4
Hendriks, W.;1
Hennin, Henrik Christiaan;1
Hermans, A.;2
