;1980
2015-05-27 09:34:29.104388;45
2015-05-27 09:38:24.343613;100
2015-05-27 09:39:00.045496;1672
2015-10-23 09:35:56.221709;1
2016-11-14 01:34:37.049379;58
2017-04-21 14:03:24.041951;4
2017-05-01 10:59:33.103423;84
2017-06-15 19:56:53.392456;5
2018-05-03 13:58:04.542436;70
2018-06-13 12:30:59.554279;1
2018-06-13 13:59:14.074813;1
2018-07-19 15:18:45.793821;16
2018-08-27 08:40:17.42304;1
2018-09-03 16:34:42.827382;2
2018-09-15 14:32:51.959413;3
2019-05-15 10:27:22.980302;2
2020-03-26 13:54:47.790009;1
2020-08-13 14:39:28.204294;1
2020-08-13 15:12:11.818486;1
2020-08-13 15:12:21.416495;6
2020-08-13 15:32:54.311523;1
2021-02-07 19:16:02.378476;6
2021-05-31 13:16:12.960164;1
2021-12-06 16:57:29.573617;2
2021-12-06 16:58:56.619057;11
2021-12-06 16:59:49.450387;5
2023-07-26 13:26:11.12471;1
2023-07-26 14:13:50.329045;20
2023-07-26 14:46:18.164102;135
2023-07-26 14:51:35.252851;1
2023-07-26 14:52:01.772088;7
2023-07-26 15:47:59.198068;1
2023-07-26 16:14:53.123062;2
2023-07-26 16:15:17.643826;1
2023-07-26 16:18:54.341043;1
2023-07-26 16:19:09.189469;2
2023-07-26 16:22:15.943219;2
2023-07-26 17:20:55.804746;1
2023-07-26 17:21:21.936808;1
2023-07-26 17:21:50.597227;14
2023-07-26 17:25:20.936423;1
2023-07-26 17:27:11.251559;1
2023-07-26 17:39:47.805218;2
2023-07-26 17:44:05.340213;1
2023-11-22 11:03:24.089365;115
2023-12-08 13:35:54.043294;1
2023-12-19 11:21:52.683657;1
2024-06-13 10:40:12.361056;1
2024-08-13 12:25:21.177634;1
2024-08-21 16:56:14.363277;4
2024-10-16 17:37:32.960516;9
2024-10-28 10:59:22.122707;2
2024-10-28 11:28:26.802935;1
2024-11-11 11:43:14.703764;1
2024-11-20 11:16:23.225258;2
2024-11-20 15:51:29.851545;11
2024-11-20 15:53:36.966208;1
2024-11-20 15:57:31.335677;1
2024-11-20 16:03:55.438368;1
2024-11-20 16:11:27.909399;5
2024-11-20 16:34:07.998906;2
2024-11-20 16:50:44.740797;1
2024-11-20 16:55:57.055354;4
2024-12-13 09:14:36.097675;3
2024-12-14 07:43:43.818835;4
2024-12-14 10:00:00.519155;1
2024-12-14 15:16:45.800508;37
2024-12-14 15:20:22.128611;1
2024-12-14 15:34:46.801992;20
2024-12-18 15:43:54.53869;2
2025-02-03 09:07:03.663053;228
2025-02-03 11:26:56.973461;1
2025-02-03 11:28:44.870137;1
2025-02-12 11:21:38.082259;374
2025-04-03 16:52:35.578993;2
2025-04-14 12:46:31.902898;1
2025-04-14 16:37:52.368355;1
2025-04-14 16:55:52.41298;7
2025-04-14 17:32:01.104674;7
2025-04-15 17:22:16.063486;7
2025-04-16 16:25:02.897433;117
2025-04-28 16:40:43.933579;61
2025-04-28 17:16:41.254406;40
2025-04-28 17:24:22.812156;3
2025-04-30 11:34:33.042293;5
2025-04-30 11:52:04.180211;1
2025-04-30 11:58:32.135179;28
2025-05-06 17:29:08.632819;121
2025-05-07 17:27:59.984116;1
2025-05-13 12:18:14.284072;5
2025-05-13 12:22:10.699002;1
2025-05-13 12:24:44.389618;1
2025-05-13 12:54:56.183893;29
2025-05-13 13:17:44.559219;1
2025-05-13 13:20:54.680398;1
2025-05-13 13:59:02.521767;1
2025-05-13 14:07:36.682487;1
2025-05-13 14:10:36.791197;1
2025-05-15 17:31:17.457326;1
2025-05-26 15:24:17.950782;64
2025-05-26 15:44:48.751503;1
2025-05-26 16:26:14.888231;1
2025-05-26 16:34:10.401106;27
2025-05-26 16:38:20.393002;36
2025-05-26 16:55:30.035934;342
2025-06-02 16:23:07.557008;20
2025-06-04 17:58:20.720041;54
2025-06-16 15:17:55.574847;2
2025-06-16 15:45:57.132155;2
2025-06-19 17:19:43.386314;6
2025-06-19 17:40:14.530122;1
2025-07-02 14:14:08.928322;154
