;1980
12345678-9012-3456-7bad-c0ffee000000;1354
1399f7a7-d69a-d9ab-3ebb-740897df61e0;146
21fd4172-f426-e273-e1cf-f484322a3f18;9
28de9010-746a-9385-76e5-07426afe377f;9
36244e55-b3c0-1734-4720-be810d197aaa;873
457b10c2-eb8d-3d85-7ad8-74e661b39822;286
5ac4d702-bcad-d2a8-92fc-9820781a5ea4;1
7b86d54c-33b8-7bde-3002-ea3c6d28f91f;177
95640e08-26f9-f9fe-559c-558ad193e397;108
ae6c6ca1-2f59-8307-1483-129446cc7d54;99
e240be2f-96cf-934e-8502-c5867fd9e08d;177
e38047d2-b99b-0730-af27-f3661b843bb9;1010
e4e629c7-1ccb-fd57-e68d-7e15e42e7b91;1
fcbc0dfd-2d0d-326c-a8b8-962386eadebf;34
