;1980
2015-05-27 09:39:00.494865;1354
2016-02-22 14:19:41.146564;1
2016-05-30 11:58:01.34655;1
2016-06-09 16:32:57.88914;1
2016-06-10 14:39:38.406719;1
2016-07-31 10:40:07.211617;1
2016-07-31 10:41:15.508935;2
2016-07-31 11:10:23.392005;1
2016-07-31 14:18:48.65786;3
2016-08-01 11:44:09.826304;1
2016-08-08 18:09:51.563374;1
2016-08-08 18:59:49.475143;1
2016-08-10 13:36:33.513921;1
2016-08-10 13:39:48.279581;1
2016-08-10 13:40:21.211839;1
2016-08-10 13:40:49.525707;1
2016-08-10 13:41:11.896498;1
2016-08-10 13:42:48.57516;1
2016-08-10 13:43:06.078453;1
2016-08-12 11:23:29.056356;2
2016-08-13 16:47:57.141148;3
2016-08-15 09:27:39.630517;1
2016-08-17 11:13:18.970153;1
2016-08-22 17:46:32.977962;1
2016-08-23 12:55:01.534358;1
2016-09-02 13:38:37.270234;2
2016-09-10 15:43:44.900714;1
2016-09-10 15:50:39.155846;3
2016-09-16 11:40:24.731576;1
2016-09-18 20:31:33.074255;1
2016-09-21 14:03:58.165746;2
2016-09-26 15:13:49.789824;1
2016-10-02 10:10:50.54551;1
2016-10-02 13:27:57.541603;3
2016-10-02 13:30:37.900236;1
2016-10-07 15:16:22.382267;2
2016-10-07 17:34:56.746937;2
2016-10-16 10:12:34.212287;3
2016-10-18 14:28:31.947239;1
2016-10-21 12:53:36.176051;3
2016-10-21 12:55:30.995216;1
2016-10-23 15:57:20.411316;2
2016-10-23 15:57:53.807441;2
2016-10-24 15:45:00.587871;3
2016-10-29 17:52:07.067022;2
2016-10-29 17:55:44.251301;2
2016-10-29 17:56:34.363657;1
2016-10-29 17:57:14.402866;1
2016-10-29 17:57:58.059246;1
2016-10-29 17:58:32.141545;1
2016-10-29 17:59:42.419283;1
2016-10-29 18:00:39.171172;1
2016-10-29 18:02:55.132037;1
2016-11-08 16:01:46.042552;1
2016-11-08 16:02:04.76008;1
