;539
'Ruine appelée de la nymphe Egerie' aan de Via Appia nabij Rome, plattegrond en doorsneden;1
't Casteel van Medemblik van binnen;1
10 aftekeningen van muurschilderingen;1
16 plattegronden en opstand voorgevel in een omslag;1
18 aftekeningen muurschilderingen;1
"3 vellen overtrekken van een deel van de grachtengordel
Stratenplan met uisnummers
'Samen geven deze tekeningen het gebied weer tussen Damrak - Rokin en Heerengrachten'";1
7 aftekeningen van muurschilderingen ;1
9 ontwerptekeningen;1
Aanbrenger in de Dorregeestpolder;1
Aanzicht;3
Aanzicht en plattegrond van tempel. Monument.;1
Aanzicht gevel;3
Aanzicht geveltop;1
Aanzicht grafmonument van Jan Nieuwenhuyzen;1
Aanzicht graftombe Jan van Galen;1
Aanzicht ingang;1
Aanzicht kerk en pastorie;1
Aanzicht koepel;1
Aanzicht koorzijde;1
Aanzicht pomp;1
Aanzicht poort;3
Aanzicht sluisdeur;1
Aanzicht standbeeld voor Vader des Vaderlands, met op achtergrond de Grafelijke Zalen op het Binnenhof;1
Aanzicht van poortopening in gevel van Gevangenpoort;1
Aanzicht vensters en zuil;1
Aanzicht voorgebouw;1
Aanzicht voorgevel;3
Aanzicht wand;4
Aanzicht wand kamer C;1
Aanzicht wand kamer D;1
Aanzicht, plattegrond en details, naar Henri Labrouste;1
Aanzichten topgevels;2
Aanzichten van noordoost zijde en detail gedenksteen van Jkvr. Lugart van Varick tot Siwerde;1
Aanzichten van verschillende zijden;1
Aanzichten voluut uit de zijkamer;1
Academiegebouw Groningen;1
Academietuin;1
Achtergevel Vredenburg;1
Achterschip van paviljoentjalk, bakboordzijde;1
Achterschip van staatsie- of hektjalk, stuurboordzijde;1
Achterzijde van het 's-Gravensteen aan het Pieterskerkhof in Leiden;1
Achterzijde van huis met traptoren te 's-Hertogenbosch;1
"Achtkante molen, kap op klossen: 1. houtzaagmolen Heerenveen; 2. korenmolen Medemblik; 3. snuifmolen De Lelie, Kralingen; 4. korenmolen De Vriendschap, Wognum;5. pelmolen De Bootsman, Zaandam";1
Achtkante poldermolen ;1
Achtkante poldermolen met 2 schroeven De Olifant 1;1
Achtkante poldermolen met 2 schroeven De Olifant 2;1
Achtkante poldermolen met 2 schroeven De Olifant 3;1
Achtkante poldermolen met 2 schroeven De Olifant 4;1
Achtkante schroefmolen Aylva Polder;1
Achtkante spinnenkopmolen van polder 376 -  opmeting 1949 A. Sipman, reproductie;2
Achtkante vijzelpoldermolen Viaanse molen Bergermeer, bij Alkmaar 1;1
Achtkante vijzelpoldermolen Viaanse molen Bergermeer, bij Alkmaar 2;1
Achtkante vijzelpoldermolen Viaanse molen Bergermeer, bij Alkmaar 3;1
Afbraak van de Neckerpoort te Purmerend tijdens de aanleg van het Noordhollands Kanaal, circa 1820;1
Afsluitboom;1
Aftekening van een muurschildering met de boom van Jesse;1
Aftekening van een muurschildering met een voorstelling van de hel met signatuur van Jacob Por;1
Aftekeningen van een muurschildering met bloemen, (menselijke) figuren en tekst met signatuur van Jacob Por;7
Afwrijfsel van een steen;1
Altaar bij tempel van Asclepius;1
Altaar van de Chiesa di San Michele in Isola, een kerk op het eiland Isola di San Michele;1
Ambo of verhoogd spreekgestoelte (kopie);1
Amstel gezien in zuidelijke richting, met herberg het Molentje aan de Korte Ouderkerkerkdijk;1
Amsterdam, huizen bij de Groenburgwal;1
Amsterdams stadsgezicht met gracht en kerktoren;1
Antwerpen - Schelde;1
Archiefstuk met kostenberekening betrekking hebbend op het ontwerp 'Je maintiendrai';1
Avenue du Parc de Montsouris te Parijs;1
Badkamer in de Casa del Labirinto in Pompeii, detail;1
Baldakijn aan een van de pijlers in de Domkerk te Utrecht;1
Balustrade;1
Bank van lening te Amsterdam, detail;1
Baptisterium;1
Basement;1
Basement van een schouw;1
Beeldhouwwerk boven de poort van het weeshuis aan de Hooglandse Kerkgracht;1
Beeldhouwwerk met Leids stadswapen aan de veldzijde van de Zijlpoort;1
"Behangsel,
Hollandsch ontwerp Jacob Por
Goudsmit-Hoff, eerste nederl. behangselpapier-industrie";15
Berekening van de kosten van de bouw van de kerk en kerktoren te Breukelen;1
Berekening van de kosten van de bouw van de kerktoren te Breukelen;1
Berekening van de kosten van de verbouwing van de kerktoren te Breukelen, blad 1;1
Berekening van de kosten van de verbouwing van de kerktoren te Breukelen, blad 2;1
Berekening van de kosten van de verbouwing van de kerktoren te Breukelen, blad 3;1
Beschrijving;1
Beschrijving van de stad;1
Bijgebouw aan de Schouwburg, opstanden en verticale lengte- en dwarsdoorsneden;1
Bijgebouw aan de Schouwburg, plattegronden;1
Binnenplaats en trap;1
Binnenplaats van hofje in Amsterdam;1
Binnenpoort, met doorkijk naar Mauritspoort (of Grenadierspoort). Rechts op voorgrond de later gesloopte traptoren tegen noordwestelijke zijgevel van de Grote Zaal van Grafelijke Zalen;1
Binnentuin met achtergevels van woonhuizen in Zeist;1
Binnenvaartschip;1
Binnenvaartschip, vermoedelijk een Hagenaar, op de roef een vrouw met kind dat duidt op gezinsbewoning aan boord.;1
Boerderij bij Borgercompagnie;1
Boerderij bij Ede;1
Boerderij bij het voormalige dorp Westenschouwen;2
Boerderij in duinlandschap in Bergen (N.H.);1
Boerderij in landschap bij Maasbree;1
Boerderij met bijgebouwen;1
Boerderij met bijgebouwen en hooiberg te Loon op Zand;1
Boerderij met bijgebouwen langs het water;1
Boerderij met hooiberg te Udenhout;1
Boerderij met schuren en erf met melkbussen op de voorgrond;1
Boerderij met schuur;1
Boerderij op Schouwen;1
Boerderij te Loon op Zand;1
Boerderij te Zuiderwoude, gezien vanaf de weg;1
Boerderij, detail;1
Boerderij, het erf tussen de gebouwen;1
Boerderijen met bijgebouwen;1
Boerenschuren bij Haamstede;1
Boktjasker;1
Boom op landgoed Beeckestijn bij Velsen;1
Boomgaardratels 1;1
Boomgaardratels 2;1
Boomstudie;4
Boven- en onderkant pilaster schoorsteenmantel;1
Bovenaanzicht grafzerk van Adriaan de Waal van Vronesteyn;1
Bovenkant schoorsteenmantel;1
Bovenslagrad van watermolen;1
Bovenste deel van voorgevel aan de Hoogstraat in Gorinchem;1
Bovenste gedeelte van de gevel van het Gravensteen aan het Pieterskerkhof: fronton met siervazen en beeld van Vrouwe Justitia;1
Brug met ophaalbaar middengedeelte;1
Brug over de Oude Delft te Delft;1
Brug over de Seine in Parijs;1
Brug over de Seine in Parijs naast het Louvre;1
Brug over de Seine te Parijs;1
Brug over gracht te Amsterdam;1
Buitenhof en omgeving, rechts het Oud Stadhouderlijk Kwartier met de Mauritstoren;1
Buitenhof, gezien vanaf de Stadhouderspoort van het Binnenhof;1
Buitenhuis;1
Buitenmolen;1
Cappella Pontano, gevelaanzicht;1
Casa del Labirinto in Pompeii, plattegrond;1
Casa di Arianna, plattegrond;1
Casa di Meleager in Pompeii, plattegrond en doorsnede;1
Casa di Sallustio te Pompeï, plattegrond;1
Chalet;1
Console;1
Console van schoorsteenmantel;1
Conversatie in de kloostergang van de Domkerk te Utrecht;1
Cupido op kar, voortgetrokken door fabeldieren;1
Daringdelven of zoutwinning op de slikken en schorren bij Zierikzee;1
De 'man in het kastje', houten beeld van de knielende hertog Karel van Gelre boven diens graftombe in de Eusebiuskerk in Arnhem;1
De (Grote) Smeetoren aan de Stadsbuitengracht te Utrecht, in 1642 verbouwd tot sterrenwacht;1
De Amsterdamse of Spaarnwouderpoort te Haarlem;1
De Batterijen rondom Amsterdam, de kanonnen zijn gericht over de Trekvaart naar Haarlem.;1
De Burg te Leiden;1
De Doelenpoort te Leiden;1
