;1147
1;1
100;58
100 cm;1
1000;2
1003;1
101;29
102;20
1025;2
103;7
1035;3
104;48
1040;1
1041;1
105;44
106;16
107;7
1075;2
108;5
1085;1
109;4
1092;1
110;6
1100;1
111;3
112;4
113;1
113,5;1
1135;1
1137;1
114;5
1144;1
1145;1
115;5
116;5
116,5;3
1160;2
117;7
117,5;1
118;11
1181;1
1184;1
119;6
1192;2
1196;2
12,8;1
12,9;2
120;5
120 cm;1
121;6
1210;1
1212;1
122;8
123;7
124;2
125;5
126;2
1260;1
1264;1
127;12
1270;1
128;10
1285;1
129;8
13,1;3
13,5;2
13,9;1
130;13
131;6
132;9
1326;2
133;6
134;5
135;9
136;4
137;2
1372;1
138;8
139;1
140;10
141;3
142;7
143;8
144;12
145;3
146;6
147;10
148;14
148mm;1
149;5
15,2;1
15,5;1
150;7
151;4
152;5
153;6
154;13
155;8
1550;1
156;14
157;9
158;11
159;12
16,7;1
16,8;1
160;20
161;8
162;10
163;10
1636;2
164;14
1640;1
165;26
166;11
167;19
167mm;1
168;25
169;11
17,4;2
17,9;1
170;13
171;11
172;17
173;8
174;9
1740;1
175;9
176;6
177;8
178;11
179;9
18,1;1
18,4;1
180;8
181;10
182;12
183;11
184;18
1840;1
185;14
186;12
187;15
188;29
189;48
19,3;1
19,4;3
19,5;2
19,7;2
19,9;1
190;44
191;29
192;21
1920;1
193;22
194;30
195;14
1950;1
196;19
197;14
198;25
199;21
20,2;1
20,4;2
20,6;1
20,7;2
20,8;2
20,9;2
200;27
201;14
201 mm;1
202;9
203;13
204;24
205;19
206;10
207;13
208;7
209;7
21,3;2
21,4;1
21,5;2
21,6;3
21,9;1
210;27
210mm;1
211;10
2110;1
212;12
213;18
214;19
215;18
216;13
217;9
218;10
219;8
22,1;1
22,6;1
22,8;1
220;12
221;8
222;11
223;7
224;7
225;5
226;9
227;19
228;12
229;7
23,3;1
23,4;1
23,6;2
230;16
231;14
232;15
233;3
234;12
235;7
236;11
237;9
238;20
239;12
24,1;1
24,3;1
240;22
241;6
242;4
243;11
244;7
244mm;1
245;7
246;7
247;9
248;12
249;2
25,3;1
25,8;1
25,9;1
250;23
251;12
252;9
253;7
254;6
255;7
256;7
257;11
258;6
259;4
26,1;1
26,4;1
26,7;1
260;13
261;2
262;3
263;5
264;4
265;10
266;6
267;11
268;8
269;3
27,2;1
270;9
271;3
272;3
273;2
274;6
275;2
276;4
277;4
278;7
279;4
28,5;1
28,8;1
28,9;1
280;4
281;3
282;1
283;5
284;3
285;5
286;8
287;9
288;7
289;7
29,5;1
290;9
291;3
292;2
293;6
294;3
295;2
296;7
297;6
298;7
299;4
30,4;1
30,6;1
30,9;1
300;12
301;2
302;5
303;6
304;11
305;4
306;9
307;6
308;7
309;5
31,5;1
31,9;1
310;12
311;9
312;3
313;9
314;5
315;7
316;11
317;7
318;4
319;5
32,1;1
32,3;1
32,9;1
320;14
321;5
322;5
323;4
324;5
325;8
326;2
327;7
328;5
329;3
33,5;1
33,7;2
330;10
331;6
332;10
333;2
3335;1
334;10
335;11
336;11
337;9
338;6
339;7
34,9;1
340;21
341;3
342;4
343;1
344;10
345;12
346;2
347;7
348;3
349;2
35,3;1
35,4;1
350;8
351;1
352;4
353;7
354;5
355;20
356;4
357;8
358;8
359;1
36;1
36,2;1
36,3;1
360;18
361;3
362;42
363;5
364;7
365;6
366;8
367;4
368;4
369;4
370;10
371;4
371(364);1
372;5
373;6
374;7
375;8
376;2
377;4
378;6
379;2
380;5
381;1
382;7
383;4
384;3
385;5
387;6
388;5
389;1
390;6
391;4
392;2
393;1
394;5
395;4
396;2
397;2
398;6
399;4
400;11
401;4
402;7
403;1
404;3
405;4
406;5
407;3
408;5
409;8
410;14
411;5
412;4
413;6
414;1
415;2
416;3
417;4
418;7
419;2
420;11
421;1
422;5
423;1
424;6
425;4
426;2
427;1
428;6
430;33
431;3
432;3
433;2
434;3
435;7
436;3
437;6
438;6
439;2
44;1
440;5
441;3
442;4
444;6
445;3
446;2
447;1
448;4
449;2
45;1
450;4
452;3
453;1
454;4
455;7
456;3
457;4
459;4
460;5
461;3
462;2
463;5
464;3
465;4
466;8
467;2
469;3
470;7
471;2
472;5
473;3
474;4
475;7
476;2
477;6
478;3
479;4
480;8
481;3
482;3
483;3
484;4
485;4
486;2
487;6
488;3
489;2
490;4
491;2
492;1
493;2
494;3
495;4
496;3
497;2
498;3
50;1
50 cm;1
500;5
500 mm;1
502;1
503;3
504;2
505;4
507;2
508;2
509;1
510;6
511;2
512;4
513;1
514;5
515;4
516;1
517;2
518;1
520;9
522;3
523;4
525;5
526;1
527;2
528;1
530;13
532;1
533;2
534;3
535;2
536;2
537;3
538;1
539;1
540;2
541;1
542;4
