;1115
1. 82;1
100;5
100 cm;1
1000;2
1001;1
1002;1
101;2
101 ;1
1012;1
1013;1
102;4
1025;2
103;3
103 ;1
1030;2
1035 ;2
1038;2
1039;1
104;12
104 ;1
1040;2
1041;1
1045;1
105;3
105 ;2
1050;3
1055;1
106;7
106 ;1
1063 ;1
107;10
107 ;4
1070 ;1
108;8
108 ;2
109;11
109 ;2
11,5 ;2
110;81
110 ;3
111;14
111 ;1
112;13
113;6
113 ;1
114;11
115;13
115 ;3
116;11
117;16
118;13
1180;1
1195;1
12,8 ;1
12,9 ;1
120;8
120 ;1
121;10
121 ;1
122;4
122 ;4
123;11
123 ;2
124;21
125;15
125 ;2
126;13
126 ;2
127;17
128;16
128 ;1
129;10
129 ;1
13;1
13,1 ;1
13,4 ;1
130;31
130 ;3
131;14
132;7
132 ;2
133;18
133 ;3
134;36
134 ;2
135;25
135 ;3
136;15
136 ;1
137;11
137 ;2
138;11
139;6
14,9 ;2
140;21
140 ;1
141;17
141 ;3
1412;1
142;19
142 ;2
143;14
143 ;1
1430;1
144;20
144 ;1
145;21
145 ;1
146;50
146 ;1
1465;1
147;37
1475;1
148;17
148 ;1
1480;3
149;21
149 ;2
1490;1
150;33
150 ;3
151;14
151 ;4
152;16
152 ;5
153;14
153 ;1
154;17
154 ;4
155;15
155 ;2
156;7
156 ;2
157;15
157 ;2
158;8
158 ;1
159;10
159 ;5
1590;1
160;10
160 ;7
161;6
161 ;5
162;8
163;8
163 ;6
164;8
165;16
165 ;3
166;8
166 ;3
167;3
167 ;3
168;16
169;10
17,2;1
17,4;1
17,4 ;2
17,5;1
170;7
170 ;1
171;4
171 ;1
172;6
172 ;1
173;3
173 ;2
174;4
174 ;1
175;6
175 ;1
176;4
176 ;3
177;8
178;12
178 ;4
179;5
179 ;2
18,2 ;1
18,3 ;1
180;5
180 ;2
181;3
181 ;1
182;4
182 ;4
183;4
184;4
184 ;3
1844 ;1
185;5
185 ;3
186;2
186 ;2
187;5
187 ;1
188;1
188 ;1
189;3
189 ;4
19,1 ;1
19,3 ;2
19,4 ;2
19,5 ;2
19,9 ;1
190;7
190 ;3
191;5
191 ;1
192;9
192 ;1
193;7
193 ;2
194;5
194 ;2
195;3
195 ;3
196;6
197;2
197 ;1
198;5
198 ;1
199;6
199 ;2
20,2;2
20,2 ;1
20,3;1
20,3 ;1
20,5;2
20,7 ;1
20,8 ;1
20,9 ;1
200;16
200 ;2
201;3
201 ;1
202;6
202 ;3
203;5
203 ;2
204;5
204 ;1
205;9
205 ;3
206;3
206 ;3
207;3
208;8
209;9
209 ;1
21,2 ;2
21,3 ;1
21,6;1
21,6 ;3
21,9 ;1
210;13
210 ;5
211;7
211 ;5
212;4
212 ;3
213;8
213 ;3
214;6
214 ;1
215;6
215 ;1
216;7
217;6
217 ;3
218;4
218 ;1
219;1
22,5 ;1
220;8
220 ;1
221;5
221 ;2
222;7
222 ;1
223;3
224;3
224 ;1
225;9
225 ;2
226;4
226 ;4
227;3
228;9
228 ;1
229 ;2
23 ;1
23,1;2
23,4 ;1
230;9
230 ;3
231;4
231 ;3
232;7
232 ;2
233;6
233 ;2
234;6
234 ;5
235;13
235 ;4
236;6
236 ;1
237;5
237 ;1
238;6
238344 mm;1
239;1
239 ;3
24,0;1
24,1 ;1
24,8 ;2
240;16
240 ;4
241;3
241 ;1
242;9
242 ;2
243;7
243 ;2
244;5
244 ;1
245;17
246;9
246 ;1
247;8
247 ;2
248;8
249;7
249 ;4
25,5 ;1
25,9;1
250;16
250 ;2
251;4
251 ;2
252;7
252 ;4
253;4
253 ;1
254;8
254 ;1
255;16
256;14
256 ;1
257;7
257 ;1
258;6
258 ;1
259;1
259 ;2
260;10
260 ;6
261;5
262;8
263;2
263 ;1
264;2
264 ;1
265;6
265 ;3
266;2
266 ;1
267;4
268;10
268 ;1
269;3
269 ;2
27,9 ;2
270;15
270 ;2
271;5
271 ;1
272;13
273;5
273 ;1
273z453 mm;1
274;6
275;12
276;8
276 ;1
277;7
278;6
278 ;1
279;3
28,2 ;1
28,9 ;1
280;12
281;6
282;4
282 ;1
283;2
283 ;3
284;7
285;6
286;3
286 ;1
287;4
288;4
289;3
289 ;2
29,5;1
29,6 ;1
29,9 ;2
290;16
290 ;1
291;21
291 ;2
292;6
292 ;1
293;2
293 ;1
294;6
295;43
295 ;2
296;6
296 ;1
297;2
297 ;3
298;6
298 ;6
299;7
299 ;1
3 e;1
30,1 ;1
30,4 ;2
30,7 ;1
30,8 ;1
30,9 ;1
300;11
300 ;1
301;2
301 ;2
302;5
302 ;1
303;2
303 ;3
304;4
305;4
305 ;3
306;3
307;3
307 ;5
308;3
308 ;2
309;2
309 ;1
310;7
311;5
311 ;2
312;7
312 ;3
313;6
313 ;1
314;5
314 ;1
315;12
315 ;1
316;5
316 ;2
317;8
317 ;1
318;8
318 ;1
319;1
319 ;1
32,2 ;1
32,5 ;1
32,9 ;1
320;11
320 ;1
321;2
321 mm;1
322;2
322 ;1
323;7
323 ;1
324;2
324 ;1
