;4483
De POT tekening had oorspronkelijk alleen 'Kerk' als omschrijving, dus geen adresgegevens. aangepast n.a.v. opmerking, nov. 2023 (Marco).;1
"Gegevens aangepast n.a.v. een opmerking via de Beeldbank van Jan Dröge d.d. 5 juli 2021. Dit epitaaf stond voorheen op locatie Leiden (met vraagteken).
Marco, 14 juli 2021.";1
"Gemerkt achterzijde 41162
Gemerkt voorzijde -867";1
"Gemerkt achterzijde 41163
Gemerkt voorzijde -867";1
"Gemerkt achterzijde 41171
Gemerkt voorzijde -867";1
"Gemerkt achterzijde 41172
Gemerkt voorzijde -867";1
"Gemerkt achterzijde 41184
Gemerkt voorzijde -837";1
"Gemerkt achterzijde 41185
Gemerkt voorzijde -837";1
"Gemerkt achterzijde 41186
Gemerkt voorzijde -837";1
"Gemerkt achterzijde 41191
Gemerkt voorzijde -837";1
"Gemerkt achterzijde 41192
Gemerkt voorzijde -837";1
"Gemerkt achterzijde 42118
Gemerkt voorzijde -";2
"Gemerkt achterzijde 42501
Gemerkt voorzijde -";2
"Gemerkt achterzijde 42503
Gemerkt voorzijde -";1
"Gemerkt achterzijde 42504
Gemerkt voorzijde -";1
In goede staat;1
"Kwetsbaar uitpakken
10 onderdelen";1
"LET OP:

Dit record is op alleen intern zichtbaar gezet omdat er geen afbeelding aan is gekoppeld en we eventuele vragen hierover van externen willen voorkomen. 
De reden kan zijn dat een afbeelding helemaal niet beschikbaar is, of bijvoorbeeld nog niet is gekoppeld. 
Bij koppeling aan een afbeelding dient het record weer op zichtbaar voor derden gezet te worden, tenzij hiervoor een andere reden bestaat (bijvoorbeeld de rechten). 

15 september 2023, Marco Mastenbroek";877
"LET OP:

Dit record staat op alleen intern zichtbaar omdat er geen goede scan van de tekening is. De gekoppelde (tijdelijke) foto is een zelfgemaakte foto van de tekening in het depot - door Jaap Vliegenthart. 

Later, als de scans gemaakt zijn, alsnog goed koppelen en ontsluiten!

25 september 2024, Marco Mastenbroek";1
Prent in goede staat;1
Tekening in goede staat;1
Uit boek: Thooneel der Steden ende sterckten van t'Vereenight Nederlandt;1
Vermoedelijk afkomstig uit het  boek Der Rhein und die Rheinlande in malerischen Original-Ansichten: Abtheilung 3, Section 2 / Holland. Darmstadt: Druck und Verlag von Gustav Lange, 1863;1
hoort bij archiefstuk VE-1366;1
in goede staat;7
zie voor een soortgelijke kaart https://www.archieven.nl/nl/zoeken?mivast=0&mizig=187&miadt=39&miaet=14&micode=BEELDBANK_TECH_TEK&minr=41589220&miview=ldt;1
