;727
 13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-270;1
" De tekening van Saenredam bevindt zich in Utrecht, Gemeentelijke Archiefdienst; zie catalogusnummer 172,in: Schwartz en Bok, Pieter Saenrdam, 1989.";1
"""495""";1
"""A metalen deurpreken (?) vast gegoten in de [...], Boven de drempel om [...] een halve duijm uijt stekende ende soo breet als de deur onder dick is, (ofte wat breeder zuidts dat de breede binnenshuijs buijten de deur compt uijt te steken, E een lijsken op de deur van buijten [...] onder met een [...] B,C,D, loot om te [...] het doorwateren van de steen naar binnen""";1
"""Al breet 65-6""";1
"""Behoort bij brief van den Heer R.E.J. Roeterink, Harlingen 10 Oct. 1866""";1
"""Benthemmer hartsteen"", ""Breemer steen""";1
"""Bij Ennes"" (?)";2
"""Copie van de facade voor de Burgm. van Muyden te Zwol""";1
"""Cosijn en Raamen van de Eerste Verdieping""";1
"""Cosijn en Raamen van de Tweede Verdieping""";1
"""D""";1
"""De Etage""";1
"""De driekonings Hoek Spotprint""(?) 't jaar 1772""";1
"""Dees Teijkeninge is uijt eeuige oude aan teijckeninge onder mijn Papieren gevonden wil vertrouwen (?) dat met het gemaakte werk over een compst helst (?)""";1
"""Descriptie van de Plattegrond, Profils en Face der Geweer Racken."" met letters die vertrekken en functies aangeven.";1
"""Dese Tooren Herbouwt in zyn geheel door hendrik van raam gebooren 1752 en getekent""";1
"""Doorsnede over de lijn AB""";1
"""Doorsneden van de lijnen AB""";1
"""Ellen of 25 millimeter op de El""";1
"""Front""";1
"""Geertruidenberg Arsenaal"" in pen aangegeven";1
"""Genomen over de linie AB.""";1
"""Genoomen over de linie C.D.""";1
"""Gesloopt en in het Rijksmuseum te Amsterdam aangebracht""";1
"""Gesloopt in 1879""";1
"""Getekt door A.A. Van Galen. Extr.ord: Ingr.""";3
"""Getekt door C.V. Sorgen Extr.ord: Ingr.""";4
"""Getekt door G.E. Schenck Extr.ord: Ingr.""";2
"""Getekt door H.E. van Panhuijs Extr.ord: Ingr.""";2
"""Het zelve van voren te zien""";1
"""Hoogst van de vloer""";1
"""Huis Vredenburg""";1
"""Landman Hoogstraat"". Met potloden aantekeningen aangebracht aan de randen. De kapspanten zijn in paarse pen aangebracht en van latere datum.";1
"""Met cooper te beslaan""";1
"""NB: De vouw in t papier, is op dat men deze schets zoude kunnen leggen naast de Facade""";1
"""Nota. Men zal bevinden wanneer men deze maten confronteerd met de teekening en Schale, deze en gene wat uit malkander te loopend, doch men dient zich echter aan dezelve te houden, om de fouten in de teekening, daar door te verbeteren""";1
"""Onderste verdieping""";1
"""Pieter Post""";1
"""Profil EE."" en ""Profil CD.""";1
"""Profil volgens a,b""";1
"""Profil volgens c,d""";1
"""Profil volgens de linie CD."" en ""Profil volgens de linie AB.""";1
"""Renvoij van de Distributie"" met aangegeven vertrekken en functies";1
"""Renvoij van de Ditstributie"" met aangegeven vertrekken en functies";1
"""Renvoij"" met materiaalsoort en vorm";1
"""Reé de Chaussée""";1
"""Schetsontwerp winkelhuis met woningen Aelbrechtskolk 37""";1
"""Standgesigt van het Privaat ter zijde te zien""";1
"""voorzien met en klokkenspel van 37 klokkenin den jare 75-76-77""";1
'Tdraag't;1
't Koudekerk ook niet aan 't nodige ontbreeken. Dit;1
't dus met heel ons land gelegen! Wij konden danken;1
't welk;1
(: in de natuurlijke grootte:);1
(: natuurlijke grootte:);1
(voorz.) en Victor de Stuers (secr.);1
***;1
***moet nog beschreven worden!;5
- Het;1
.... 1850.;1
"......   geschaaen (?); vergelijk Th-370.a en";1
1/10 tekeningen;1
1/11 bladen;2
1/12 tekeningen, met aantekeningen op de achterzijde;1
1/13 bladen;1
"1/14 bladen
Zie overige in rol";1
1/16 bladen;1
1/2 een tekening met opgeplakte foto, en een losse foto;1
1/2 tekeningen;4
1/29;1
1/3;1
1/3 bladen;1
1/3 tekeningen;2
1/4 bladen;3
1/5 bladen;1
1/5 tekeningen;1
1/6 bladen;2
1/6 tekeningen;1
1/7 bladen;2
1/7 tekeningen;1
1/9 bladen;1
1/9 tekeningen;2
10/10 tekeningen;1
10/11 bladen;2
10/12 tekeningen, met aantekeningen op de achterzijde;1
10/13 bladen;1
"10/14 bladen
Zie overige in rol";1
10/16 bladen;1
10/29;1
11/11 bladen;2
11/12 tekeningen, met aantekeningen op de achterzijde;1
11/13 bladen;1
"11/14 bladen
Zie overige in rol";1
11/16 bladen;1
11/29;1
12/12 tekeningen, met aantekeningen op de achterzijde;1
12/13 bladen;1
"12/14 bladen
Zie overige in rol";1
12/16 bladen;1
12/29;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-267;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-268;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-269;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-271;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-272;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-273;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-274;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-275;1
13 tekeningen in een omslag    -    neg.nrs: 283.587 t/m 283.599  -  op de afbeelding staat (per abuis) vermeld VE-276;1
