;5296
"""1736""";1
"""1737""";2
"""1743""";2
"""1744""";2
"""1745""";4
"""1746""";2
"""1792""";8
"""1793""";8
"""1800""";1
"""1806""";1
"""1808""";1
"""1809""";1
"""den 13 Sept: 1749""";1
"""den 27 J'ulij. 1744.""";1
"""den 30. J'ulij. 1744.""";1
"""den 9 August: 1750.""";1
"""den: 14 Julij. 1750.""";1
"""den: 21. Septemb: 1749.""";1
1922;2
1923;6
1924;4
1934;1
1934-1945;1
1935;2
1936;1
1938;1
1940;1
1942;5
1943;16
1944;2
1944-1945;1
1946-1973;1
1947;5
1948;1
1963;1
1971;1
1973;1
1976;1
1978;1
1979;1
1984;1
1989-01-01;1
