;4875
1;2
10;3
100;1
101;1
102;1
103;1
104;1
105;2
106;2
107;2
108;1
109;2
11;3
110;1
111;2
112;2
113;2
114;2
115;1
116;2
117;2
118;2
119;2
12;3
120;2
121;2
122;2
123;2
124;2
125;2
126;2
127;2
128;2
129;2
13;2
130;1
131;1
132;2
133;2
134;1
135;2
136;2
137;2
138;2
139;2
14;3
140;2
141;2
142;2
143;2
144;2
145;2
146;2
147;1
148;1
149;2
15;2
150;1
151;2
152;2
153;2
154;2
155;2
156;2
157;2
158;2
159;2
16;3
160;1
161;2
162;2
163;2
164;1
165;2
166;2
167;1
168;2
169;1
17;3
170;1
171;2
172;2
173;2
174;2
175;2
176;2
177;2
178;2
179;2
18;2
180;2
181;1
182;2
183;1
184;2
185;2
186;2
187;2
188;2
189;2
19;2
190;2
191;2
192;2
193;2
194;2
195;1
196;2
197;2
198;2
199;2
2;3
20;3
200;2
201;2
202;1
203;2
204;2
205;1
206;2
207;2
208;2
209;2
21;3
210;2
211;2
212;2
213;1
214;1
215;2
216;2
217;2
218;2
219;2
22;2
220;1
221;1
222;2
223;2
224;2
225;1
226;2
227;2
228;1
229;2
23;1
230;2
231;2
232;2
233;2
234;2
235;2
236;2
237;2
238;2
239;2
24;2
240;2
241;2
242;2
243;2
244;1
245;2
246;1
247;2
248;2
249;2
25;2
250;2
251;1
252;2
253;2
254;2
255;2
256;1
257;2
258;2
259;2
26;2
260;2
261;1
262;2
263;2
264;2
265;2
266;2
267;2
268;2
269;2
27;2
270;2
271;2
272;2
273;2
274;2
275;2
276;1
277;2
278;2
279;2
28;2
280;1
281;2
282;2
283;1
284;1
285;1
286;1
287;1
288;1
289;1
29;2
290;1
291;1
292;1
293;1
294;1
295;1
296;1
297;1
298;1
299;1
3;3
30;2
300;1
301;1
302;1
303;1
304;1
305;1
306;1
307;1
308;1
309;1
31;1
311;1
312;1
313;1
314;1
315;1
316;1
317;1
318;1
319;1
32;1
320;1
321;1
322;1
323;1
324;1
325;1
326;1
327;1
328;1
329;1
33;2
330;1
34;2
35;2
36;2
37;2
38;1
39;2
4;3
40;2
41;2
42;2
43;1
44;1
45;1
46;1
47;1
48;1
5;2
52;1
53;1
54;1
55;2
56;1
57;1
58;1
59;1
6;2
60;1
61;1
62;1
64;1
66;1
68;1
7;3
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
8;3
80;1
81;1
82;1
83;1
84;1
86;1
87;1
88;1
89;1
9;3
90;1
91;1
92;1
94;1
95;1
96;1
98;1
99;1
