;891
Aquarel;14
Bruine inkt, potlood;1
Bruine pen, inkt;1
Bruine pen, inkt, gewassen in 1 kleur;1
Bruine pen, inkt, potlood;1
Ets;965
Gravure;23
Houtskool;7
Inkt, pen in zwart, gewassen in 2 kleuren;2
Kleurendruk;15
Lichtdruk;6
Lithografie;86
Passepartout, potlood;1
Pen en aquarel;26
Pen en penseel in Oost-Indische inkt;3
Pen en penseel in Oost-Indische inkt, grijs gewassen;1
Pen en penseel in Oost-Indische inkt, over een potloodschets;1
Pen in bruin;7
Pen in bruin, gewassen in 1 kleur;4
Pen in bruin, gewassen in 2 kleuren;5
Pen in bruin, gewassen in 3 kleuren;2
Pen in bruin, gewassen in 4 kleuren;1
Pen in bruin, gewassen in diverse kleuren;1
Pen in bruin, gewassen in grijs;7
Pen in bruin, gewassen in grijs en 1 kleur;1
Pen in bruin, inkt;10
Pen in bruin, inkt, gewassen in 1 kleur;8
Pen in bruin, inkt, gewassen in 2 kleuren;4
Pen in bruin, inkt, gewassen in diverse kleuren;2
Pen in bruin, inkt, potlood;1
Pen in bruin, inkt, potlood, gewassen in diverse kleuren;1
Pen in bruin, pen in zwart;7
Pen in bruin, pen in zwart, gewassen in 1 kleur;1
Pen in bruin, pen in zwart, inkt;2
Pen in bruin, pen in zwart, inkt, gewassen in 1 kleur;1
Pen in bruin, pen in zwart, inkt, gewassen in 2 kleuren;1
Pen in bruin, pen in zwart, inkt, gewassen in 3 kleuren;1
Pen in bruin, potlood;7
Pen in bruin, potlood, gewassen in 1 kleur;3
Pen in bruin, potlood, gewassen in 3 kleuren;2
Pen in bruin, potlood, gewassen in 4 kleuren;1
Pen in bruin, potlood, inkt;2
Pen in bruin, potlood, inkt, gewassen in vier kleuren;1
Pen in bruin/grijs;1
Pen in bruin/grijs, inkt;1
Pen in bruin/zwart, potlood, rood krijt;1
Pen in grijs, roze gewassen;3
Pen in grijs/bruin, potlood;1
Pen in zwart;21
Pen in zwart en bruin;1
Pen in zwart en bruin, gewassen in 2 kleuren;1
Pen in zwart en bruin, inkt, gewassen in 3 kleuren;2
Pen in zwart, gewassen in 1 kleur;6
Pen in zwart, gewassen in 2 kleuren;5
Pen in zwart, gewassen in 3 kleuren;5
Pen in zwart, gewassen in diverse kleuren;2
Pen in zwart, gewassen in grijs en zwart;1
Pen in zwart, grijs gewassen;187
Pen in zwart, inkt;7
Pen in zwart, inkt, gewassen;1
Pen in zwart, inkt, gewassen 3 kleuren;1
Pen in zwart, inkt, gewassen in 1 kleur;8
Pen in zwart, inkt, gewassen in 2 kleuren;20
Pen in zwart, inkt, gewassen in 3 kleuren;22
Pen in zwart, inkt, gewassen in 4 kleuren;7
Pen in zwart, inkt, gewassen in 5 kleuren;2
Pen in zwart, inkt, gewassen in diverse kleuren;1
Pen in zwart, inkt, gewassen in drie kleuren;1
Pen in zwart, inkt, potlood;1
Pen in zwart, inkt, potlood, gewassen in 1 kleur;1
Pen in zwart, inkt, verf, gewassen in diverse kleuren;1
Pen in zwart, pen in bruin;3
Pen in zwart, pen in bruin, inkt;2
Pen in zwart, pen in bruin, inkt, gewassen in 1 kleur;3
Pen in zwart, pen in bruin, potlood, gewassen in 1 kleur;1
Pen in zwart, pen in rood, gewassen in 2 kleuren;1
Pen in zwart, pen in rood, gewassen in 3 kleuren;1
Pen in zwart, potlood;7
Pen in zwart, potlood in grijs;1
Pen in zwart, potlood, gewassen in 1 kleur;9
Pen in zwart, potlood, inkt;1
Pen in zwart, potlood, inkt, in grijs gewassen;2
Pen in zwart/bruin, gewassen in 1 kleur;1
Pen in zwart/bruin, inkt, gewassen in 1 kleur;1
Pen in zwart/bruin, inkt, gewassen in 2 kleuren;1
Pen in zwart/bruin, inkt, gewassen in 3 kleuren;2
Potlood;444
Potlood en aquarel;422
Potlood en inkt;1
Potlood in grijs;12
Potlood in grijs, gewassen in 2 kleuren;1
Potlood in grijs, inkt;1
Potlood in grijs, inkt, gewassen in 1 kleur;1
Potlood in grijs, pen in zwart, pen in bruin;1
Potlood op calc;1
Potlood op calque;1
Potlood, gewassen in 2 kleuren;1
Potlood, grijs gewassen;38
Potlood, grijs gewassen en aquarel;22
Potlood, inkt;1
Potlood, inkt, gewassen in 2 kleuren;1
Potlood, met kleurpotlood ingekleurd;2
Potlood, pen in zwart en aquarel;1
Reproductie;2
Techniek;1
Tekening in Zwart-Wit;95
Tekening in kleur;21
Waterverf;5
aquarel op calque;13
aquarel op zwart krijt;1
blauwdruk;40
cont‚ in zwart en aquarel;1
cont‚-potlood en aquarel;1
cont‚-tekening;1
cont‚-tekening, gedrukt en ingekleurd;1
cont‚potlood en aquarel;1
copie van een ets;1
ets met aquatint;10
ets met aquatint, ingekleurd;2
ets, gedrukt;25
ets, ingekleurd;10
ets/gravure;91
foto;8
foto, opgeplakt op dun karton;2
fotografische reproductie;2
fotolithografie;3
gedruk, pen in blauw en bruin;1
gedrukt;209
gedrukt en ingekleurd;5
gedrukt en ingekleurd met aquarel;1
gedrukt en ingekleurd met zwarte inkt;1
gedrukt, op linnen;6
gedrukt, op linnen geplakt;1
gekleurd papier geplakt op wit papier;3
