;4459
17de eeuws papier;1
Circa 1790 - 1795;1
Dateert in ieder geval van na 1886, het jaar waarin Zionsburg werd opgeleverd;1
De datering is waarschijnlijk circa 1813, het jaartal dat voorkomt op een vergelijkbare tekening van Kerkhoff, die zich in 2007 in een particuliere collectie te Amerongen bevond (zie: L. Schoemaker, Tegen de helling van de Heuvelrug. Rhenen in oude tekeningen 1600-1900, p. 105 en 107).;1
"De galerij op de R.K. Begraafplaats verrees in 1884; Behr stierf in 1895";2
De tekening is mogelijk vervaardigd voor 1747;1
Gedateerd aan de hand van de andere Haarlemse tekeningen;1
Gedateerd op basis van de andere tekeningen van de ruïne van Brederode in Album C;1
Gedateerd op basis van de datering van de tekening AO-018;1
Gedateerd op basis van de datering van de tekening AO-021;1
Gedateerd op basis van de datering van de tekening AO-024;1
Gedateerd op basis van de datering van de tekening AO-030;1
Gedateerd op basis van de datering van de tekening AO-054;1
Gedateerd op basis van de datering van de tekeningen AO-016 en AO-017;1
Gedateerd op basis van vergelijking met de tekeningen AO-035 en AO-036;1
Geschat;115
Geschat (in 1840 begon de bouw van de beurs van Zocher);1
Geschat basis van overige tekeningen Utrecht;1
Geschat op basis van Oltmans' twee gedocumenteerde bezoeken aan Arnhem;1
Geschat op basis van overige tekeningen Pieterskerk;2
Geschat op basis van overige tekeningen Pieterskerk te Utrecht;1
Geschat op basis van overige tekeningen Utrecht;14
Geschat op basis van overige tekeningen in Utrecht;2
Geschat op basis van overige tekeningen te utrecht;1
Geschat, maar waarschijnlijk vroege zomer 1834 (vgl. de tekeningen AO-025 t/m AO-027 en AO-029 t/m AO-032);1
"Het woonhuis Plaats 33, met het torentje, verrees in 1874; Behr stierf in 1895";1
In 1642 begon de bouw van Vredenburg, uiteindelijk naar ontwerp van Pieter Post.;4
Maart 1918;1
Periode 1910-1919;75
Vervaardigersdatum opmerkingen test;1
Voltooid op 9 december 1643;1
cira;1
circa;606
circa 1732;1
circa 1811;2
circa 1850;13
circa 1870;2
circa 1880;2
circa 1886;2
circa 1900;15
gedeeltelijk gedateerd: 1918;13
geschat;2
rond 1930;15
schatting;6
soms gedateerd: eind juli;16
