;897
Klein depot;1972
Klein depot - plank 100-C-07;1
Klein depot, 95-A-11, I-001;3
Klein depot, 95-A-11, I-002;5
Klein depot, 95-B-01, III-002;4
Klein depot, 95-B-01, IV-001;8
Klein depot, 95-B-03, III-001;31
Klein depot, 95-B-03, III-002;30
Klein depot, 95-B-04, III-003;10
Klein depot, 95-B-05, III-005;3
Klein depot, 95-B-06, II-001;7
Klein depot, 95-B-06, II-002;3
Klein depot, IV-004;10
Klein depot, plank 100-D-01, doos 1;48
Klein depot, plank 100-D-01, doos 2;56
Klein depot, plank 100-D-01, doos 3;29
Klein depot, plank 95-B-11, doos 1;1
Klein depot, plank plank 95-B-11, doos 1;1
Kleine Kluis - Zeister periode;1538
Mezzanine;129
RCE-433;232
RCE-516;33
RCE-585;5
RCE-906;337
