Acanthochitonidae;1
Acanthosomatidae;9
Acaridae;2
Acartiidae;2
Acartophthalmidae;2
Accipitridae;29
Acerentomidae;14
Achipteriidae;5
Achiridae;1
Achromadoridae;4
Aciculidae;3
Acidostomatidae Stoddart & Lowry, 2012;1
Acipenseridae;5
Acmaeidae;1
Acoleidae;1
Acrididae;30
Acrocephalidae;11
Acroceridae;7
Acrolepiidae;6
Acroloxidae;1
Acteonidae d'Orbigny, 1843;1
Actiniidae;8
Actinolaimidae;1
Acuariidae;15
Adelgidae;14
Adelidae;19
Adelphacaridae;1
Aderidae;4
Adinetidae;6
Aegidae;2
Aegithalidae;3
Aeolidiidae;3
Aeolosomatidae;21
Aeolothripidae;27
Aequoreidae Eschscholtz, 1829;3
Aeshnidae;13
Aetholaimidae;1
Agelenidae;14
Aglaopheniidae L. Agassiz, 1862;2
Agonidae;1
Agonoxenidae;7
Agriolimacidae;5
Agromyzidae;242
Agyrtidae;2
Akanthophoreidae Sieg, 1986;1
Alaimidae;18
Alaudidae;7
Alcedinidae;3
Alcidae;12
Alcyonidiidae;10
Alcyoniidae;1
Alexiidae;1
Aleyrodidae;15
Allocreadiidae;3
Alloionematidae;1
Alloptidae;6
Alopiidae;1
Alpheidae;1
Alucitidae;2
Alycidae;1
Alydidae;1
Amaurobiidae;5
Amblyommidae;4
Ameiridae;4
Ameletidae McCafferty, 1991;1
Ameridae;1
Ameronothridae;1
Ameroseiidae;1
Ametropodidae;1
Amidostomatidae;7
Ammodytidae;3
Ammotheidae;4
Ampeliscidae;7
Ampharetidae;7
Amphilochidae;3
Amphinomidae;1
Amphiporidae;1
Amphipsocidae;1
Amphisbatidae;5
Amphiuridae;4
Ampulicidae;1
Analgidae;18
Anapidae;1
Anarhichadidae;1
Anatidae;78
Anatonchidae;2
Ancylostomatidae;9
Ancyrocephalidae;1
Angiostomatidae;1
Angiostrongylidae;5
Anguidae;1
Anguillicolidae;1
Anguillidae;1
Anguinidae;14
Anisakidae;16
Anisitsiellidae;3
Anisolabidae;1
Anisopodidae;6
Anobiidae;62
Anomiidae;4
Anoplocephalidae;11
Anthicidae;12
Anthocoridae;46
Anthomyiidae;131
Anthomyzidae;11
Anthribidae;16
Anthuridae;2
Anyphaenidae;1
Anystidae;4
Aoridae;6
Aphelenchoididae;16
Aphelinidae;13
Aphelocheiridae;1
Aphididae;474
Aphroditidae;1
Aphrophoridae;11
Apidae;383
Apistobranchidae;1
Apodidae;5
Aporcelaimidae;17
Aporrhaididae Gray, 1850;1
Apseudidae;1
Arachnidiidae;2
Aradidae;10
Araneidae;36
Archidorididae;1
Arcidae;1
Arcticidae;1
Arctiidae;36
Arcturidae;1
Ardeidae;10
Arenicolidae;2
Argasidae;2
Argentinidae;1
Argidae;19
Argissidae Walker, 1904;1
Argulidae;2
Arionidae;9
Armadillidiidae;12
Arrenuridae;62
Arrhopalitidae;5
Artemiidae;1
Arthropleidae Balthasar, 1937;1
Ascarididae;22
Ascidae;2
Ascidiidae;2
Asellidae;5
Asilidae;42
Aspidoderidae;2
Aspidogastridae;1
Aspidosiphonidae;1
Asplanchnidae;5
Assimineidae;1
Astacidae;4
Astartidae;4
Asteiidae;6
Asteriidae;1
Asterolecaniidae;1
Astropectinidae;1
Atelestidae;2
Athericidae;4
Atherinidae;2
Athienemanniidae;2
Atopomelidae;1
Atractidae;1
Attelabidae;22
Aturidae;14
Atyidae;1
Atypidae;2
Aulacidae;1
Aulacigastridae;1
Aulolaimidae;2
Autognetidae;3
Autostichidae;3
Avenzoariidae;8
Azygiidae;1
Baetidae;23
Balaenopteridae;5
Balanidae;11
Balistidae;1
Banksinomidae;4
Barentsiidae;5
Barleeiidae;1
Bastianiidae;3
Bathynellidae;1
Bathyodontidae;2
Batillipedidae;3
Batrachedridae;2
Bedelliidae;1
Belbidae;3
Belbodamaeidae;1
Belondiridae;13
Belonidae;1
Beraeidae;4
Beroidae;2
Berytidae;12
Bethylidae;15
Bibionidae;17
Biphyllidae;1
Bitectiporidae;2
Bithyniidae;3
Blaberidae;2
Blackfordiidae;1
Blaniulidae;6
Blasticotomidae;1
Blastobasidae;7
Blattellidae;6
Blattidae;5
Blenniidae;2
Bodotriidae;6
Boettgerillidae;1
Bolboceratidae;1
Bolinopsidae;1
Bolitophilidae;8
Bombycillidae;2
Bombyliidae;31
Bopyridae;10
Boreidae;1
Bosminidae;9
Bostrichidae;18
Bothidae;6
Bothrideridae;5
Bothriocephalidae;3
Botryllidae;3
Bougainvilliidae Lütken, 1850;12
Bourletiellidae;14
Bovicoliidae;10
Bovidae;2
Brachionidae;25
Brachycentridae;4
Brachychaeteumatidae;2
Brachychthoniidae;4
Brachycladiidae;2
Brachylaimidae;5
Brachystomellidae;1
Braconidae;1004
Bradybaenidae;1
Bramidae;1
Branchiobdellidae;4
Branchiostomatidae Bonaparte, 1846;1
Branchipodidae;1
Braulidae;1
Brauninidae;1
Brentidae;91
Brevibuccidae;1
Brissidae Gray, 1855;1
Buccinidae;4
Bucculatricidae;14
Bucephalidae;1
Buddelundiellidae;1
Bufonidae;3
Bugulidae;7
Bunonematidae;7
Buprestidae;34
Burhinidae;1
Buskiidae;1
Byrrhidae;17
Byrsophlebidae;1
Bythocytheridae;1
Byturidae;2
Cacatuidae;1
Caecidae;1
Caeciliusidae;9
Caenidae;11
Caligidae;3
Caliscelidae;2
Callianassidae;2
Callionymidae;3
Calliopiidae;1
Callipallenidae;1
Calliphoridae;40
Calloporidae;2
Calopterygidae;2
Calyptraeidae;2
Camallanidae;1
Cambaridae;7
Camerobiidae;5
Camillidae;4
Camisiidae;5
Campanulariidae Johnston, 1836;17
Campanulinidae Hincks, 1868;7
Campichoetidae;2
Campodeidae;9
Campydoridae;1
Canacidae;1
Cancridae;1
Candidae;2
Candonidae;28
Canidae;3
Cantharidae;53
Canthocamptidae;19
Capillariidae;40
Capitellidae;5
Caprellidae;9
Caprimulgidae;1
Caproidae;1
Carabidae;412
Carabodidae;5
Carangidae;2
Carapidae;1
Carcinonemertidae;1
Cardiidae;10
Cardinalidae;1
Carnidae;7
Carychiidae;2
Caryophyllaeidae;2
Caryophyllidae;2
Castniidae;1
Castoridae;1
Catenotaeniidae;1
Catenulidae;2
Cathaemasiidae;1
Cecidomyiidae;353
Celleporellidae;1
Centrarchidae;2
Centrolophidae;1
Centropagidae;1
Centrorhynchidae;3
Cephalobidae;24
Cephalothricidae;2
Cepheidae;3
Cephidae;14
Cerambycidae;124
Ceraphronidae;3
Ceratocombidae;1
Ceratophyllidae;29
Ceratopogonidae;112
Ceratozetidae;13
Cercopagidae;1
Cercopidae;2
Cerianthidae;1
Cerithiidae Fleming, 1822;1
Cerithiopsidae H. Adams & A. Adams, 1853;1
Cerophytidae;1
Certhiidae;5
Cervidae;4
Cerylonidae;6
Cetorhinidae;1
Cettiidae;1
Chabertiidae;7
Chaetodactylidae;3
Chaetodermatidae Théel, 1875;1
Chaetonotidae;7
Chaetopteridae;1
Chalcididae;10
Chalinidae;8
Chamaemyiidae;22
Chamobatidae;4
Chaoboridae;7
Charadriidae;16
Cheiridiidae;1
Cheliferidae;4
Cheloniidae;5
Chernetidae;8
Cheyletidae;8
Chimabachidae;3
Chirocephalidae;2
Chirodiscidae;2
Chironomidae;567
Chiropteromyzidae;1
Chloroperlidae;5
Chloropidae;144
Choanolaimidae;1
Chordeumatidae;5
Choreutidae;6
Chromadoridae;4
Chromodorididae;1
Chronogastridae;3
Chrysididae;69
Chrysomelidae;352
Chrysopidae;24
Chthoniidae;5
Chyromyidae;3
Cicadellidae;306
Cicerinidae;1
Ciconiidae;2
Ciidae;24
Cimbicidae;17
Cimicidae;5
Cinclidae;3
Cingulopsidae;1
Cionidae;1
Cirolaniidae;5
Cirratulidae;9
Cisticolidae;2
Cixiidae;9
Cladonematidae Gegenbaur, 1856;1
Cladorchiidae;1
Clambidae;10
Clariidae;1
Clathrinidae;1
Clausiliidae;15
Clavelinidae Forbes & Hanley, 1848;1
Cleridae;16
Cletodidae;1
Clionidae;1
Cloacaridae;2
Clubionidae;23
Clupeidae;5
Clusiidae;7
Cobitididae;4
Coccidae;21
Coccinellidae;69
Cochlicellidae;2
Cochlicopidae;3
Coelopidae;3
Coelosphaeridae;1
Coenagrionidae;17
Coenomyiidae;1
Coleophoridae;106
Collothecidae;12
Collyriclidae;1
Colubridae;4
Columbidae;8
Congridae;1
Coniopterygidae;12
Conochilidae;5
Conopidae;44
Convolutidae;1
Coraciidae;1
Corallimorphidae;1
Corambidae;1
Corbiculidae;2
Corbulidae;1
Cordulegastridae;1
Corduliidae;6
Coreidae;15
Corellidae;2
Corinnidae;2
Corixidae;40
Coronulidae;4
Corophiidae;15
Corvidae;13
Corylophidae;12
Corymorphidae Allman, 1872;3
Corynidae Johnston, 1838;11
Corystidae;1
Cosmocercidae;2
Cosmochthoniidae;1
Cosmopterigidae;12
Cossidae;4
Cossuridae;2
Cottidae;6
Crabronidae;175
Crambidae;110
Crangonidae;6
Crangonyctidae;2
Craspedosomatidae;4
Crenosomatidae;3
Cribrilinidae;2
Criconematidae;31
Criodrilidae;1
Crisiidae;1
Cristatellidae;1
Cryptophagidae;96
Cryptopidae;3
Cryptosulidae;1
Ctenophthalmidae;17
Cucujidae;3
Cuculidae;2
Cucullanidae;1
Cucumariidae Ludwig, 1894;2
Culicidae;41
Curculionidae;581
Cyamidae;4
Cyaneidae;2
Cyathocotylidae;2
Cyatholaimidae;1
Cybaeidae;1
Cyclocoelidae;2
Cyclopidae;38
Cyclopteridae;3
Cydnidae;11
Cylichnidae;2
Cylindrotomidae;5
Cylisticidae;1
Cymbaeremaeidae;2
Cymothoidae;3
Cynipidae;83
Cyphoderidae;1
Cyprididae;24
Cyprinidae;29
Cystidicolidae;1
Cytherideidae;2
Cytheruridae;6
Cytoditidae;1
Dajidae;1
Dalyelliidae;10
Damaeidae;6
Daphniidae;29
Darcythompsoniidae;2
Darwinulidae;1
Dascillidae;1
Dasyatidae;1
Daubayliidae;1
Davaineidae;9
Delphacidae;91
Delphinidae;10
Demodicidae;13
Dendrocoelidae;4
Dendronotidae;1
Depressariidae;43
Dermanyssidae;2
Dermationidae;6
Dermestidae;39
Dermochelyidae;1
Dermoglyphidae;1
Derodontidae;1
Derogenidae;1
Desmidocercidae;3
Desmodoridae;2
Dexaminidae;7
Diadocidiidae;2
Diadumenidae;2
Diapriidae;27
Diaptomidae;4
Diaspididae;17
Diastatidae;5
Diastoporidae;1
Diastylidae;6
Dicranophoridae;16
Dicrocoeliidae;3
Dictynidae;14
Dictyocaulidae;4
Dicyrtomidae;8
Didemnidae;4
Digamasellidae;1
Dignathodontidae;1
Dilepididae;15
Dioctophymatidae;3
Diphtherophoridae;5
Diphyllobothriidae;6
Diplodiscidae;1
Diplogasteroididae;1
Diplogastridae;9
Diplopeltidae;3
Diplostomidae;10
Diplotriaenidae;6
Diplozoidae;1
Diprionidae;15
Dipsocoridae;2
Diptilomiopidae;1
Dipylidiidae;2
Discodorididae;1
Discoglossidae;2
Discolaimidae;7
Ditomyiidae;2
Dixidae;17
Dolichopodidae;244
Donacidae;1
Dorvilleidae;4
Dorylaimidae;23
Dotidae;4
Douglasiidae;3
Dracunculidae;1
Dreissenidae;5
Drepanidae;16
Drilidae;2
Drosophilidae;49
