Monhysterida;16
Columbiformes;8
Opisthobranchia;60
Catenulida;6
Lagomorpha;2
Apodida;2
Accipitriformes;30
Chaetonotida;7
Squamata;10
;0
Strongylida;151
Proteocephalidea;7
Pulmonata;178
Halichondrida;3
Prostigmata;682
Phyllodocida;109
Nog_onder_te_brengen;1
Carcharhiniformes;5
Echinorhynchida;11
Gasterosteiformes;3
Conica;63
Arcoida;1
Cyclorhagida;1
Tanaidacea;10
Spinulosida;1
Strepsiptera;9
Rhizostomeae;1
Trypanorhyncha;3
Glomerida;3
Patellogastropoda;1
Beroida;2
Haplotaxida;1
Mytiloida;11
Diptera;5568
Passeriformes;274
Prolecithophora;1
Heterostropha;15
Euphausiacea;2
Chromadorida;13
Parachela;11
Coleoptera;4537
Architaenioglossa;8
Bursovaginoidea;1
Sabellida;24
Polymorphida;14
Rhabditida;102
Ophidiiformes;1
Harpacticoida;39
Atheriniformes;2
Apodiformes;5
Aplousobranchia;6
Neogastropoda;2
Bucerotiformes;1
Leucosolenida;2
Bivalvulida;1
Unionoida;12
Archaeognatha;5
Tylenchida;198
Cuculiformes;2
Lampriformes;2
Echinostomida;33
Mysida;22
Zeiformes;2
Docoglossa;4
Sepioidea;2
Phoenicopteriformes;3
Archaeogastropoda;13
Capitellida;14
Thysanoptera;283
Odonata;73
Procellariformes;12
Adinetida;6
Aphragmophora;2
Aphelenchida;25
Neotaenioglossa;20
Chiroptera;22
Haplosclerida;13
Cyclopoida;43
Scolopendromorpha;3
Galliformes;10
Salmoniformes;17
Octopoda;2
Astigmata;168
Urodela;7
Coraciiformes;7
Leptostraca;1
Polyxenida;1
Spirobolida;1
Pseudoscorpiones;26
Plagiorchiida;50
Chaetodermatida;1
Syngnathiformes;7
Cheilostomatida;36
Diplostraca;123
Cyclophyllidea;89
Pholadomyoida;4
Terebellida;36
Halisarcida;1
Pedunculata;6
Golfingiida;7
Piciformes;10
Capitata;33
Oxyurida;9
Clypeasteroida;1
Pleuronectiformes;18
Isopoda;112
Collembola;343
Clupeiformes;6
Otidiformes;3
Spatangoida;3
Myoida;14
Ephemeroptera;86
Hemiptera;1820
Homosclerophorida;1
Limoida;1
Anostraca;4
Branchiobdellida;4
Zygentoma;5
Paxillosida;1
Diplura;10
Spionida;48
Psocoptera;85
Poecilosclerida;2
Reighardiida;2
Porocephalida;1
Seriata;17
Cetacea;26
Pterocliformes;1
Dermaptera;7
Polydesmida;14
Cydippida;1
Echiurida;1
Homalorhagida;1
Stolidobranchia;10
Lumbriculida;8
Aspidosiphonida;1
Pelecaniformes;22
Insectivora;8
Plectida;31
Tetraodontiformes;3
Lobata;2
Stauromedusae;3
Caenogastropoda;6
Enterogona;2
Carnivora;24
Gyrodactylidea;1
Rajiformes;11
Actiniaria;19
Hadromerida;4
Julida;29
Hymenoptera;5485
Neritopsina;3
Oligacanthorhynchida;1
Neuroptera;73
Apochela;1
Araeolaimida;5
Dictyoptera;13
Symbiida;1
Sepiida;1
Tetraphyllidea;5
Acoela;2
Mazocreaidea;1
Flosculariacea;35
Orthoptera;66
Gadiformes;18
Phthiraptera;381
Phlebobranchia;4
Siphonaptera;72
Eunicida;11
Anguilliformes;2
Lucinoida;6
Amphipoda;177
Anura;14
Squaliformes;3
Dactylogyridea;1
Heteronemertea;7
Ctenostomata;26
Sorbeoconcha;47
Pectinoida;5
Chordeumatida;13
Teuthida;7
Clathrinida;1
Oribatida;218
Nuculanoida;1
Corallimorpharia;1
Pseudophyllidea;13
Batrachoidiformes;1
Paleonemertea;3
Geophilomorpha;16
Siluriformes;4
Dorylaimida;149
Embioptera;1
Opisthopora;24
Acipenseriformes;5
Gaviiformes;4
Ectobranchia;6
Lamniformes;3
Perciformes;58
Protura;31
Sessilia;16
Strigiformes;14
Bdellonemertea;1
Opiliones;36
Podicipediformes;6
Aeolosomatida Beddard, 1895;21
Spirurida;68
Echinoida;2
Cyclostomatida;6
Ploima;242
Chelonii;9
Triplonchida;38
Cyprinodontiformes;3
Ceriantharia;1
Siphonostomatoida;3
Squatiniformes;1
Priapulimorphida;1
Kentrogonida;2
Ascaridida;50
Notostraca;2
Raphidioptera;6
Forcipulatida;1
Anseriformes;78
Strigeida;63
Aspidogastrida;1
Filifera;34
Araneae;668
Scutigeromorpha;1
Artiodactyla;7
Macrostomida;6
Falconiformes;10
Cypriniformes;33
Taxodonta;3
Charadriiformes;143
Stomiiformes;1
Cumacea;22
Psittaciformes;7
Lophogastrida;1
Xiphosura;1
Gruiformes;11
Desmodorida;3
Dendrochirotida;2
Arthrotardigrada;3
Calanoida;13
Polycladida;5
Hoplonemertea;14
Diprotodontia;1
Rhynchobdellida;31
Plecoptera;41
Neoloricata;5
Collothecacea;12
Pantopoda;13
Cephalaspidea;1
Tetamerocerata;21
Lepidoptera;2521
Semaeostomeae;5
Rhabdocoela;34
Arguloida;2
Megaloptera;3
Enoplida;78
Stomatopoda;2
Mesostigmata;93
Poecilostomatoida;2
Ixodida;15
Pedicellinida;7
Scleractinia;2
Mononchida;16
Alcyonacea;1
Echiniscoidea;2
Myxiniformes;1
Bathynellacea;1
Rodentia;24
Caryophyllidea;3
Petromyzontiformes;3
Proboscoida Broch, 1910;17
Caprimulgiformes;1
Ciconiiformes;2
Neoechinorhynchida;1
Philodinida;91
Ophiurida;10
Lithobiomorpha;24
Gordea;1
Plumatellida;9
Sycettida;2
Mecoptera;6
Mermithida;1
Arhynchobdellida;16
Podocopida;86
Phragmophora;1
Tubificida;122
Amphinomida;1
