;0
Berytinus minor (Herrich-Schaeffer, 1835);1
Pediculus humanus Linnaeus, 1758;2
Helicella itala (Linnaeus, 1758);1
Lithophane leautieri (Boisduval, 1829);1
Sylvia althaea Hume, 1878;2
Lindenius pygmaeus (Rossi, 1794);1
Unio tumidus Philipsson, 1788;1
Allogalumna neerlandica Van der Hammen, 1952;1
Ctenophthalmus bisoctodentatus Kolenati, 1863;1
Brueelia iliaci Eichler, 1951;1
Rhagio lineola Fabricius, 1794;1
Oxychilus navarricus (Bourguignat, 1870);1
Pterocomma pilosum Buckton, 1879;1
Ectemnius continuus (Fabricius, 1804);1
Nephrotoma appendiculata (Pierre, 1919);1
Nabis brevis Scholtz, 1847;1
Melophagus ovinus (Linnaeus, 1758);1
Ephydra macellaria Egger, 1862;1
Acyrthosiphon cyparissiae (Koch, 1855);2
Tipula quadrivittata Staeger, 1840;1
Craspedosoma rawlinsi Leach, 1814;2
Lasiacantha capucina (Germar, 1837);1
Gastropacha quercifolia (Linnaeus, 1758);1
Jaera albifrons Leach, 1815;2
Amara quenseli (Schönherr, 1806);1
Balea biplicata (Montagu, 1803);1
Phylloscopus trochilus (Linnaeus, 1758);2
Koeniginirmus ornatus (Grube, 1851);3
Diabrotica virgifera LeConte, 1868;1
Eremophila alpestris (Linnaeus, 1758);1
Culex pipiens Linnaeus, 1758;2
Gampsocoris punctipes (Germar, 1822);1
Ceratophyllus styx Rothschild, 1900;1
Hedychrum nobile (Scopoli, 1763);1
Hydrachna leegei Koenike, 1895;2
Moritzoppia unicarinata (Paoli, 1908);1
Parachipteria willmanni Van der Hammen, 1952;1
Uroleucon cichorii (Koch, 1855);2
Motacilla cinereocapilla Savi, 1831;1
Smerinthus ocellatus (Linnaeus, 1758);1
Pseudanodonta complanata (Rossmässler, 1835);1
Phragmatiphila nexa (Hübner, 1808);1
Ephestia unicolorella Staudinger, 1881;1
Atractides nodipalpis Thor, 1899;2
Rhopalosiphoninus staphyleae (Koch, 1854);2
Hydrobia acuta (Draparnaud, 1805);1
Dysaphis crataegi (Kaltenbach, 1843);3
Plectrophenax nivalis (Linnaeus, 1758);2
Tanyptera nigricornis (Meigen, 1818);1
Chaitophorus tremulae Koch, 1854;1
Myrmus miriformis (Fallén, 1807);1
Ephippiger ephippiger (Fiebig, 1784);1
Ethmia quadrillella (Goeze, 1783);1
Campanulotes bidentatus (Scopoli, 1763);2
Tipula nodicornis Meigen, 1818;1
Unio crassus Philipsson, 1788;1
Myocoptes japonensis Radford, 1955;1
Arianta arbustorum (Linnaeus, 1758);1
Psallus varians (Herrich-Schaeffer, 1841);1
Laemobothrion maximum;2
Ricinus fringillae De Geer, 1778;1
Bembidion axillare (Motschulsky, 1844);1
Hadena compta (Denis & Schiffermüller, 1775);1
Aeshna subarctica Walker, 1908;1
Limonia nigropunctata (Schummel, 1829);1
Demodex arvicolae Oudemans, 1898;1
Metopolophium festucae Theobald, 1917;1
Amyrsidea perdicis;2
Acyrthosiphon malvae (Mosley, 1841);2
Nephrotoma scalaris (Meigen, 1818);1
Coreus marginatus (Linnaeus, 1758);1
Scrobipalpa artemisiella (Treitschke, 1833);1
Oenanthe oenanthe (Linnaeus, 1758);2
Xiphinema coxi Tarjan, 1964;1
Piona pusilla Neuman, 1875;2
Piona conglobata (Koch, 1836);1
Acyrthosiphon pisum (Harris, 1776);2
Sigara nigrolineata (Fieber, 1848);1
Philygria picta (Fallén, 1813);1
Acronicta rumicis (Linnaeus, 1758);1
Penicillidia dufourii (Westwood, 1835);1
Clausilia dubia Draparnaud, 1805;1
Natrix natrix Linnaeus, 1758;1
Oribella paolii (Oudemans, 1913);1
Dysaphis lappae (Koch, 1854);2
Athene noctua (Scopoli, 1769);1
Gastrodes grossipes (De Geer, 1773);1
Nephrotoma quadrifaria (Meigen, 1804);1
Macrosiphoniella abrotani (Walker, 1852);1
Icosta ardea (Macquart, 1835);1
Zygoribatula exilis (Nicolet, 1855);1
Gonatopus clavipes (Thunberg, 1827);2
Nasonovia compositellae Theobald, 1924;1
Certhia brachydactyla C.L. Brehm, 1820;1
Processa nouveli Al-Adhub & Williamson, 1975;1
Rhagio scolopaceus (Linnaeus, 1758);1
Diplaegidia columbae (Buchholz, 1869);3
Scolopostethus pilosus Reuter, 1875;1
Drymus latus Douglas & Scott, 1871;1
Tyto alba (Scopoli, 1769);2
Ramusella clavipectinata (Michael, 1885);1
Certhia familiaris Linnaeus, 1758;2
Dendrolimus pini (Linnaeus, 1758);1
Plea minutissima Leach, 1817;1
Crossocerus tarsatus (Shuckard, 1837);1
Trapezonotus arenarius (Linnaeus, 1758);1
Buteo buteo (Linnaeus, 1758);2
Atractides tener (Thor, 1899);1
Hedychridium roseum (Rossi, 1790);1
Notonecta reuteri Hungerford, 1928;1
Tipula rufina Meigen, 1818;1
Rhabdomiris striatellus (Fabricius, 1794);1
Ornithobius cygni (Linnaeus, 1758);1
Molophilus propinquus (Egger, 1863);1
Orthotylus ericetorum (Fallén, 1807);1
Phyllodesma ilicifolia (Linnaeus, 1758);1
Carpatolechia proximella (Hübner, 1796);1
Bicellaria spuria (Fallén, 1816);1
Anaticola anseris (Linnaeus, 1758);2
Sitta europaea Linnaeus, 1758;1
Monochroa lucidella (Stephens, 1834);1
Bisonicola sedecimdecembrii (Eichler, 1946);1
Pterocomma salicis (Linnaeus, 1758);1
Micronecta poweri (Douglas & Scott, 1869);1
Lophophanes cristatus (Linnaeus, 1758);1
Hyles euphorbiae (Linnaeus, 1758);1
Candidula unifasciata (Poiret, 1801);1
Anaticola crassicornis (Scopoli, 1763);2
Tarsopsylla octodecimdentata (Kolenati, 1863);1
Saldula pilosella (Thomson, 1871);1
Pipunculus campestris Latreille, 1802;1
Branta hutchinsii (Richardson, 1832);2
Stomaphis graffii Cholodkovsky, 1894;1
Amphipyra berbera Rungs, 1949;1
Rhagio tringarius (Linnaeus, 1758);1
Phylloscopus collybita (Vieillot, 1887);2
Diarsia mendica (Fabricius, 1775);1
Archaeopsylla erinacei (Bouché, 1835);1
Theodoxus fluviatilis (Linnaeus, 1758);1
Proctophyllodes troncatus Mégnin in Robin & Mégnin, 1877;1
Hypocaccus dimidiatus (Illiger, 1807);1
Mecomma ambulans (Fallén, 1807);1
Aceria artemisiae (Canestrini, 1891);1
Saemundssonia clayae Hopkins, 1949;2
Scapheremaeus palustris (Sellnick, 1924);1
Unio pictorum (Linnaeus, 1758);1
Ericaphis scammelli (Mason, 1940);1
Uroleucon jaceae (Linnaeus, 1758);1
Monopsyllus sciurorum (Schrank, 1803);1
Hebrus pusillus (Fallén, 1807);1
Radfordia lemnina (Koch, 1841);3
Cepaea nemoralis (Linnaeus, 1758);1
Chaitophorus salijaponicus Essig & Kuwana, 1918;1
Lycophotia molothina (Esper, 1789);1
Banksinoma lanceolata (Michael, 1885);1
Cornu aspersum (O.F. Müller, 1774);1
Aphis fabae Scopoli, 1763;4
Synanthedon myopaeformis (Borkhausen, 1789);1
Agrotis exclamationis (Linnaeus, 1758);1
Aneurus laevis (Fabricius, 1775);1
Paraceras melis (Walker, 1856);1
Hepialus humuli (Linnaeus, 1758);1
Eurygaster austriaca (Schrank, 1776);1
Cinclus cinclus (Linnaeus, 1758);2
Harpalus xanthopus Gemminger & Harold, 1868;1
Metalimnobia bifasciata (Schrank, 1781);1
Lithobius lusitanus Verhoeff, 1925;1
Macrosiphum rosae (Linnaeus, 1758);1
Corvus monedula Linnaeus, 1758;3
Berytinus hirticornis (Brullé, 1836);1
Protoribates capucinus Berlese, 1908;1
Sterna sandvicensis Latham, 1787;2
Anodonta cygnea (Linnaeus, 1758);1
Orius laevigatus (Fieber, 1860);1
Aphis cytisorum Hartig, 1841;1
Anthocoris minki Dohrn, 1860;1
Dactylochelifer latreillii (Leach, 1817);2
Ctenophthalmus agyrtes (Heller, 1896);3
Chesias rufata (Fabricius, 1775);1
Thripsaphis verrucosa Gillette, 1917;1
Eidmanniella pellucida (Rudow, 1869);1
Nysius thymi (Wolff, 1804);1
Chionea lutescens Lundström, 1907;1
Sigara limitata (Fieber, 1848);1
Locustella certhiola (Pallas, 1811);1
Anthus hodgsoni Richmond, 1907;1
Aquarius paludum (Fabricius, 1794);1
Helicigona lapicida (Linnaeus, 1758);1
Poecilocampa populi (Linnaeus, 1758);1
Nephrotoma crocata (Linnaeus, 1758);1
Prostemma guttula (Fabricius, 1787);1
Dasypsyllus gallinulae (Dale, 1878);1
Aneurus avenius (Dufour, 1833);1
Larus fuscus Linnaeus, 1758;3
Paracorixa concinna (Fieber, 1848);1
Chaitophorus vitellinae (Schrank, 1801);1
Apamea aquila Donzel, 1837;1
Passeroptes dermicola (Trouessart, 1866);1
Euxoa aquilina (Denis & Schiffermüller, 1775);1
Phytonemus pallidus (Banks, 1899);1
Nysius graminicola (Kolenati, 1845);1
Calocoris roseomaculatus (De Geer, 1773);1
Tipula scripta Meigen, 1830;1
Ornithomya chloropus Bergroth, 1901;1
Acanthosoma haemorrhoidale (Linnaeus, 1758);1
Corizus hyoscyami (Linnaeus, 1758);1
Gnorimoschema streliciella (Herrich-Schäffer, 1854);1
Brueelia marginata (Burmeister, 1838);4
Phytocoris tiliae (Fabricius, 1777);1
Saldula arenicola (Scholtz, 1847);1
Charadrius leschenaultii Lesson, 1826;2
Myzus cerasi (Fabricius, 1775);1
Thripsaphis ossiannilssoni Hille Ris Lambers, 1952;1
Paraphaenocladius impensus (Walker, 1856);1
Oxyloma elegans (Risso, 1826);1
Carpelimus manchuricus (Bernhauer, 1938);1
Nysius senecionis (Schilling, 1829);1
Machimus atricapillus (Fallén, 1814);1
Dreissena rostriformis;1
Carabus violaceus Linnaeus, 1758;2
Anteon gaullei Kieffer, 1905;3
Naucoris maculatus Fabricius, 1798;1
Euthrix potatoria (Linnaeus, 1758);1
Sylvia cantillans (Pallas, 1764);2
Heliothis maritima Graslin, 1855;1
Nephrotoma cornicina (Linnaeus, 1758);1
Tipula pruinosa Wiedemann, 1817;1
Paramyzus heraclei Börner, 1933;1
Salamandra salamandra Linnaeus, 1758;1
Clausilia bidentata (Ström, 1765);1
Valvata piscinalis (O.F. Müller, 1774);2
Monachoides incarnatus (O.F. Müller, 1774);1
Scymnus suffrianioides Sahlberg, 1913;1
Brachycoleus pilicornis (Panzer, 1805);1
Pyrrhula pyrrhula (Linnaeus, 1758);2
Diacyclops bicuspidatus (Claus, 1857);1
Sciapteryx costalis (Fabricius, 1775);2
Nysson dimidiatus Jurine, 1807;1
Dometorina plantivaga (Berlese, 1896);1
Acetropis gimmerthalii (Flor, 1860);1
Menacanthus eurysternus (Burmeister, 1838);4
Glyphipterix equitella (Scopoli, 1763);1
Closterotomus biclavatus (Herrich-Schaeffer, 1835);1
Pergalumna nervosa (Berlese, 1914);1
Chaitophorus horii (Takahashi, 1939);1
Sylvia curruca (Linnaeus, 1758);1
Hexatoma nubeculosa (Burmeister, 1829);1
Dendrocopos minor (Linnaeus, 1758);1
Copium clavicorne (Linnaeus, 1758);1
Dysaphis leefmansi Hille Ris Lambers, 1954;1
Sylvia inorata Tschusi, 1906;1
Processa edulis Risso, 1816;1
Aphis helianthemi Ferrari, 1872;1
Phorodon humuli (Schrank, 1801);1
Larus canus Linnaeus, 1758;2
Trichoniscus pusillus Brandt, 1833;1
Viviparus viviparus (Linnaeus, 1758);1
Ornithomya avicularia (Linnaeus, 1758);1
Eurygaster testudinaria (Geoffroy, 1785);1
Syllis gracilis Grube, 1840;1
Brueelia densilimba (Nitzsch in Giebel, 1866);1
Monochamus galloprovincialis (Olivier, 1795);1
Helius longirostris (Meigen, 1818);1
Oribatella arctica Thor, 1930;1
Phylidorea squalens (Zetterstedt, 1838);1
Tipula livida Van der Wulp, 1858;1
Malacosoma castrensis (Linnaeus, 1758);1
Coriomeris scabricornis (Panzer, 1805);1
Ceratophys amoena Ribaut, 1920;1
Lanius senator Linnaeus, 1758;2
Rhagio immaculatus (Meigen, 1804);1
Aturus scaber Kramer, 1875;2
Salmo trutta Linnaeus, 1758;2
Lebertia sefvei Walter, 1911;1
Erigone arctica (White, 1852);1
Lauroppia falcata (Paoli, 1908);2
Procambarus fallax (Hagen, 1870);1
Melanchra persicariae (Linnaeus, 1761);1
Saemundssonia scolopacisphaeopodis (Schrank, 1803);1
Theba pisana (O.F. Müller, 1774);1
Discus rotundatus (O.F. Müller, 1774);1
Erioptera lutea Meigen, 1804;1
Nephrotoma croceiventris (Mannheims, 1951);1
Teratocoris saundersi Douglas & Scott, 1869;1
Orycteroxenus soricis (Oudemans, 1915);1
Capsodes gothicus (Linnaeus, 1758);1
Plagiognathus arbustorum (Fabricius, 1794);1
Callicorixa praeusta (Fieber, 1848);1
Deilephila elpenor (Linnaeus, 1758);1
Lithophane ornitopus (Hufnagel, 1766);1
Tipula variicornis Schummel, 1833;1
Anteon pubicorne (Dalman, 1818);1
Merops persicus Pallas, 1773;1
Velia caprai Tamanini, 1947;1
Rhagio notatus (Meigen, 1820);1
Anatoecus dentatus (Scopoli, 1763);1
Lithophane semibrunnea (Haworth, 1809);1
Ceratophyllus farreni Rothschild, 1905;1
Lonchodryinus ruficornis (Dalman, 1818);3
Oribatula tibialis (Nicolet, 1855);1
Carabus arcensis Herbst, 1784;1
Uria aalge (Pontoppidan, 1763);3
Anteon jurineanum Latreille, 1809;2
Noctua interjecta Hübner, 1803;1
Amalareus penicilliger (Grube, 1851);1
Agrotis clavis (Hufnagel, 1766);1
Oxybelus argentatus Curtis, 1833;1
Anas platyrhynchos Linnaeus, 1758;1
Zeuzera pyrina (Linnaeus, 1761);1
Doratopsylla dasycnema (Rothschild, 1897);1
Pegoplata juvenilis (Stein, 1898);1
Cylindrotoma distinctissima (Meigen, 1818);1
Lasiocampa trifolii (Denis & Schiffermüller, 1775);1
Phoenicurus ochruros (S. G. Gmelin, 1774);2
Palaeopsylla soricis (Dale, 1878);1
Symplecta stictica (Meigen, 1818);1
Dreissena polymorpha (Pallas, 1771);1
Calidris alpina (Linnaeus, 1758);3
Tipula peliostigma Schummel, 1833;1
Pedicia rivosa (Linnaeus, 1758);1
Pilaria discicollis (Meigen, 1818);1
Paraphaenocladius pseudirritus Strenzke, 1950;1
Delphiniobium junackianum (Karsch, 1887);1
Limosa limosa (Linnaeus, 1758);2
Stagonomus bipunctatus (Linnaeus, 1758);1
Onychoprion anaethetus (Scopoli, 1786);1
Aphis frangulae Kaltenbach, 1845;1
Tipula luteipennis Meigen, 1830;1
Derephysia foliacea (Fallén, 1807);1
Aproaerema anthyllidella (Hübner, 1813);1
Saemundssonia lari (O. Fabricius, 1780);4
Platyla polita (W. Hartmann, 1840);1
Tanyptera atrata (Linnaeus, 1758);1
Nephrotoma guestfalica (Westhoff, 1879);1
Conomelus lorifer Ribaut, 1948;1
Lanius lahtora (Cassin, 1852);1
Gelechia sabinellus (Zeller, 1839);1
Anser anser (Linnaeus, 1758);1
Plocamaphis flocculosa Weed, 1891;1
