;0
Myoxocephalus;1
Vipera;1
Eupelops;7
Lucinella;1
Pecten;3
Limanda;1
Oxychilus;5
Mya;3
Amara;7
Odostomia;2
Corylophus;1
Columba;5
Trichoribates;2
Uria;1
Polydora;1
Pagellus;1
Indet.;1
Nenteria;4
Spirorbis;1
Zoarces;1
Turdus;6
Clupea;2
Coturnix;1
Anarhichas;1
Xylodromus;1
Delphinus;1
Tursiops;1
Aquila;1
Rattus;4
Recurvirostra;1
Trisopterus;2
Monotoma;3
Barbus;1
Clivina;3
Ameroseius;1
Carassius;1
Rissa;1
Diapterobates;1
Loxodonta;1
Buglossidium;1
Sardina;1
Chelon;1
Cochlicopa;1
Lophius;1
Bucephala;1
Platichthys;1
Ena;2
Mustela;5
Solenopotes;1
Cerastoderma;3
Pergamasus;2
Molva;2
Gadus;1
Minunthozetes;1
Sitona;1
Radix;4
Apodemus;3
Capreolus;1
Spondyliosoma;1
Strix;1
Halolaelaps;2
Euaesthetus;2
Oryctolagus;1
Lithocharis;1
Fagniezia;1
Asio;2
Teredo;1
Microtus;4
Cassida;1
Hyla;1
Suctobelbella;6
Dosinia;1
Parus;1
Thunnus;1
Anas;11
Emys;2
Merluccius;1
Pelobates;1
Limnobaris;1
Sprattus;1
Apis;1
Neojordensia;1
Carabodes;4
Gyraulus;2
Diphyllobothrium;1
Creophilus;1
Discus;1
Helix;3
Stenus;1
Abra;2
Pelecanus;1
Nassarius;4
Rissoella ;1
Meles;1
Falagria;1
Otiorhynchus;1
Engraulis;1
Epitrix;1
Anachipteria;1
Chaetarthria;1
Epidamaeus;2
Quadroppia;1
Limnozetes;3
Carpelimus;9
Glycymeris;1
Tringa;2
Spinachia;1
Zirfaea;1
Cyphon;1
Hippopotamus;1
Phalacrocorax;2
Protophormia;1
Sphaerium;3
Argyrosomus;1
Lynx;1
Coregonus;3
Serpula;1
Chrysallida;1
Lota;1
Pollachius;2
Dama;1
Enochrus;1
Paracymus;1
Hypodamaeus;1
Mytilus;1
Phasianus;1
Thais;1
Fringilla;1
Mercenaria;1
Mustelus;2
Panthera;1
Laevicardium;1
Anguis;1
Ptinella;1
Alces;1
Stenichnus;1
Pilogalumna;1
Tellina;4
Ctenobelba;1
Arcella;1
Anisus;4
Philomachus;1
Hydrochus;1
Silpha;1
Streptopelia;1
Pisidium;6
Alburnus;1
Littorina;4
Chamelea;1
Atherina;2
Cymbiodyta;1
Anotylus;2
Succinella;1
Oodes;1
Notaris;1
Epilepton;1
Cristatella;1
Lasioseius;2
indet;1
Actidium;1
Eupagurus;1
Haliaeetus;1
Ctenocephalides;2
Euspira;2
Cymbaeremaeus;1
Agonus;1
Raja;4
Conchogneta;1
Trichocellus;1
Aphodius;3
Coelostoma;1
Spisula;4
Pungitius;1
Spatiodamaeus;1
Vanellus;1
Dasyatis;1
Bolinus;1
Eutrigla;2
Oulema;1
Acupalpus;1
Melanitta;3
Mactra;1
Sus;3
Cartodere;1
Chelidonichthys;1
Osmerus;1
Phaulodinychus;4
Glycyphagus;1
Venus;2
Sitophilus;1
Bittium;1
Brachystomia;1
Hyperoplus;1
Mergus;4
Planorbis;3
Clambus;2
Aegopinella;1
Oribella;1
Dentalium;3
Humerobates;2
Squatna;1
Haematopinus;2
Tychus;1
Sphaeridium;2
Ameronothrus;3
Ptenidium;5
Eporibatula;1
Carcinus;1
Apus;2
Vallonia;4
Trachinus;1
Homarus;1
Eueremaeus;1
Heterocerus;2
Ctenopharyngodon;1
Bombina;2
Cercyon;8
Canis;4
Conger;1
Brachygluta;1
Sula;1
Vertigo;4
Petricola;1
Dreissena;1
Cygnus;7
Stilbus;2
Acipenser;4
Sepia;2
Cavia;1
Mullus;1
Euthia;2
Circus;4
Natrix;1
Pholas;1
Liza;3
Gyrohypnus;1
Astenus;1
Graptodytes;1
Enophrys;1
Somateria;1
Alliphis;1
Sorex;4
Hypera;3
Latilamellobates;1
Nycticorax;1
Gyps;1
Cebus;1
Tachinus;1
Zetomimus;1
Pediculus;1
Nereis;1
Scyliorhinus;1
Veigaia;1
Perforatella;2
Rhyncolus;1
Drusilla;1
Pterodroma;1
Alauda;1
Branta;3
Buccinum;1
Enoicyla;1
Anobium;1
Parachipteria;3
Longitarsus;1
Tyrophagus;1
Phauloppia;2
Ascaris;2
Ovis;2
Carychium;2
Lymnocryptes;1
Euconnus;1
Proctolaelaps;1
Succinea;3
Eubalaena;1
Athene;1
Squalus;1
Bison;2
Hippeutis;1
Barnea;1
Lutra;1
Assiminea;1
Felis;3
Coccidula;1
Agabus;1
Scophthalmus;2
Unio|Anodonta;1
Anacaena;1
Aleochara;1
Onthophagus;1
Valvata;3
Ursus;2
Ophiura;1
Banksinoma;1
Anguilla;1
Musculium;1
Medioppia;1
Camelus;2
Aspitrigla;1
Thalasseus;1
Physa;1
Pluvialis;3
Vitrina;2
Pulex;1
Trigla;1
Eremaeus;1
Aspius;1
Hermannia;2
Myotis;1
Scheloribates;3
Chlidonias;1
Melanozetes;1
Ophidiotrichus;1
Lathrobium;2
Pitymys;1
Liacarus;1
Lepidochitona;1
Salamandra;1
Ochthephilum;1
Dyschirius;3
Gavia;4
Ceratozetes;2
Nucula;3
Gabrius;1
Tachyporus;1
Lutraria;1
Oxytelus;1
Anthicus;2
Aporrhais;1
Echinocardium;1
	Lagis;1
Lymnaea;2
Plateumaris;3
Pachylaelaps;2
Chondrostoma;1
Ochthebius;4
Rhodeus;1
Hydractinia;1
Tychius;1
Meleagris;1
Ostrea;2
Policines;1
Clangula;1
Muscardinus;1
Oxyloma|Succinea;1
Botaurus;1
Cyclopterus;1
Sterna;3
Tachybaptus;1
Acanthocardia;1
Melanogrammus;1
Rallus;1
Alosa;4
Patrobus;1
Acidota;1
Oenopota;1
Cottus;1
Euconulus;1
Coleophora;1
Arianta;1
Rangifer;1
Dissorhina;1
Abramis;3
Scolopax;1
Coronella;1
Dromius;2
Physella;1
Bithynia;3
Mysella;1
Hydrozetes;4
Cecilioides;1
Nesovitrea;1
Berniniella;1
Esox;1
Carduelis;2
Netta;1
Cervus;1
Callista;1
Latridius;1
Syngnathus;1
Physeter;1
Rhodacarellus;1
Dicentrarchus;1
Ramusella;1
Porcellio;1
Daphnia;1
Oppiella;3
Hypochtonius;1
Charadrius;3
Caleremaeus;1
Lyrurus;1
Pselaphus;1
Trigloporus;1
Ceratozetella;1
Colus;1
Acanthinula;1
Androlaelaps;1
Oribatella;3
Oppia;2
Emberiza;2
Pselaphaulax;1
Corvus;7
Delichon;1
Hyperoodon;1
Venerupis;1
Neomys;1
Tegoribates;1
Aythya;5
Calliostoma;1
Ardea;3
Phoca;2
Bufo;4
Gallus;1
ondet.;1
Solea;2
Erithacus;1
Microptilium;1
Pinguinus;1
Calyptraea;1
Nanophyes;1
Pupilla;1
Electra;1
Arvicola;3
Micromys;1
Cricetus;1
Agonum;3
Segmentina;1
Ceratoppia;1
Cliona;1
Sphenia;1
Attagenus;1
Eliomys;1
Punctoribates;4
Thryogenes;1
Phocoena;1
Cepaea;3
Tyto;1
Trichia;1
Hiatella;1
Unio;4
Patella;4
Orcinus;1
Jujubinus;1
Erichsonius;1
Micreremus;1
Turritella;1
Martes;3
Pterostichus;8
Vitrea;1
Erinaceus;1
Capra;1
Scomber;2
Trechus;1
