aa. domestic mammals;13
ab. wild 1: game (or wild/domestic);58
ac. wild 2: sea mammals;21
ad. wild 3: insectivora;10
ae. wild 4: other rodents;29
af. other mammals;13
ba. domestic fowl;6
bb. Wild or domestic birds;1
bb. wild or domestic birds;5
bc. Wild birds;1
bc. wild birds;208
bd. other birds;5
ca. fresh-water fishes;42
cb. anadrome fishes;18
cc. sea-fishes;94
cd. other fishes;2
da. Reptiles;2
da. reptiles;8
db. other reptiles;2
ea. Amphibians;1
ea. amphibians;22
eb. other amphibians;2
fa. freshwater molluscs;65
fb. land molluscs;78
"fc. Marine molluscs; bivalvia";1
"fc. marine molluscs; bivalvia";66
"fd. marine molluscs; gastropoda";57
"fd. marine mulluscs; gastropoda";1
"fe. marine molluscs; cephalopoda";2
"ff. marine molluscs; scaphopoda";3
fg. other molluscs;8
ga. Arthropods;293
ga. arthropods;234
ha. other animals;54
